#model	root	verb	class	bab	note	note1	note2	note3
0(bis)	مكن	أمْكَنَ	I		يُمْكِنُ			
0(bis)	حيل	اِسْتَحَالَ	I		اِسْتَحَالَ	مفتاح		
0(bis)	زهو	زَهَا	D		زُهِيَ	لازم مطلق	u	
0(bis)	بءس	بِئْسَ	M		بِئْسَ	لازم نسبي	v	
0(bis)	غمي	أَغْمَى	D		أُغْمِيَ	متعدي غ ع	x	
0(bis)	سقط	سَقَطَ	D		سُقِطَ	متعدي ع	y	
0(bis)	حبذ	حَبَّذَا	M		حَبَّذَا	متعدي لمفعولين	yz	y
0(bis)	نعم	نِعْمَ	M		نِعْمَ	متعدي ع قلبي	yw	w
0(bis)	وهب;هيب	وَهَبَ	M		هَبْ 	أمر فقط	A	
0(bis)	بغي	اِنْبَغَى	I		يَنْبَغِي	ماضي فقط	P	
1(bis)	برح	بَرِحَ	Sx		بَرِحَ	جامد	M	
10(bis)	فكك	اِنْفَكَّ	Sv		اِنْفَكَّ	فعل لاشخصي	I	
3(bis)	علو	تَعَالَى	A		تَعَالَى	ماضي + مضارع	S	
3(bis)	هلم	هَلُمَّ	A		هَلُمَّ	مبني للمجهول فقط	D	
38(bis)	فتء	فَتِئَ	Sv		فَتِئَ	مضارع + أمر	R	
46(bis)	ودع	وَدَعَ	Ry					
46(bis)	ودع	وَذَرَ	Ry					
5(bis)	وشك	أَوْشَكَ	Sv					
51(bis)	روم	رَامَ	Sx					
52(bis)	زيل	زَالَ	Sv					
52(bis)	كود	كَادَ	Su					
56(bis)	ليس	لَيْسَ	Pu					
59(bis)	عيي	عَيَّا	v					
59(bis)	زيي	زَيَّا	y					
59(bis)	حيي	حَيَّا	y					
6(bis)	حتم	تَحَتَّمَ	I					
60(bis)	عيي	عَايَا	y					
61(bis)	حيي	أَحْيَا	y					
61(bis)	عيي	أَعْيَا	y					
62(bis)	حيي	تَحَيَّا	v					
62(bis)	زيي	تَزَيَّا	v					
64(bis)	عيي	اِسْتَعْيَا	y					
64(bis)	حيي	اِسْتَحْيَا	y					
66(bis)	عسي	عَسَى	P					
76(bis)	حيي	حَيِيَ	v					
76(bis)	عيي	عَيِيَ	x					
86(bis)	ءوي	آوَى	y					
1	حلك	حَلَكَ	v					
1	بخر	بَخِرَ	v					
1	حبس	حَبَسَ	y					
1	تلد	تَلِدَ	v					
1	حصد	حَصِدَ	v					
1	خبر	خَبِرَ	x					
1	نجع	نَجَعَ	x					
1	حلف	حَلَفَ	x					
1	عصم	عَصَمَ	x					
1	كسل	كَسِلَ	v					
1	هشم	هَشَمَ	x					
1	بهج	بَهِجَ	v					
1	كسح	كَسِحَ	v					
1	بله	بَلِهَ	v					
1	كثم	كَثَمَ	y					
1	حقد	حَقِدَ	v					
1	حكر	حَكِرَ	x					
1	محك	مَحِكَ	v					
1	فرش	فَرَشَ	v					
1	حفن	حَفَنَ	x					
1	خبص	خَبَصَ	x					
1	طرب	طَرِبَ	v					
1	خرع	خَرَعَ	x					
1	ختن	خَتَنَ	y					
1	فهم	فَهِمَ	x					
1	نكب	نَكِبَ	v					
1	خدش	خَدَشَ	x					
1	حمق	حَمِقَ	v					
1	جدع	جَدِعَ	v					
1	رهص	رَهَصَ	y					
1	خجل	خَجِلَ	v					
1	خدر	خَدِرَ	v					
1	عقل	عَقَلَ	y					
1	حشك	حَشَكَ	x					
1	حفز	حَفَزَ	y					
1	حفص	حَفَصَ	x					
1	دسع	دَسَعَ	y					
1	حشم	حَشَمَ	v					
1	مهن	مَهَنَ	y					
1	حفر	حَفَرَ	y					
1	كسح	كَسَحَ	x					
1	خمر	خَمِرَ	v					
1	شبح	شَبَحَ	y					
1	حطم	حَطَمَ	y					
1	نزق	نَزِقَ	v					
1	خبل	خَبِلَ	v					
1	سلط	سَلِطَ	v					
1	برم	بَرِمَ	v					
1	بصر	بَصِرَ	v					
1	غفر	غَفَرَ	x					
1	جرس	جَرَسَ	x					
1	بسم	بَسَمَ	v					
1	عرك	عَرِكَ	v					
1	خلق	خَلِقَ	v					
1	صلع	صَلِعَ	v					
1	زهر	زَهَرَ	x					
1	تفل	تَفَلَ	x					
1	نكز	نَكِزَ	v					
1	بطن	بَطِنَ	v					
1	سكع	سَكَعَ	y					
1	بطح	بَطَحَ	y					
1	خنف	خَنَفَ	v					
1	غدق	غَدَقَ	v					
1	جزل	جَزَلَ	x					
1	جلط	جَلَطَ	x					
1	مسك	مَسَكَ	x					
1	جرج	جَرِجَ	v					
1	دلف	دَلَفَ	v					
1	عجف	عَجِفَ	v					
1	ملد	مَلِدَ	v					
1	نهر	نَهِرَ	v					
1	جرذ	جَرِذَ	v					
1	جرع	جَرَعَ	x					
1	جرح	جَرَحَ	y					
1	سعر	سَعَرَ	y					
1	تفه	تَفِهَ	v					
1	رسل	رَسِلَ	v					
1	هدل	هَدِلَ	v					
1	نزل	نَزِلَ	v					
1	خضم	خَضِمَ	x					
1	شبم	شَبِمَ	v					
1	تلف	تَلِفَ	v					
1	حطب	حَطِبَ	v					
1	ترف	تَرِفَ	v					
1	كحل	كَحِلَ	v					
1	بقر	بَقَرَ	x					
1	هدف	هَدَفَ	v					
1	بعر	بَعَرَ	v					
1	بغت	بَغَتَ	y					
1	بخل	بَخِلَ	v					
1	محل	مَحَلَ	v					
1	عكس	عَكَسَ	y					
1	ردف	رَدِفَ	y					
1	قصف	قَصَفَ	v					
1	خطر	خَطَرَ	v					
1	جنح	جَنَحَ	x					
1	تبع	تَبِعَ	y					
1	شنج	شَنِجَ	v					
1	حسف	حَسِفَ	v					
1	عتب	عَتَبَ	v					
1	بحث	بَحَثَ	x					
1	عشق	عَشِقَ	x					
1	نعب	نَعَبَ	v					
1	صرد	صَرِدَ	v					
1	خزق	خَزَقَ	y					
1	زلع	زَلَعَ	v					
1	شنع	شَنَعَ	y					
1	شنع	شَنِعَ	v					
1	ربع	رَبَعَ	v					
1	نصع	نَصَعَ	v					
1	عتق	عَتَقَ	y					
1	صرف	صَرَفَ	y					
1	هزج	هَزِجَ	v					
1	نتن	نَتَنَ	v					
1	صعق	صَعَقَ	y					
1	صعق	صَعِقَ	v					
1	حدر	حَدِرَ	v					
1	صدف	صَدَفَ	y					
1	شهق	شَهَقَ	v					
1	معن	مَعَنَ	x					
1	شهب	شَهِبَ	v					
1	فخر	فَخِرَ	v					
1	زمر	زَمَرَ	v					
1	شكر	شَكِرَ	v					
1	شكس	شَكِسَ	v					
1	شكل	شَكِلَ	v					
1	حمل	حَمَلَ	v					
1	شمت	شَمِتَ	v					
1	كبت	كَبَتَ	x					
1	شمس	شَمِسَ	v					
1	نزف	نَزَفَ	v					
1	شرب	شَرِبَ	v					
1	زعق	زَعَقَ	x					
1	نشط	نَشَطَ	v					
1	ذبح	ذَبَحَ	y					
1	شعف	شَعِفَ	v					
1	سوق	سَوِقَ	v					
1	جشم	جَشِمَ	x					
1	شبر	شَبِرَ	v					
1	ظلف	ظَلِفَ	v					
1	طفر	طَفَرَ	x					
1	شبق	شَبِقَ	v					
1	سيس	سَيِسَ	v					
1	صرم	صَرَمَ	y					
1	لزج	لَزِجَ	v					
1	غلق	غَلَقَ	x					
1	بشع	بَشِعَ	v					
1	شوه	شَوِهَ	v					
1	لمس	لَمَسَ	y					
1	شبك	شَبَكَ	y					
1	هجع	هَجَعَ	v					
1	شبع	شَبِعَ	v					
1	شخب	شَخَبَ	x					
1	عدل	عَدَلَ	v					
1	قضب	قَضَبَ	y					
1	صدع	صَدَعَ	y					
1	صخب	صَخِبَ	v					
1	حدج	حَدَجَ	y					
1	قرس	قَرَسَ	y					
1	رثم	رَثِمَ	v					
1	علق	عَلَقَ	v					
1	نذر	نَذِرَ	v					
1	كتف	كَتَفَ	y					
1	جهز	جَهَزَ	v					
1	خفر	خَفِرَ	v					
1	حبر	حَبِرَ	v					
1	رضع	رَضِعَ	x					
1	جهش	جَهَشَ	v					
1	جهد	جَهَدَ	y					
1	قضم	قَضِمَ	v					
1	خصب	خَصَبَ	v					
1	حنث	حَنِثَ	v					
1	قلق	قَلَقَ	y					
1	حور	حَوِرَ	v					
1	شنب	شَنِبَ	v					
1	حمر	حَمِرَ	v					
1	حمس	حَمِسَ	v					
1	خبز	خَبَزَ	y					
1	ظرب	ظَرِبَ	v					
1	حبط	حَبَطَ	v					
1	هزع	هَزَعَ	x					
1	حنط	حَنَطَ	v					
1	حنف	حَنِفَ	v					
1	حبط	حَبِطَ	v					
1	بذخ	بَذِخَ	v					
1	كرز	كَرَزَ	v					
1	ثمل	ثَمِلَ	v					
1	مشط	مَشَطَ	x					
1	حذر	حَذِرَ	y					
1	خرق	خَرِقَ	v					
1	حرد	حَرَدَ	yz					
1	غلب	غَلَبَ	y					
1	دنف	دَنِفَ	v					
1	شنف	شَنِفَ	y					
1	سلب	سَلِبَ	v					
1	شفه	شَفَهَ	y					
1	عجز	عَجَزَ	v					
1	ظلم	ظَلِمَ	v					
1	كسف	كَسَفَ	x					
1	حرم	حَرَمَ	y					
1	شفق	شَفِقَ	v					
1	كفح	كَفِحَ	v					
1	نكح	نَكَحَ	y					
1	حزم	حَزَمَ	x					
1	كدر	كَدِرَ	v					
1	خرب	خَرِبَ	v					
1	حسف	حَسَفَ	x					
1	سدل	سَدِلَ	v					
1	سكر	سَكِرَ	v					
1	حسم	حَسَمَ	x					
1	حشد	حَشَدَ	y					
1	خزل	خَزَلَ	y					
1	خزر	خَزِرَ	v					
1	لبد	لَبِدَ	v					
1	خلس	خَلِسَ	v					
1	نمس	نَمِسَ	v					
1	قبس	قَبَسَ	yz					
1	ركن	رَكَنَ	v					
1	قشف	قَشِفَ	v					
1	خمج	خَمِجَ	y					
1	فقص	فَقَصَ	x					
1	رشم	رَشِمَ	v					
1	خفر	خَفَرَ	y					
1	رحل	رَحَلَ	y					
1	خلب	خَلَبَ	y					
1	درز	دَرِزَ	v					
1	خشف	خَشَفَ	v					
1	خشف	خَشِفَ	v					
1	خشم	خَشَمَ	y					
1	هدر	هَدَرَ	v					
1	نعر	نَعِرَ	v					
1	سحب	سَحَبَ	y					
1	خرش	خَرَشَ	y					
1	خرس	خَرِسَ	v					
1	خرق	خَرَقَ	x					
1	رجح	رَجَحَ	y					
1	خرع	خَرِعَ	v					
1	خرف	خَرِفَ	v					
1	خرز	خَرِزَ	v					
1	رصع	رَصِعَ	v					
1	رضخ	رَضَخَ	x					
1	نعق	نَعَقَ	v					
1	رضع	رَضَعَ	v					
1	رضع	رَضَعَ	x					
1	رصع	رَصَعَ	y					
1	خطب	خَطِبَ	v					
1	رعب	رَعَبَ	y					
1	نفس	نَفِسَ	x					
1	ذلف	ذَلِفَ	v					
1	رعف	رَعِفَ	v					
1	رقب	رَقِبَ	v					
1	نمس	نَمَسَ	y					
1	خطف	خَطِفَ	x					
1	خصر	خَصِرَ	v					
1	خضب	خَضِبَ	v					
1	ضغط	ضَغَطَ	x					
1	حكر	حَكَرَ	y					
1	خلف	خَلِفَ	v					
1	صنع	صَنَعَ	y					
1	قطم	قَطِمَ	v					
1	دعم	دَعَمَ	x					
1	حفل	حَفَلَ	v					
1	طلح	طَلِحَ	v					
1	خصم	خَصَمَ	x					
1	سخط	سَخِطَ	x					
1	خطل	خَطِلَ	v					
1	خنس	خَنَسَ	y					
1	خور	خَوِرَ	v					
1	سنم	سَنِمَ	v					
1	كنس	كَنَسَ	v					
1	زعر	زَعِرَ	v					
1	كبس	كَبِسَ	v					
1	دجر	دَجِرَ	v					
1	عمد	عَمِدَ	x					
1	صبح	صَبِحَ	v					
1	قرط	قَرِطَ	v					
1	دمن	دَمِنَ	v					
1	دبر	دَبِرَ	v					
1	دبش	دَبَشَ	x					
1	نهك	نَهَكَ	y					
1	شخص	شَخَصَ	v					
1	هدم	هَدَمَ	y					
1	دخل	دَخِلَ	v					
1	نهك	نَهِكَ	y					
1	نهم	نَهَمَ	v					
1	حرب	حَرِبَ	v					
1	دحس	دَحِسَ	v					
1	دعك	دَعِكَ	v					
1	نبذ	نَبَذَ	x					
1	كنز	كَنَزَ	x					
1	يقن	يَقِنَ	x					
1	قرن	قَرَنَ	y					
1	فطم	فَطَمَ	y					
1	رمد	رَمِدَ	v					
1	زعق	زَعِقَ	v					
1	دعس	دَعَسَ	y					
1	شمخ	شَمَخَ	v					
1	رقش	رَقِشَ	v					
1	دعص	دَعَصَ	y					
1	كفل	كَفِلَ	y					
1	خسف	خَسَفَ	x					
1	ثلم	ثَلِمَ	x					
1	قرق	قَرَقَ	v					
1	كسف	كَسَفَ	x					
1	فرع	فَرِعَ	v					
1	خسر	خَسِرَ	x					
1	مهر	مَهَرَ	y					
1	دغم	دَغِمَ	y					
1	دلع	دَلَعَ	x					
1	نخب	نَخِبَ	v					
1	دغم	دَغِمَ	v					
1	درع	دَرِعَ	v					
1	دغص	دَغِصَ	v					
1	كمن	كَمِنَ	v					
1	دسق	دَسِقَ	v					
1	حفظ	حَفِظَ	y					
1	درم	دَرِمَ	v					
1	دفع	دَفَعَ	y					
1	شهم	شَهَمَ	y					
1	درم	دَرَمَ	v					
1	سفع	سَفَعَ	y					
1	جدل	جَدَلَ	y					
1	ربذ	رَبِذَ	v					
1	ملط	مَلِطَ	v					
1	ذعف	ذَعَفَ	v					
1	ذعف	ذَعَفَ	y					
1	نقم	نَقِمَ	x					
1	جدل	جَدِلَ	v					
1	جدر	جَدِرَ	v					
1	نصح	نَصَحَ	y					
1	ذهل	ذَهِنَ	x					
1	جبه	جَبِهَ	v					
1	جدف	جَدَفَ	x					
1	ركب	رَكِبَ	v					
1	رتج	رَتِجَ	v					
1	رتق	رَتِقَ	v					
1	نخر	نَخِرَ	v					
1	رثم	رَثَمَ	x					
1	نزح	نَزَحَ	y					
1	رجب	رَجِبَ	y					
1	هزم	هَزَمَ	v					
1	همز	هَمَزَ	y					
1	كرز	كَرَزَ	v					
1	قبح	قَبَحَ	y					
1	لسن	لَسِنَ	v					
1	رجل	رَجِلَ	v					
1	رجس	رَجِسَ	v					
1	غرد	غَرِدَ	v					
1	شرم	شَرَمَ	x					
1	حسك	حَسِكَ	v					
1	ثلب	ثَلَبَ	y					
1	نعم	نَعِمَ	v					
1	جبذ	جَبَذَ	x					
1	فره	فَرِهَ	v					
1	جمع	جَمَعَ	y					
1	جنب	جَنَبَ	y					
1	كبش	كَبَشَ	x					
1	جشع	جَشِعَ	v					
1	كرش	كَرِشَ	v					
1	جعل	جَعَلَ	yw					
1	جدع	جَدَعَ	y					
1	جذم	جَذِمَ	v					
1	خنف	خَنِفَ	v					
1	جذع	جَذَعَ	y					
1	سعف	سَعِفَ	v					
1	فسد	فَسَدَ	v					
1	حلم	حَلِمَ	v					
1	جذف	جَذَفَ	x					
1	ثقف	ثَقِفَ	y					
1	جرد	جَرِدَ	v					
1	فقر	فَقِرَ	v					
1	جذل	جَذِلَ	v					
1	رغم	رَغَمَ	y					
1	جزع	جَزِعَ	v					
1	رهب	رَهِبَ	x					
1	رهص	رَهِصَ	v					
1	نطس	نَطِسَ	v					
1	ركع	رَكَعَ	v					
1	رمد	رَمَدَ	v					
1	عقص	عَقَصَ	x					
1	رمش	رَمِشَ	v					
1	رغف	رَغَفَ	x					
1	كشح	كَشِحَ	v					
1	ذرح	ذَرَحَ	x					
1	رعن	رَعِنَ	v					
1	سمح	سَمَحَ	v					
1	رفد	رَفَدَ	y					
1	دهك	دَهَكَ	x					
1	ردح	رَدَحَ	y					
1	رزح	رَزَحَ	y					
1	جهر	جَهَرَ	y					
1	رذل	رَذِلَ	v					
1	نعس	نَعَسَ	v					
1	فعم	فَعِمَ	y					
1	نصب	نَصِبَ	v					
1	ركن	رَكِنَ	v					
1	رمح	رَمَحَ	y					
1	رشح	رَشَحَ	v					
1	بشر	بَشِرَ	v					
1	خشب	خَشِبَ	v					
1	حرش	حَرِشَ	v					
1	قنع	قَنِعَ	v					
1	دمث	دَمِثَ	v					
1	دمس	دَمَسَ	v					
1	رفش	رَفِشَ	v					
1	دله	دَلِهَ	v					
1	دمغ	دَمَغَ	y					
1	قود	قَوِدَ	v					
1	رعش	رَعَشَ	v					
1	مرد	مَرِدَ	v					
1	دهس	دَهِسَ	v					
1	لغد	لَغَدَ	y					
1	دهش	دَهَشَ	y					
1	دهش	دَهِشَ	v					
1	لحف	لَحَفَ	y					
1	قفص	قَفِصَ	v					
1	سطع	سَطِعَ	v					
1	ذبر	ذَبَرَ	x					
1	عفن	عَفَنَ	y					
1	عشب	عَشِبَ	v					
1	رفع	رَفَعَ	y					
1	صحب	صَحِبَ	y					
1	ذخر	ذَخَرَ	x					
1	ذرف	ذَرَفَ	x					
1	عصم	عَصَمَ	y					
1	دهم	دَهَمَ	y					
1	خلص	خَلِصَ	v					
1	دوش	دَوِشَ	v					
1	شظف	شَظِفَ	v					
1	شمل	شَمِلَ	y					
1	زمن	زَمِنَ	v					
1	طبع	طَبَعَ	y					
1	محق	مَحَقَ	y					
1	ربث	رَبَثَ	y					
1	درج	دَرِجَ	v					
1	نجس	نَجِسَ	v					
1	بخس	بَخَسَ	yz					
1	ضبن	ضَبِنَ	v					
1	علب	عَلِبَ	v					
1	حنف	حَنَفَ	v					
1	حقب	حَقِبَ	v					
1	صحن	صَحَنَ	y					
1	نهش	نَهَشَ	y					
1	ظهر	ظَهِرَ	v					
1	حضر	حَضِرَ	x					
1	قضم	قَضَمَ	x					
1	غرز	غَرَزَ	y					
1	فجع	فَجَعَ	y					
1	عدس	عَدَسَ	y					
1	نفر	نَفَرَ	v					
1	كبل	كَبَلَ	y					
1	محك	مَحَكَ	v					
1	حتم	حَتَمَ	x					
1	عصب	عَصَبَ	v					
1	فلح	فَلِحَ	v					
1	دحص	دَحَصَ	x					
1	سنح	سَنَحَ	v					
1	زعج	زَعَجَ	y					
1	حسر	حَسِرَ	v					
1	طفل	طَفِلَ	v					
1	شرب	شَرَبَ	x					
1	نبه	نَبِهَ	v					
1	طرش	طَرِشَ	v					
1	ضمن	ضَمِنَ	v					
1	خصف	خَصِفَ	v					
1	غرز	غَرِزَ	v					
1	فدح	فَدَحَ	y					
1	رغن	رَغَنَ	v					
1	ترح	تَرِحَ	v					
1	شذب	شَذَبَ	y					
1	نحط	نَحَطَ	y					
1	خضر	خَضِرَ	v					
1	رفه	رَفَهَ	y					
1	قور	قَوِرَ	v					
1	ذعر	ذَعَرَ	y					
1	سقف	سَقِفَ	v					
1	دحض	دَحَضَ	x					
1	حرج	حَرِجَ	x					
1	بهج	بَهَجَ	y					
1	متع	مَتَعَ	v					
1	قبع	قَبَعَ	v					
1	قبل	قَبِلَ	y					
1	فصم	فَصَمَ	x					
1	عكش	عَكِشَ	v					
1	لطم	لَطَمَ	y					
1	نظم	نَظَمَ	x					
1	فتن	فَتَنَ	y					
1	فتك	فَتَكَ	v					
1	عرم	عَرِمَ	v					
1	صقع	صَقَعَ	v					
1	دجم	دَجِمَ	v					
1	فطح	فَطِحَ	v					
1	سفع	سَفِعَ	v					
1	جلخ	جَلَخَ	y					
1	شغف	شَغِفَ	v					
1	خشم	خَشِمَ	v					
1	زمع	زَمِعَ	v					
1	نشف	نَشِفَ	x					
1	سبح	سَبَحَ	v					
1	سبخ	سَبِخَ	v					
1	سفه	سَفَهَ	y					
1	ذهب	ذَهَبَ	x					
1	ضعف	ضَعَفَ	y					
1	زعط	زَعَطَ	y					
1	دحر	دَحَرَ	y					
1	نحس	نَحِسَ	v					
1	روح	رَوِحَ	v					
1	زمع	زَمَعَ	v					
1	جلب	جَلَبَ	y					
1	رهف	رَهَفَ	x					
1	سمع	سَمِعَ	x					
1	شجب	شَجِبَ	v					
1	نهر	نَهَرَ	x					
1	مصح	مَصَحَ	x					
1	طعن	طَعَنَ	y					
1	ثرب	ثَرَبَ	y					
1	فخر	فَخَرَ	y					
1	مهل	مَهَلَ	v					
1	جهل	جَهِلَ	x					
1	نغم	نَغِمَ	v					
1	نشم	نَشِمَ	v					
1	نكد	نَكِدَ	v					
1	ذعر	ذَعِرَ	v					
1	رضف	رَضَفَ	y					
1	قمل	قَمِلَ	v					
1	فرك	فَرَكَ	x					
1	غصن	غَصَنَ	y					
1	دفن	دَفَنَ	y					
1	همس	هَمَسَ	x					
1	جرع	جَرِعَ	x					
1	نعش	نَعَشَ	y					
1	معق	مَعَقَ	x					
1	فطس	فَطَسَ	y					
1	نشر	نَشِرَ	v					
1	صدح	صَدَحَ	v					
1	سطح	سَطَحَ	yz					
1	نهم	نَهِمَ	v					
1	هرد	هَرِدَ	v					
1	دغر	دَغَرَ	y					
1	قنص	قَنَصَ	x					
1	شحم	شَحَمَ	y					
1	قرض	قَرِضَ	v					
1	نقم	نَقَمَ	x					
1	عصد	عَصَدَ	v					
1	جزف	جَزَفَ	x					
1	سفك	سَفَكَ	x					
1	هبش	هَبِشَ	v					
1	ذرق	ذَرَقَ	v					
1	عزب	عَزَبَ	v					
1	كبس	كَبَسَ	x					
1	هذب	هَذَبَ	x					
1	لهث	لَهِثَ	v					
1	قزم	قَزِمَ	v					
1	قتم	قَتِمَ	v					
1	خنز	خَنِزَ	v					
1	لهب	لَهِبَ	v					
1	رعش	رَعِشَ	v					
1	لطع	لَطَعَ	y					
1	رهق	رَهِقَ	y					
1	زلج	زَلَجَ	v					
1	خفت	خَفَتَ	v					
1	نكه	نَكَهَ	y					
1	عقل	عَقَلَ	y					
1	مذق	مَذَقَ	x					
1	نقه	نَقَهَ	x					
1	ثبط	ثَبِطَ	v					
1	طعم	طَعِمَ	x					
1	عهد	عَهِدَ	y					
1	قلم	قَلَمَ	x					
1	بهر	بَهَرَ	y					
1	قمع	قَمَعَ	y					
1	حزم	حَزِمَ	v					
1	غمض	غَمَضَ	v					
1	نجل	نَجِلَ	v					
1	شهب	شَهَبَ	y					
1	عتق	عَتَقَ	v					
1	ضجر	ضَجِرَ	v					
1	شرح	شَرَحَ	x					
1	زبد	زَبَدَ	x					
1	خنث	خَنِثَ	v					
1	ترب	تَرِبَ	v					
1	هدل	هَدَلَ	x					
1	تله	تَلِهَ	x					
1	طهر	طَهَرَ	x					
1	كتف	كَتِفَ	v					
1	عطش	عَطِشَ	v					
1	كتف	كَتَفَ	v					
1	حرص	حَرَصَ	x					
1	قشر	قَشَرَ	x					
1	صفع	صَفَعَ	y					
1	نكف	نَكِفَ	v					
1	شحن	شَحَنَ	y					
1	زنم	زَنِمَ	v					
1	نوق	نَوِقَ	v					
1	عور	عَوِرَ	v					
1	سحم	سَحِمَ	v					
1	ختم	خَتَمَ	x					
1	سعر	سَعَرَ	v					
1	قلع	قَلِعَ	v					
1	حمل	حَمَلَ	v					
1	صنع	صَنِعَ	v					
1	نعج	نَعِجَ	v					
1	قوس	قَوِسَ	v					
1	دهم	دَهِمَ	v					
1	نتف	نَتَفَ	x					
1	قعس	قَعَسَ	x					
1	سحر	سَحِرَ	v					
1	نحل	نَحَلَ	y					
1	دعك	دَعَكَ	y					
1	صفر	صَفِرَ	v					
1	سرس	سَرِسَ	v					
1	عمش	عَمَشَ	y					
1	خرم	خَرَمَ	y					
1	غسق	غَسِقَ	v					
1	سفه	سَفِهَ	x					
1	نغص	نَغَصَ	y					
1	حذق	حَذَقَ	x					
1	هيف	هَيِفَ	v					
1	نشق	نَشِقَ	v					
1	حبل	حَبِلَ	v					
1	فدع	فَدَعَ	y					
1	هتف	هَتَفَ	v					
1	حذف	حَذَفَ	y					
1	فحل	فَحَلَ	y					
1	لحن	لَحِنَ	x					
1	سعد	سَعَدَ	y					
1	خسر	خَسَرَ	x					
1	قلب	قَلِبَ	v					
1	رجع	رَجَعَ	y					
1	نفح	نَفَحَ	y					
1	دسع	دَسَعَ	v					
1	هتن	هَتَنَ	v					
1	عتم	عَتَمَ	v					
1	كشط	كَشَطَ	x					
1	نفع	نَفَعَ	y					
1	عدل	عَدَلَ	y					
1	كفن	كَفَنَ	y					
1	قحل	قَحِلَ	v					
1	بصم	بَصَمَ	v					
1	حلك	حَلِكَ	v					
1	عبد	عَبِدَ	v					
1	حزر	حَزَرَ	x					
1	سحق	سَحَقَ	y					
1	نصت	نَصَتَ	v					
1	عبس	عَبِسَ	v					
1	طمر	طَمَرَ	v					
1	خدع	خَدَعَ	y					
1	صلت	صَلَتَ	v					
1	حرد	حَرِدَ	v					
1	طمس	طَمَسَ	v					
1	ظهر	ظَهَرَ	v					
1	طلق	طَلِقَ	v					
1	حصب	حَصِبَ	v					
1	صلف	صَلِفَ	v					
1	صوف	صَوِفَ	v					
1	ضغث	ضَغَثَ	x					
1	ذرع	ذَرِعَ	v					
1	صلد	صَلَدَ	v					
1	كظم	كَظَمَ	x					
1	سرق	سَرِقَ	v					
1	ظعن	ظَعَنَ	v					
1	ظفر	ظَفَرَ	x					
1	ظفر	ظَفِرَ	y					
1	حزق	حَزَقَ	y					
1	ظلف	ظَلَفَ	y					
1	قلف	قَلِفَ	v					
1	ردع	رَدَعَ	y					
1	عزف	عَزَفَ	v					
1	طلب	طَلِبَ	v					
1	لقن	لَقِنَ	x					
1	غسل	غَسَلَ	y					
1	طلس	طَلَسَ	x					
1	طلس	طَلِسَ	v					
1	يمن	يَمِنَ	y					
1	غصب	غَصَبَ	y					
1	صعد	صَعِدَ	x					
1	لطخ	لَطَخَ	y					
1	ضغم	ضَغَمَ	y					
1	ضرم	ضَرِمَ	v					
1	نحس	نَحَسَ	y					
1	ضلع	ضَلَعَ	y					
1	صقع	صَقَعَ	y					
1	ضحل	ضَحَلَ	v					
1	ضمد	ضَمَدَ	y					
1	خنع	خَنَعَ	v					
1	ضفر	ضَفَرَ	x					
1	ضبح	ضَبَحَ	y					
1	جوف	جَوِفَ	v					
1	ندم	نَدِمَ	v					
1	صفح	صَفَحَ	y					
1	صهب	صَهِبَ	v					
1	عبط	عَبَطَ	y					
1	قصف	قَصِفَ	v					
1	حدب	حَدِبَ	v					
1	فرز	فَرَزَ	x					
1	عتب	عَتَبَ	x					
1	ضرع	ضَرِعَ	v					
1	نجح	نَجَحَ	v					
1	صقع	صَقِعَ	v					
1	صلب	صَلَبَ	y					
1	شرط	شَرِطَ	v					
1	شرع	شَرَعَ	x					
1	دعث	دَعِثَ	v					
1	لفح	لَفَحَ	y					
1	شرق	شَرِقَ	v					
1	شرك	شَرِكَ	y					
1	حنق	حَنِقَ	v					
1	شره	شَرِهَ	v					
1	طرح	طَرَحَ	y					
1	نصف	نَصَفَ	v					
1	شعث	شَعِثَ	v					
1	جيد	جَيِدَ	v					
1	دمل	دَمِلَ	v					
1	تلع	تَلَعَ	x					
1	شجن	شَجِنَ	v					
1	شغف	شَغَفَ	yz					
1	عجف	عَجَفَ	y					
1	شحط	شَحَطَ	y					
1	تلع	تَلِعَ	v					
1	ردم	رَدَمَ	y					
1	بهت	بَهَتَ	y					
1	زرب	زَرِبَ	v					
1	رتل	رَتِلَ	v					
1	عضل	عَضِلَ	v					
1	شعل	شَعَلَ	x					
1	شمع	شَمَعَ	v					
1	جهم	جَهَمَ	y					
1	دغش	دَغَشَ	v					
1	طبق	طَبِقَ	v					
1	عبث	عَبِثَ	v					
1	مسخ	مَسَخَ	x					
1	طحلب	طَحِلَ	v					
1	طحن	طَحَنَ	y					
1	طمن	طَمَثَ	x					
1	طمع	طَمِعَ	v					
1	خضب	خَضَبَ	x					
1	طنب	طَنِبَ	v					
1	نبز	نَبَزَ	y					
1	رمض	رَمِضَ	v					
1	قسم	قَسَمَ	x					
1	طرس	طَرَسَ	x					
1	لفت	لَفِتَ	v					
1	نغز	نَغَزَ	y					
1	سرب	سَرِبَ	v					
1	طرف	طَرَفَ	y					
1	خبط	خَبَطَ	y					
1	طرد	طَرَدَ	v					
1	طمس	طَمَسَ	x					
1	صدم	صَدَمَ	y					
1	طبع	طَبِعَ	v					
1	ضمد	ضَمِدَ	v					
1	يسر	يَسِرَ	v					
1	طفح	طَفَحَ	x					
