#رقم 	مشكول	غير مشكول	جذر	وزن	صنف	اصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرده المحسوب	تأنيث	تثنية	ج.مؤ.س	ج. مذ. س.	منقوص	تنوين النصب	نسب	إض. لف.	ـو	نكرة	معرف	غ. عاقل	عاقل	تنون النصب للجمع	شرح
9490	نِقَابٌ	نقاب	نقب					مذكر			مفرد	نُقُبٌ 			DnN				Tn	Rp								". 1.: الْقِنَاعُ، الْخِمَارُ، الْحِجَابُ، أَيْ مَا تَجْعَلُهُ الْمَرْأَةُ عَلَى أَنْفِهَا أَوْ وَجْهِهَا تَتَسَتَّرُ بِهِ. 2.""كَشَ"
9496	نَقِيبٌ	نقيب	نقب					مذكر			مفرد	نُقَبَاءُ 			DnN				Tn	R								". 1.""نَقِيبُ الْمِيزَانِ : لِسَانُهُ. 2.""نَقِيبُ الأَشْرَافِ"" : مُقَدَّمُهُمْ، سَيِّدُهُمْ. 3.""نَقِيبُ الْمُحَامِينَ"" : رَئِيسُهُمْ وَعَرِيفُهُمْ وَمَنْ يَتَوَلَّى شُؤُونَهُمْ وَرِعَ"
9500	نَاقُورٌ	ناقور	نقر					مذكر			مفرد	نَوَاقِيرُ 			DnN				Tn	R								. المدثر آية 8فَإِذَا نُقِرَ فِي النَّاقُورِ (قرآن) : بُوقٌ يُنْفَخُ فِيهِ.
9507	نِقْرِسٌ	نقرس	نقرس					مذكر			مفرد	نَقَارِسُ 			DnN				Tn	R								(طب). : دَاءُ الرُّومَاتِزْمِ يَحْدُثُ فِي مَفَاصِلِ الْقَدَمِ.
9534	مِنْقَلٌ	منقل	نقل					مذكر			مفرد	مَنَاقِلُ 			DnN				Tn	R								". 1. : آلَةٌ لِقِيَاسِ الزَّوَايَا فِي الرَّسْمِ. 2. : آلَةٌ لِنَقْلِ الأَحْجَارِ والأَتْرِبَةِ وغَيْرِهَا يَسْتَخْدِمُهَا عُمَّالُ البِنَاءِ. 3.""اِنْتَقَلَ مِنْقَلاً"" : حِذَاءً خَفِيفاً."
9541	نِقْنِقٌ	نقنق	نقنق					مذكر			مفرد	نَقَانِقُ 			DnN				Tn	R								. : ذَكَرُ النَّعَامِ.
9553	مَنْكِبٌ	منكب	نكب					مذكر			مفرد	مَنَاكِبُ مثنى: مَنْكِبَانِ 			DnN				Tn	R								". 1.""طَوِيلُ القَامَةِ عَرِيضُ الْمَنْكِبَيْنِ"" : مُجْتَمَعُ رَأْسِ الكَتِفِ. 2.""مَنْكِبُ الطَّرِيقِ"" : جَانِبُهَا، الْمَوْضِعُ الْمُرْتَفِعُ مِنْهَا، نَاحِيَتُهَا.الملك آية 15 هُوَ الَّذِي جَعَلَ لَكُم"
9557	مِنْكَاشٌ	منكاش	نكش					مذكر			مفرد	مَنَاكِشُ 			DnN				Tn	R								. : مِعْزَقَةٌ، آلَةٌ مُكَوَّنَةٌ مِنْ حَدِيدَةٍ مُسَطَّحَ
9572	نُمْرُقٌ	نمرق	نمرق					مذكر			مفرد	نَمَارِقُ 			DnN				Tn	R								". ""اِتَّكَأَ عَلَى نُمْرُقٍ"" : وِسَادَة صَغِيرَة يُتَّكَأُ عَلَيْهَا.الغاشية آية 15وَنَمَارِقُ مَصْفُوفَةٌ (قرآن)."
9574	نَامُوسٌ	ناموس	نمس					مذكر			مفرد	نَوَامِيسُ 			DnN				Tn	R								". 1.""لاَ يَخْضَعُ إِلاَّ لِنَامُوسٍ وَاحِدٍ هُوَ نَامُوسُ اللَّهِ"" : شَرِيعَةُ اللَّهِ. 2.""أَتَى بِنَامُوسٍ عَجِيبٍ"" : حِيلَةٌ، مَهَارَةٌ. ""ظَنَّ الْجَمِيعُ أَنَّهُ سَيَعُودُ لِمَعَارِفَ وَنَوَامِيسَ تَقْلِبُ الأَحْجَارَ إِبْرِيزاً"". (عبد الله العروي). 3.""هُوَ ن"
