#رقم 	مشكول	غير مشكول	جذر	وزن	صنف	اصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرده المحسوب	تأنيث	تثنية	ج.مؤ.س	ج. مذ. س.	منقوص	تنوين النصب	نسب	إض. لف.	ـو	نكرة	معرف	غ. عاقل	عاقل	تنون النصب للجمع	شرح
4	جَوَارِيفُ	جواريف	جرف		اسم أداة			مؤنث			جمع		جَارُوفٌ														Non	
18	حَرْقى	حرقى	حرق		اسم			مؤنث			جمع		حَرِيقٌ														Non	
24	غَزَواتٌ	غزوات	غزو		اِسْمٌ			مؤنث			جمع								Tn									
40	أَعْنَانٌ	أعنان	عنن		اسم			مؤنث			جمع		عَنَنٌ						Tn									
104	مَذَارِي	مذاري	ذرر					مؤنث			جمع							Tk	Tn									
113	مساحي	مساحي	سحو					مؤنث			جمع							Tk	Tn									
128	مَغَاسِلُ	مغاسل	غسل		اسم آلة			مؤنث			جمع		مَغْسِلٌ														Non	
130	مغالي	مغالي	غلي		اسم آلة			مؤنث			جمع							Tk	Tn									
134	مَفَاتِلُ	مفاتل	فتل		اسم آلة			مؤنث			جمع		مِفْتَلٌ														Non	
137	مَقَاشِطُ	مقاشط	قشط		اسم آلة			مؤنث			جمع		مِقْشَطَةٌ														Non	
140	مَقَاصُّ	مقاص	قصص		اسم آلة			مؤنث			جمع		مِقَصٌّ						Tn									
142	قَيَاثِرُ	قياثر	قيثارة		اسم آلة			مؤنث			جمع																Non	
144	مَكَابِسُ	مكابس	كبس		اسم آلة			مؤنث			جمع		مِكْبَسٌ														Non	
147	مَكَانِسُ	مكانس	كنس		اسم آلة			مؤنث			جمع		مِكْنَسَةٌ														Non	
150	أَمْشَاطٌ	أمشاط	مشط		اسم آلة			مؤنث			جمع		مُشْطٌ						Tn									
153	مَنَاجِرُ	مناجر	نجر		اسم آلة			مؤنث			جمع		مَنْجَرٌ														Non	
155	مَنَاحِيتُ	مناحيت	نحت		اسم آلة			مؤنث			جمع		مِنْحَاتٌ														Non	
157	نَوَاظِيرُ	نواظير	نظر		اسم آلة			مؤنث			جمع		نَاظُورٌ														Non	
159	رَوَايا	روايا	روي		اسم آلة			مؤنث			جمع		رَاوِيَةٌ														Non	
161	مِرَارٌ	مرار	مرر		اسم آلة			مؤنث			جمع		مَرَّةٌ						Tn									
168	حَرابِيُّ	حرابي	حرب		اسم آلة			مؤنث			جمع		حِرْباءُ						Tn									
169	عَرَاقِيلُ	عراقيل	عرقل		اسم آلة			مؤنث			جمع																Non	"عَرَاقِيلُ-عَرَاقِيلُ [ع ر ق ل] (بِصِيغَةِ الْجَمْعِ). ن. عَرْقَلَةٌ. ""وَاجَهَ العَرَاقِيلَ"" : الصِّعَابَ، الْمَشَاكِلَ."
170	تَبَاشِيرُ	تباشير	بشر		اسم آلة			مؤنث			جمع																Non	"تَبَاشِيرُ-تَبَاشِيرُ [ب ش ر] (بِصِيغَةِ الجَمْعِ). ""وَعَلَتْ زَقْزَقَةُ الع"
171	أَسَارِيرُ	أسارير	سرر		اسم آلة			مؤنث			جمع																Non	"أَسَارِيرُ-أَسَارِيرُ [س ر ر] (بِصِيغَةِ الجَمْعِ). 1.""تَطَلَّعَتْ فِي أَسَارِيرِ كَفِّهِ"" : فِي خُطُوطِهَا. 2.""كَانَتْ أَسَارِيرُ وَجْهِهِ تُعَبِّرُ عَنِ الاِرْتِيَاحِ"" : خُطُوطُ الوَجْهِ وَمَا تُعَبِّرُ عَنْهُ مِنْ مَحَاسِنَ. ويقال أَيْضاً أسَارِيرُ الوَجْهِ والجبْهَةِ."
174	أَسْواقٌ	أسواق	سوق		اسم آلة			مؤنث			جمع		سُوقٌ						Tn									
198	آماسي	آماسي	أمس					مؤنث			جمع							Tk	Tn									
200	مَاجَرَيَاتٌ	ماجريات	جري					مؤنث			جمع								Tn				O	O	O	N		"مَاجَرَيَاتٌ-مَاجَرَيَاتٌ [ج ر ي] (كَلِمَةٌ مَأْخُوذَةٌ مِنْ ""جَرَى مَا جَرَى""). 1"
207	وِلْدَةٌ	ولدة	ولد					مؤنث			جمع		وَلَدٌ						Tn									
219	أَخِلاَّءُ	أخلاء	خلو					مؤنث			جمع		خِلْوٌ														Non	
227	أَجْبِنَةٌ	أجبنة	جبن					مؤنث			جمع		جَبِينٌ						Tn									
229	أَمْعَاءٌ	أمعاء	معو					مؤنث			جمع		مِعًى						Tn									
230	أَمْعِيَةٌ	أمعية	معو					مؤنث			جمع		مِعَاءٌ						Tn									
237	أسْلِحَةٌ	أسلحة	سلح					مؤنث			جمع		سِلاَحٌ						Tn									
240	طُرُقَاتٌ	طرقات	طرق					مؤنث			جمع		طَرِيقٌ						Tn									
245	مواسي	مواسي	موس					مؤنث			جمع							Tk	Tn									
260	نِيَرانٌ	نيران	نور					مؤنث			جمع		نَارٌ						Tn									
263	ذُرْعانٌ	ذرعان	ذرع					مؤنث			جمع		ذِراعٌ						Tn									
303	أَبَالِسَةٌ	أبالسة	إبليس					مؤنث			جمع		إبْلِيسُ						Tn									
327	مآتي	مآتي	أتي					مؤنث			جمع							Tk	Tn									
328	أَثَافِيٌّ	أثافي	أثافي					مؤنث			جمع								Tn									ن. أُثْفِيَّةٌ.
334	أَثَافِيٌّ	أثافي	أثافي					مؤنث			جمع							Tk	Tn									ن. أُثْفِيَّةٌ.
364	أُخْرَيَاتٌ	أخريات	أخر					مؤنث			جمع								Tn									
368	إِخْوَةٌ	إخوة	أخو					مؤنث			جمع		أَخٌ						Tn									
371	أَخَوَاتٌ	أخوات	أخو					مؤنث			جمع		أُخْتٌ						Tn									
382	آدِمَةٌ	آدمة	أدم					مؤنث			جمع		أَدِيمٌ						Tn									
385	أَدَوَاتٌ	أدوات	أدو					مؤنث			جمع		أدَاةٌ						Tn									
390	آذَانٌ	آذان	أذن					مؤنث			جمع		أُذْنٌ						Tn									
411	أَرَاضِي	أراضي	أرض					مؤنث			جمع							Tk	Tn									
417	أَرْكَانٌ	أركان	أركان					مؤنث			جمع	رُكْن							Tn	R								"جمع رُكْن. 1.""أَرْكَانُ الإسْلامِ خَمْسَةٌ"" : قَوَاعِدُهُ، أُسُسُهُ. 2.""الأَرْكَانُ الأَرْبَعَةُ"" : الهَوَاءُ وَالنَّارُ وَالأَرْضُ وَالْمَاءُ، عَنَاصِرُ الحَيَاةِ. 3.""هُوَ مِنْ أَرْكَانِ الدَّوْلَةِ"" : مِنْ أَعْمِدَتِهَا. 4."" أَرْكَانُ الجَيْشِ"" : الضُّبَّاطُ الكِبَارُ الَّذِينَ يُشْرِفُونَ عَلَى الجَيْشِ. 5.""بُنْيَانٌ ثَابِتُ الأرْكَانِ"" : مَتِينُ الأسُسِ. ""اِرْتِقَاءُ البِلاَدِ يَحْتَاجُ إِلَى عِلْمٍ وَجُهْدٍ وَبِنَاءٍ وَدَعَائِمَ وَأَرْكَانٍ""."
451	مَوَاشِي	مواشي	مشي					مؤنث			جمع		مَاشِيَة					Tk	Tn									. ن. مَاشِيَةٌ.
461	اِسْفَنْجِيَّاتٌ	اسفنجيات	اسفنجيات					مؤنث			جمع								Tn				O	O	O	N		: شُعْبَةٌ حَيَوانِيَّةٌ مِنَ الحَلَوِيَّاتِ مُكَوَّنَةٌ مِنَ الإسْفَنْجِ.
463	إِسْقُمْرِيَّاتٌ	إسقمريات	إسقمريات					مؤنث			جمع								Tn				O	O	O	N		إِسْقُمْرِيَّاتٌ-إِسْقُمْرِيَّاتٌ (حو).: فَصِيلَةُ أَسْماكٍ، وَهِيَ مِنَ الكامِلاتِ العِظامِ.
476	مَآسِي	مآسي	أسي					مؤنث			جمع							Tk	Tn									
495	آطِمَةٌ	آطمة	أطوم					مؤنث			جمع		أَطومٌ						Tn				O	O	O	N		
502	أَفاعِي	أفاعي	أفعى					مؤنث			جمع							Tk	Tn									
547	آلِهَةٌ	آلهة	أله					مؤنث			جمع		إلَهٌ						Tn									
548	إلَهِيَّاتٌ	إلهيات	أله					مؤنث			جمع								Tn				O	O	O	N		إلَهِيَّاتٌ-إلَهِيَّاتٌ [أ ل هـ].: كُلُّ ما يَتَعَلَّقُ بِذَاتِ الإلَهِ وَصِفَاتِهِ وَ يُعالِجُ مَا لَهُ عَلاَقَةٌ بِالقَضَايَا الإلاَهِيَّةِ، وَفَلْسَفَةِ مَا وَرَاءَ الطَّبِيعَة.
551	آلاَءٌ	آلاء	ألي					مؤنث			جمع		أَلَى						Tn									
553	آلاءٌ	آلاء	إلي					مؤنث			جمع		إلْيٌ						Tn									
557	أُمَّهَاتٌ	أمهات	أم					مؤنث			جمع		أُمٌّ						Tn									
569	نِساءٌ	نساء	امرأة					مؤنث			جمع		اِمْرَأَةٌ						Tn	Rz								
570	نِسْوَةٌ	نسوة	امرأة					مؤنث			جمع		اِمْرَأَةٌ						Tn									
571	نِسْوانٌ	نسوان	امرأة					مؤنث			جمع		اِمْرَأَةٌ														Non	
586	إمَاءٌ	إماء	أمو					مؤنث			جمع		أمَةٌ						Tn									
609	أَناسِيُّ	أناسي	إنسان					مؤنث			جمع		إِنْسانٌ														Non	
616	أَنْقَليسِيَّاتٌ	أنقليسيات	أنقليسيات					مؤنث			جمع								Tn				O	O	O	N		: فَصيلَةُ أَسْماكِ مُتَمَيِّزَةٌ بِطولِها، تَعيشُ في البِحارِ والأنْهارِ، مِنْ أَشْهَرِ أَنْواعِها الأَنْقَلِيسُ.
622	آنِيَةٌ	آنية	أني					مؤنث			جمع								Tn									
623	أوانِي	أواني	أني					مؤنث			جمع							Tk	Tn									
633	أهَالِي	أهالي	أهل					مؤنث			جمع							Tk	Tn									
636	آوِنَةٌ	آونة	أوان					مؤنث			جمع		أوَانٌ						Tn									
653	آيٌ	آي	أوي					مؤنث			جمع		آيَةٌ						Tn									
663	أيَاَمى	أيامى	أيم					مؤنث			جمع		أيِّمٌ														Non	
665	أَوَاوينُ	أواوين	إيوان					مؤنث			جمع		إِيوَانٌ														Non	
669	بَابَوَاتٌ	بابوات	بابا					مؤنث			جمع		بَابَا						Tn									
675	بَوَادي	بوادي	بادية					مؤنث			جمع							Tk	Tn									
677	بَاذِنْجَانِيَّاتٌ	باذنجانيات	باذنجانيات					مؤنث			جمع								Tn				O	O	O	N		: فَصِيلَةٌ نَبَاتِيَّةٌ مِنْ ذَوَاتِ الفِلْقَتَيْن، فِيهَا أَنْوَاعٌ كَثيرَةٌ، بَرِّيَّةٌ سَامَّةٌ، وَزِراعِيَّةٌ تُؤْكَلُ.
690	بُزاةٌ	بزاة	باز					مؤنث			جمع		بَازٌ						Tn									
691	بِيزَانٌ	بيزان	باز					مؤنث			جمع		بَازٌ						Tn									
698	بَاشَواتٌ	باشوات	باشا					مؤنث			جمع								Tn									
702	بَواطي	بواطي	باطية					مؤنث			جمع							Tk	Tn									
709	بانِيَّاتٌ	بانيات	بانيات					مؤنث			جمع								Tn				O	O	O	N		: فَصِيلَةُ شَجَرِ البانِ، أنَواعُها مُتَعدِّدَةٌ. جَمِيعُها أشْجَارٌ، وَهِيَ شَجَراتٌ خُنْثَوِيَّةُ الأزْهارِ.
713	بَبَّغاوَاتٌ	ببغاوات	ببغاء					مؤنث			جمع		بَبَّغاءُ						Tn									
714	بَبَّغاءَاتٌ	ببغاءات	ببغاء					مؤنث			جمع								Tn									
717	أبِتَّةٌ	أبتة	بتت					مؤنث			جمع		بَتَاتٌ						Tn									
724	بَجَعِيَّات	بجعيات	بجعيات					مؤنث			جمع								Tn				O	O	O	N		: فصيلةُ البَجَعِ ورُتْبَةُ كَفِّيَّاتِ القَدَمِ.
740	أبْخِرَةٌ	أبخرة	بخر					مؤنث			جمع		بُخارٌ						Tn									
746	بُخُوريَّاتٌ	بخوريات	بخوريات					مؤنث			جمع								Tn				O	O	O	N		: نَباتَاتٌ مِنْ فَصِيلَةِ البُطْمِيّاتِ.
765	أبدانٌ	أبدان	بدن					مؤنث			جمع		بَدَنٌ						Tn									
822	بَراذينُ	براذين	برذن					مؤنث			جمع		بِرْذَوْنٌ										O	O	O	N	Non	
827	بَرارِي	براري	برر					مؤنث			جمع		بَرِّيَّةٌ					Tk	Tn									
828	بِرَازِيَّاتٌ	برازيات	برز					مؤنث			جمع								Tn				O	O	O	N		بِرَازِيَّاتٌ-بِرَازِيَّاتٌ [ب ر ز]. : فَصِيلَةٌ نَبَاتِيَّةٌ مِنْ ذَوَاتِ الْفِلْقَتَيْنِ، تَ
852	بُرْغوثِياتٌ	برغوثيات	برغوثياث					مؤنث			جمع								Tn				O	O	O	N		: فَصيلَةُ البَراغيثِ، مِنْ رُتْبَةِ عَديماتِ الأجْنِحَةِ، قَوائِمُها طَويلَةٌ.
854	بَراغِيُّ	براغي	برغي					مؤنث			جمع		بُرْغِيٌّ														Non	
866	بَراكِينُ	براكين	بركان					مؤنث			جمع		بُرْكانٌ														Non	
876	بَرْمائِيَّاتٌ	برمائيات	برمائيات					مؤنث			جمع								Tn				O	O	O	N		: الفِقْرِيَّاتُ الَّتِي تَعيشُ في البَرِّ وَفي الماءِ كالضِّفْدَعِ والتِّمْساحِ.
884	بَرانِيُّ	براني	برنية					مؤنث			جمع		بَرْنِيَّةٌ														Non	
886	بَرَاهِينُ	براهين	برهان					مؤنث			جمع		بُرْهَانٌ														Non	
890	بَراهينُ	براهين	برهن					مؤنث			جمع		بُرْهانٌ														Non	
896	مَبَارِي	مباري	بري					مؤنث			جمع							Tk	Tn									
906	أَبْزِلَةٌ	أبزلة	بزل					مؤنث			جمع		بِزالٌ						Tn									
914	بَساتِينُ	بساتين	بستان					مؤنث			جمع		بُسْتانٌ														Non	
931	بُشْرَياتٌ	بشريات	بشر					مؤنث			جمع		بُشْرَى						Tn									
974	بُطْمِيَّاتٌ	بطميات	بطميات					مؤنث			جمع								Tn				O	O	O	N		: فَصيلَةٌ مِنْ ذَواتِ الفِلْقَتَيْنِ، تَشْمُلُ البُطْمَ والفُسْتُقَ.
976	أَبْطِنَةٌ	أبطنة	بطن					مؤنث			جمع		بِطَانٌ						Tn									
981	بُطونٌ	بطون	بطن					مؤنث			جمع		بَطْنٌ						Tn									
988	بَطِّيَّاتٌ	بطيات	بطيات					مؤنث			جمع								Tn				O	O	O	N		: فَصيلَةُ البَطِّ مِنْ رُتْبَةِ كَفِّيَّاتِ القَدَمِ وَصَفيحِيَّاتِ الْمَناقِيرِ.
1012	بَعوضيَّاتٌ	بعوضيات	بعوضيات					مؤنث			جمع								Tn				O	O	O	N		: مِنْ فَصيلَةِ البَعوضِ، مِنْ رُتْبَةِ ثُنائِيَّةِ الأجْنِحَةِ.
1027	بَقَرِيَّاتٌ	بقريات	بقريات					مؤنث			جمع								Tn				O	O	O	N		: فَصيلَةُ البَقَرِ، مِنْ رُتْبَةِ شَفْعِيَّةِ الأظْلافِ الْمُجْتَرَّةِ، وَتَشْمُلُ الْمَهاةَ والبَقَرَ والجاموسَ الوَحْشِيَّ والظِّباءَ والغَنَمَ.
1039	بَواقِي	بواقي	بقي					مؤنث			جمع							Tk	Tn									
1055	مَبَاكِي	مباكي	بكي					مؤنث			جمع							Tk	Tn									
1063	بُلْدانٌ	بلدان	بلد					مؤنث			جمع		بَلَدٌ						Tn									
1068	بَلَشُونيَّاتٌ	بلشونيات	بلشونيات					مؤنث			جمع								Tn				O	O	O	N		: فصيلةُ طَيْرٍ مِنَ الطُّيُورِ الْمُهَاجِرَةِ.
1073	بُلْطِيَّاتٌ	بلطيات	بلطيات					مؤنث			جمع								Tn				O	O	O	N		: فصِيلةُ سَمَكٍ لَهَا أجْسَامٌ مُفَلْطَحَةُ الجَانِبَيْنِ.
1097	بَلُّوطِيَّاتٌ	بلوطيات	بلوطيات					مؤنث			جمع								Tn				O	O	O	N		: فصيلَةٌ نَبَاتِيَّةٌ مِنْ ذَوَاتِ الفِلْقَتَيْنِ، أجْنَاسُهَ
1116	بَنَفْسَجيَّاتٌ	بنفسجيات	بنفسجيات					مؤنث			جمع								Tn				O	O	O	N		: من فَصِيلَةِ البَنَفْسَجيَّاتِ مِنْ ذَوَاتِ الفِلْقَتَيْنِ، جُلُّ أنْوَاعِهَا عُشْبيَّةٌ، ذَاتُ أزْهَارٍ عَطِرَةٍ.
1125	بناتٌ	بنات	بني					مؤنث			جمع		بِنْتٌ						Tn									
1127	بُنىً	بنى	بني					مؤنث			جمع		بِنْيَةٌ						Tn									
1128	مَبَانِي	مباني	بني					مؤنث			جمع		مَبْنـىً 		DnN			Tk	Tn									". 1.""شُيِّدَتِ الْمَبَانِي"" : العِمَارَاتُ، البِنَايَاتُ. 2.""حُرُوفُ الْمَبَانِي"" : أَيِ الْحُرُوفُ الهِجَائِيَّةُ."
1131	مَبَانِي	مباني	بني					مؤنث			جمع							Tk	Tn									
1137	بُهَارِيَّاتٌ	بهاريات	بهر					مؤنث			جمع								Tn				O	O	O	N		بُهَارِيَّاتٌ-بُهَارِيَّاتٌ [ب هـ ر]. : فَصِيلَةٌ سَمَكِيَّةٌ مِنْ كَامِلاَتِ الْعِظَام، وَشَائِكَاتِ الزَّعَانِفِ، أَصْنَافُهَا عَدِيدَةٌ مِنْ أَشْهَرِهَا الْبُهَارُ وَالزَّجَرُ، مُتَمَيِّزَةٌ بِكِبَرِ قَدِّهَا.
1152	بِيبَانٌ	بيبان	بوب					مؤنث			جمع		بَابٌ						Tn									
1177	بُومِيَّاتٌ	بوميات	بوميات					مؤنث			جمع								Tn				O	O	O	N		: فَصِيلَةُ البُومِ، مِنْ رُتْبَةِ الجَوَارِحِ الكَوَاسِرِ الليْلِيَّةِ، أنْوَاعُهَا عَدِيدَةٌ، مِنْهَا البُوهَةُ وَالخَبَلُ.
1183	أبْيَاتٌ	أبيات	بيت					مؤنث			جمع								Tn									
1184	بُيُوتَاتٌ	بيوتات	بيت					مؤنث			جمع								Tn									
1189	بَيْدَاواتٌ	بيداوات	بيداء					مؤنث			جمع		بَيْداءُ						Tn									
1200	بيعانٌ	بيعان	بيع					مؤنث			جمع		بَاعٌ						Tn									
1213	تِيجَانٌ	تيجان	تاج					مؤنث			جمع		تَاجٌ						Tn									
1215	تَبَابِينُ	تبابين	تبان					مؤنث			جمع		تُبَّانٌ														Non	
1233	تَدْرُجِيَّاتٌ	تدرجيات	تدرجيات					مؤنث			جمع								Tn				O	O	O	N		: فَصِيلَةُ طُيُورٍ مِنْ رُتْبَةِ الدَّجَاجِيَّاتِ مِنْ ضِمْنِهَا الدِّيكُ الحَبَشِيُّ وَالطَّاوُوسُ .
1238	أَتْرِبَةٌ	أتربة	ترب					مؤنث			جمع		تُرَابٌ						Tn									
1276	تِفَفَةٌ	تففة	تف					مؤنث			جمع		تُفٌّ						Tn									
1285	تَفْلِيقِيَّاتٌ	تفليقيات	تفليقيات					مؤنث			جمع								Tn				O	O	O	N		تَفْلِيقِيَّاتٌ-تَفْلِيقِيَّاتٌ (حو).: فَصِيلَةُ طُيُورٍ، مِنْ رُتْبَةِ طِوَالِ السَّاقِ، مِنْ أَشْهَرِ أَنْوَاعِهَا التِّفْلِقُ وَالْغُرُّ.
1322	تُمُورُ	تمور	تمور					مؤنث			جمع												O	N	N	N	Non	: يُطْلَقُ عَلَى شَهْرِ أُكْتُوبَر حَسَبَ اليَوْمِيَّةِ اللِّيبِيَّةِ.
1329	تَنَانِينُ	تنانين	تنين					مؤنث			جمع		تِنِّينٌ														Non	
1359	أثْبَاتٌ	أثبات	ثبت					مؤنث			جمع		ثَبْتٌ						Tn									
1363	ثُدِيٌّ	ثدي	ثدي					مؤنث			جمع		ثَدْيٌ						Tn									
1364	أثْدِي	أثدي	ثدي					مؤنث			جمع							Tk	Tn									
1365	ثَدْيِيَّاتٌ	ثدييات	ثدييات					مؤنث			جمع								Tn				O	O	O	N		جمع ثَدْيِيٌّ. : فَصِيلَةُ الَّلبُونَاتِ الفَقَاريَّات، تَلِدُ وَتُرْضِعُ وَيَكْسُوهَا شَعَرٌ.
1371	ثَعَابِينُ	ثعابين	ثعبان					مؤنث			جمع																Non	
1372	ثُعْبَانِيَّاتٌ	ثعبانيات	ثعبانيات					مؤنث			جمع								Tn				O	O	O	N		: فَصِيلَةُ الحَيَّاتِ العَظِيمَةِ وَالأحْنَاشِ وَالخَفَافِيشِ مِنْهَا مَا هُوَ سَامٌّ وَغَيْرُ سَامٍّ.
1398	ثُلاَثَاءاتٌ	ثلاثاءات	ثلث					مؤنث			جمع		ثُلاَثَاءُ						Tn				O	O	N	N		
1416	ثَمانِي	ثماني	ثمان					مؤنث			جمع							Tk	Tn				O	O	N	N		"اِسْمٌ مَحْذُوفُ الياءِ إِذا لَمْ يَكُنْ مُعَرَّفاً بِأَلْ وَلا مُضافاً. 1.""وَصَلَ مِنَ الطَّالِباتِ ثَمانٍ""، ""مَرَرْتُ بِثَمانٍ مِنَ الطَّالِباتِ"
1428	أَثْمانٌ	أثمان	ثمن					مؤنث			جمع		ثَمَنٌ						Tn									
1430	أَثْمانٌ	أثمان	ثمن					مؤنث			جمع		ثَمَنٌ						Tn									
1431	أَثْمِنَةٌ	أثمنة	ثمن					مؤنث			جمع		ثَمَنٌ						Tn									
1434	ثَوَانِي	ثواني	ثني					مؤنث			جمع							Tk	Tn									
1436	أَثْنِيَةٌ	أثنية	ثني					مؤنث			جمع		ثَناءٌ						Tn									
1450	ثِيرانٌ	ثيران	ثور					مؤنث			جمع		ثَوْرٌ						Tn									
1452	مَثَاوِي	مثاوي	ثوي					مؤنث			جمع							Tk	Tn									
1456	جَوَابِي	جوابي	جابية					مؤنث			جمع							Tk	Tn									
1497	جُدْجُدِيَّاتٌ	جدجديات	جدجديات					مؤنث			جمع								Tn				O	O	O	N		: فَصِيلَةُ حَشَرَاتٍ مِنْ رُتْبَةِ مُسْتَقِيمَاتِ الأَجْنِحَةِ.
1503	جُدْرَانٌ	جدران	جدر					مؤنث			جمع		جَدْرٌ						Tn									
1521	جِدْيَانٌ	جديان	جدي					مؤنث			جمع		جَدْيٌ						Tn									
1527	جُذْعَانٌ	جذعان	جذع					مؤنث			جمع		جَذَعٌ						Tn									
1528	جِذْعَانٌ	جذعان	جذع					مؤنث			جمع		جَذَعٌ						Tn									
1539	جُذىً	جذى	جذو					مؤنث			جمع		جَذْوَةٌ						Tn									
1540	جِذَاءٌ	جذاء	جذو					مؤنث			جمع		جَذْوَةٌ						Tn									
1541	جِرَابِيَّاتٌ	جرابيات	جرابيات					مؤنث			جمع								Tn				O	O	O	N		: فَصِيلَةٌ حَيَوَانِيَّةٌ مِنَ الثَّدْيِيَّاتِ، تَتَمَيَّزُ أُنْثَاهَا بِرَحِمَيْن: رَحِمٍ بَاطِنِيٍّ يَتَكَوَّنُ فِيهِ الجَنينُ وَيَنْمُو حَتَّى الوَضْعِ، و
1546	أَجْرِبَةٌ	أجربة	جرب					مؤنث			جمع		جِرَابٌ						Tn									
1568	جُرْذَانٌ	جرذان	جرذ					مؤنث			جمع		جُرَذٌ						Tn									
1569	جِرْذَانٌ	جرذان	جرذ					مؤنث			جمع		جُرَذٌ						Tn									
1570	جُرَذِيَّاتٌ	جرذيات	جرذ					مؤنث			جمع								Tn				O	O	O	N		جُرَذِيَّاتٌ-جُرَذِيَّاتٌ [ج ر ذ].: دُوَيِبَّاتٌ مِنْ فَصِيلَةِ الفَأْرِيَّاتِ، مِنْ أَجْنَاسِهَا الجُرَذُ وَالقُنْفُعُ.
1579	أَجِرَّةٌ	أجرة	جرر					مؤنث			جمع		جَرِيرٌ						Tn									
1580	جُرَّانٌ	جران	جرر					مؤنث			جمع		جَرِيرٌ						Tn									
1594	جَرَفَةٌ	جرفة	جرف					مؤنث			جمع		جُرْفٌ						Tn									
1604	جِرَاءٌ	جراء	جرو					مؤنث			جمع		جِرْوٌ						Tn									
1606	جَوَارِي	جواري	جري					مؤنث			جمع							Tk	Tn									
1607	مَجَارِي	مجاري	جري					مؤنث			جمع		مَجْرىً					Tk	Tn									". 1.""مَجَارِي السُّفُنِ"" : الطُّرُقُ البَحْرِيَّةُ. 2.""مَجَارِي الأَنْهَارِ"": رَوَافِدُهَا. 3.""مَجَارِي المِيَاهِ"" : القَنَوَاتُ أَوِ الأَنَابِيبُ لِنَقْلِ المِيَاهِ تَحْتَ ال"
1609	مَجَارِي	مجاري	جري					مؤنث			جمع							Tk	Tn									
1611	جُرَيْسِيَّاتٌ	جريسيات	جريسيات					مؤنث			جمع								Tn				O	O	O	N		: فَصِيلَةٌ نَبَاتِيَّةٌ مِنْ ذَوَاتِ الفِلْقَتَيْنِ، أَزْهَارُهَا عَلَى شَكْلِ أَجْرَاسٍ صَغِيرَةٍ.
1614	أَجْزَاءٌ	أجزاء	جزأ					مؤنث			جمع		جُزْءٌ						Tn									
1637	جِزَاءٌ	جزاء	جزي					مؤنث			جمع		جِزْيَةٌ						Tn									
1639	جُزَيْئِيَّاتٌ	جزيئيات	جزيء					مؤنث			جمع		جُزَيْءٌ						Tn									
1672	جَعْرُورِيَّاتٌ	جعروريات	جعروريات					مؤنث			جمع								Tn				O	O	O	N		: فَصِيلَةٌ حَيَوَانِيَّةٌ مِنَ الع
1678	أَجْفَانٌ	أجفان	جفن					مؤنث			جمع		جَفْن						Tn									". ""كَانَتِ الدُّمُوعُ تُرَاوِدُ أجْفَانِي"": غِطَاءُ العَيْنِ مِنْ أَعْلَى إِلَى أسْفَلَ."
1680	جِفَانٌ	جفان	جفن					مؤنث			جمع		جَفْنَةٌ						Tn									
1683	أَجْفَانٌ	أجفان	جفن					مؤنث			جمع		جَفْنٌ						Tn									
1684	جُفُونٌ	جفون	جفن					مؤنث			جمع		جَفْنٌ						Tn									
1715	جَوَالِي	جوالي	جلو					مؤنث			جمع							Tk	Tn									
1730	جُمَادِيَاتٌ	جماديات	جمد					مؤنث			جمع		جُمَادَى						Tn				O	N	N	N		
1765	أَجِمَّاءُ	أجماء	جمم					مؤنث			جمع		جَمِيمٌ														Non	
1788	جِنَانٌ	جنان	جنة					مؤنث			جمع		جَنَّةٌ						Tn									
1790	أجْنِحَةٌ	أجنحة	جنح					مؤنث			جمع								Tn									
1807	أَجْنَانٌ	أجنان	جنن					مؤنث			جمع		جَنَانٌ						Tn									
1809	أَجِنَّةٌ	أجنة	جنن					مؤنث			جمع		جَنِينٌ						Tn									
1814	مَجَانِي	مجاني	جني					مؤنث			جمع		مَجْناةٌ					Tk	Tn									
1822	أَجْهِزَةٌ	أجهزة	جهز					مؤنث			جمع		جِهَازٌ						Tn									
1835	أَجْوِبَةٌ	أجوبة	جوب					مؤنث			جمع		إِجَابَةٌ						Tn									
1837	أَجْوِبَةٌ	أجوبة	جوب					مؤنث			جمع		إِجَابَةٌ						Tn									
1844	جِيرَانٌ	جيران	جور					مؤنث			جمع		جَارٌ						Tn									
1869	أَجْوَانٌ	أجوان	جون					مؤنث			جمع		جَوْنٌ						Tn									
1875	أَجْوَاءٌ	أجواء	جوو					مؤنث			جمع		جَوٌّ						Tn									
1876	جِوَاءٌ	جواء	جوو					مؤنث			جمع		جَوٌّ						Tn									
1897	حافِرِيَّاتٌ	حافريات	حافريات					مؤنث			جمع								Tn				O	O	O	N		: فَصيلَةٌ حَيَوانِيَّةٌ مِنْ مُفْرَداتِ الأصابِعِ وَمُزْدَوِجاتِ الأصابِعِ والخرطومِيَّاتِ، تَشْمَلُ ذَواتَ الخُفِّ وَذَواتَ الظِّلْفِ.
1902	حُبَّانٌ	حبان	حب					مؤنث			جمع		حَبٌّ						Tn									
1907	حُبارِياتٌ	حباريات	حبارى					مؤنث			جمع								Tn									
1908	حُبارِيَّاتٌ	حباريات	حباريات					مؤنث			جمع								Tn				O	O	O	N		: فَصيلَةُ طَيْرٍ مِنْ رُتْبَةِ الطَّويلاتِ السَّاقِ، من أَشْهَرِها الحُبارَى.
