#رقم	مشكول	غير مشكول	root	وزن	derived	الأصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرد	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح	
436	مَحَلِّيٌّ		حلل		منسوب	مَحَلٌّ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						"مَحَلِّيٌّ-مَحَلِّيٌّ، ةٌ [ح ل ل] (مَنْسُوبٌ إِلَى الْمَحَلِّ). 1.""إِدَارَةٌ مَحَلِّيَّةٌ"" : إِدَارَةٌ مُخْتَصَّةٌ بِمِنْطَقَتِهَا أَوْ إِقْلِيمِهَا، عَكْس الْمَرْكَزِيَّةِ. 2.""إِنْتَاجٌ مَحَلِّيٌّ"" : تَمَّ إِنْتَاجُهُ فِي المِنْطَقَةِ ذَاتِهَا. ""سُوقٌ مَحَلِّيٌّ"" ""شُؤُونٌ مَحَلِّيَّةٌ""."	
437	مِحْوَرِيٌّ		حور		منسوب	مِحْوَرٌ		مذكر			مفرد			Ta	DnT	Pf			Tn									"مِحْوَرِيٌّ-مِحْوَرِيٌّ، ةٌ [ح و ر] (مَنْسُوبٌ إِلَى المِحْوَرِ). 1.""جِهَازٌ مِحْوَرِيٌّ"" : جِهَازٌ مَرْكَزِيٌّ تَرْتَبِطُ بِهِ الأَجْهِزَةُ الأُخْرَى. 2.""شَخْصِيَّةٌ مِحْوَرِيَّةٌ"" : رَئِسَةٌ أَورَئِيسِيَّةٌ، مَرْكَزِيَّةٌ. ""شَخْصِيَّةٌ مِحْوَرِيَّةٌ فِي الرِّوَايَةِ"" ""قَضِيَّةٌ مِحْوَرِيَّةٌ""."	
438	مُخْمَلِيٌّ		خمل		منسوب	مُخْمَلٌ		مذكر			مفرد			Ta	DnT	Pf			Tn									"مُخْمَلِيٌّ-مُخْمَلِيٌّ، ةٌ [خ م ل] (مَنْسُوبٌ إِلَى الْمُخْمَلِ). ""ثَوْبٌ مُخْمَلِيٌّ"" : ثَوْبٌ مِنْ نَسِيجٍ لَهُ خَمْلٌ."	
439	مَدَارِيٌّ		دور		منسوب	مَدَارٌ		مذكر			مفرد			Ta	DnT	Pf			Tn									مَدَارِيٌّ-مَدَارِيٌّ [د و ر] (مَنْسُوبٌ إِلَى الْمَدَارِ).	
440	مَدْرَسِيٌّ		درس		منسوب	مَدْرَسَةٌ		مذكر			مفرد			Ta	DnT	Pf			Tn									"مَدْرَسِيٌّ-مَدْرَسِيٌّ، ةٌ [د ر س] (مَنْسُوبٌ إِلَى الْمَدْرَسَةِ). ""كِتَابٌ مَدْرَسِيٌّ"" : كِتَابٌ مِنْ مُقَرَّرَات البَرامِجِ الَّتِي تُدَرَّسُ فِي الْمَدْرَسَةِ."	
441	مِدْفَعِيٌّ		دفع		منسوب	مِدْفَعٌ		مذكر			مفرد			Ta	DnT	Pf			Tn									"مِدْفَعِيٌّ-مِدْفَعِيٌّ، ةٌ [د ف ع] (مَنْسُوبٌ إِلَى المِدْفَعِ). ""عَسْكَرِيٌّ مِدْفَعِيٌّ"" : مُخْتَصٌّ بِسِلاَحِ الْمَدَافِعِ."	
442	مَدَنِيٌّ		مدن		منسوب	مَدِينَةٌ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn			ـو						"(مَنْسُوبٌ إِلَى الْمَدِينَةِ) .1.""رَجُلٌ مَدَنِيٌّ"" : مِنْ أَهْلِ الْمَدِينَةِ. ""السُّكَّانُ الْمَدَنِيُّونَ"" وَالكَلِمَةُ عَكْسُ العَسْكَرِيّ أَيْضاً : ""يَرْتَدِي العَسْكَرِيُّ مَلاَبِسَهُ الْمَدَنِيَّةَ أَيَّامَ العُطَلِ"" ""الْحَيَاةُ الْمَدَنِيَّةُ"" ""الطَّيَرَانُ الْمَدَنِيُّ"". 2.""أَدَّى الْخِدْمَةَ الْمَدَنِيَّةَ"" : الوَاجِبُ الَّذِي يُؤَدِّيهِ العَامِلُ أَوِ الْمُوَظَّفُ خِلاَلَ فَتْرَةٍ مُعَيَّنَةٍ قَبْلَ تَعْيِينِهِ فِي وَظِيفَتِهِ. 3.""الْمَدَنِيَّةُ الْحَدِيثَةُ"" : الْحَضَارَةُ وَالْعُمْرَانُ وَكُلُّ الْمُخْتَرَعَاتِ التِّكْنُولُوجِيَّةِ. 4.""الْمُجْتَمَعُ الْمَدَنِيُّ"" : أَي الْمُجْتَمَعُ الَّذِي تَكَوَّنَتْ مُؤَسَّسَاتُهُ وَجَمْعِيَّاتُهُ الْحَضَرِيَّةُ. 5.""زَوَاجٌ مَدَنِيٌّ"" : أَيْ زَوَاجٌ تَتَحَكَّمُ فِيهِ القَوَانِينُ العَصْرِيَّةُ، عَكْس الزَّوَاجِ الدِّينِيِّ. 6.""القَانُونُ الْمَدَنِيُّ"" : قَانُونُ الأَحْوَالِ الْخَاضِعَةِ لِتَطَوُّرِ حَيَاةِ الْمُجْتَمَعِ الْعَصْرِيَّةِ."	
443	مَدِينِيٌّ		مدن		منسوب	مَدِينَةٌ		مذكر			مفرد			Ta	DnT	Pf			Tn									"مَدِينِيٌّ-مَدِينِيٌّ، ةٌ [م د ن] (مَنْسُوبٌ إِلَى الْمَدِينَةِ). ""رَجُلٌ مَدينِيٌّ"": مِنَ الْمَدينَةِ."	
444	مَرَضِيٌّ		مرض		منسوب	مَرَضٌ		مذكر			مفرد			Ta	DnT	Pf			Tn									"مَرَضِيٌّ،-مَرَضِيٌّ، ةٌ [م ر ض] (مَنْسُوبٌ إِلَى الْمَرَضِ). ""أُصِيبَ بِحَالَةٍ مَرَضِيَّةٍ"" : أَيْ بِحَالَةٍ بِهَا مَرَضٌ."	
445	مَرْكَزِيٌّ		ركز		منسوب	مَرْكَزٌ		مذكر			مفرد			Ta	DnT	Pf			Tn									"مَرْكَزِيٌّ-مَرْكَزِيٌّ، ةٌ [ر ك ز] (مَنْسُوبٌ إِلَى الْمَرْكَزِ). 1. ""الجِهَازُ الْمَرْكَزِيُّ"" : الجِهَازُ الأَسَاسِيُّ، مِنْهُ تَصْدُرُ كُلُّ التَّعْلِيمَاتِ وَالإِشَارَاتِ. 2.""السُّلْطَةُ الْمَرْكَزِيَّةُ"" : سُلْطَةٌ تَحْصِرُ كُلَّ القَرَارَاتِ وَالأَحْكَامِ بَيْنَ يَدَيْهَا مَعَ إِخْضَاعِ كُلِّ السُّلَطِ تَحْتَ نُفُوذِهَا. 3.""اللَّجْنَةُ الْمَرْكَزِيَّةُ لِلْحِزْبِ"" : اللَّجْنَةُ العُلْيَا الَّتِي تُقَرِّرُ سِياسَةَ الحِزْبِ وتُصْدِرُ قَرَارَاتٍ تَوْجِيهِيَّةً."	
