#رقم	مشكول	غيرمشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث 	مذكر	عدد	الجمع	مفرد	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض. لف.	ـو	ك	كال	ها	هم	تنون النصب	
736	سَفْسَافٌ		سفسف		(صفة مشبهة - ربــاعي)			مذكر			مفرد	+ات;سَفَاسِف		Ta	DnT	Pf			Tn									"(صف). 1.""رَجلٌ سَفْسَافٌ"" : رَدِيءٌ، حَقِيرٌ لاَ يَثْبت عَلَى حَالٍ. 2.""يَهْتَمّ بِسَفاسِفِ الأمورِ"" : بِكلِّ مَا هوَ رَدِيءٌ مِنْهَا و"
737	سَفَاسِفُ		سفسف		صفة مشبهة			مؤنث			جمع		سَفَاسِفُ														Non	
738	سَنِيٌّ		سني	فَعِيل	صفة مشبهة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"سنِّيٌّ-سنِّيٌّ، ةٌ [س ن ن] (مَنْسوبٌ إلَى السّنَّةِ). ""رَجلٌ سنِّيٌّ"" : مِنْ أهْلِ السّنَّةِ."
739	سَهْلٌ		سهل	فَعْلٌ	صفة مشبهة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"سَهْلٌ-سَهْلٌ، ةٌ [س هـ ل] (صف). 1.""وَجَدْته وَلَداً سَهْلاً"" : لَيِّناً، متَسَاهِلاً، غَيْرَ عَسِيرٍ. ""سَهْل الخلقِ"" ""سَهْل الْمعَامَلَةِ"" ""يَبْكِي بِدموعٍ تَنْسَاب مِنْ عَيْنَيْهِ سَهْلَةً لَيِّنَةً بِلاَ مَانِعٍ"". (جمال الغيطاني). 2. ""لَيْسَ مِنَ السَّهْلِ الوصول إلَى قِمَّةِ الجَبَلِ"": لَيْسَ مِنَ الب"
740	حَزْنٌ		حزن		صفة مشبهة			مذكر			مفرد	حَزونٌ			DnN				Tn									"ج: حَزونٌ. 1.""أرْضٌ حَزْنٌ"" : مَا غَلظَ وَارْتَفَعَ مِنَ الأرْضِ. 2.""رَجلٌ حَزْنٌ"" : خَشِن الطِّبَاعِ و الْمعَامَلَةِ. 3.""دَوَابّ حَزونٌ"" : صَعْب الاِنْقِيَادِ."
741	سَيِّغٌ		سوغ،سيغ	فَيْعِلٌ	صفة مشبهة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"سَيِّغٌ-سَيِّغٌ [س و غ، س ي غ] (صف). ""عَصيرٌ سَيِّغٌ"" : هَنِيء الشّرْبِ، وَسَهْل الْمَدْخَلِ في الحَلْقِ."
742	سَوِيٌّ		سوي	فَعِيل	صفة مشبهة			مذكر			مفرد	+ات;أَسْوِياء;سَوايا		Ta	DnT	Pf	Pm		Tn			ـو						"(صف). 1.""وَجَدَ الطَّريقَ سَوِيّاً"" : معَبَّداً مسْتَوِياً. 2.""نَهَجَ طَريقاً سَوِيّاً"": طَريقاً مسْتَقيماً. مريم آية 43 فاتَّبِعْنِي أَهْدِكَ صِراطاً سَوِيّاً (قرآن). 3.""وَلَدٌ سَوِيٌّ"" : لاَ عَيْبَ فيهِ، تامّ الخِلْقَةِ. 4.""وَزَّعَ الغَنائِمَ بَيْنَهمْ سَوِيَّةً"" : قَسَّمَها بَيْنَهمْ بِالتَّساوِي، بِالإِنْصافِ. 5.""هما على سَوِيَّةٍ في هَذا الأَمْرِ"" : أَيْ مسْتَوِيانِ. 6.""أَرْضٌ مستَوِيَةٌ"" : أَرْضٌ منْبَسِطَةٌ."
743	أَسْوِيَاءُ		سوي		صفة مشبهة			مذكر			جمع																Non	
744	سَوَايَا		سوي		صفة مشبهة			مؤنث			جمع		سَوِيٌّ														Non	
745	شَاذَّ		شذذ	فَاعِلٌ	صفة مشبهة			مذكر			مفرد	+ون;+ات;شَوَاذّ;شذّاذ;شواذٌّ		Ta	DnT	Pf	Pm		Tn			ـو						"(صف). 1.""وَلَدٌ شَاذٌّ فِي سلوكِهِ وَطَبْعِهِ"" : غَرِيبٌ، مَنْ يَأْتِي بِأَشْيَاءَ يَنْفَرِد بِها وَتَكون مخَالِفَةً لِلْمَأْلوفِ. ""شَاذّ الأطْوَارِ"". 2.""جَاءَ بِفِكْرَةٍ شَاذَّةٍ"" : مخَالِفَةٌ للِقَاعِدَةِ وَالقِيَاسِ."
