#رقم	مشكول	غيرمشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرده	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنون النصب للجمع	شرح
353	مِرَّةٌ		مرر		صفة			مذكر			مفرد	مِرَرٌ;أَمْرَارٌ			DnN				Tn									".""بَطَلٌ مِرَّةٌ"" : أَيْ ذُو قُوَّةٍ وَشِدَّةٍ، ذُو حَصَافَةٍ فِي عَقْلِهِ.النجم آية 5 عَلَّمَهُ شَدِيدُ القُوَى ذُو مِرَّةٍ فَاسْتَوَى (قرآن)."
354	مِرَرٌ 		مرر		صفة			مذكر			جمع																	
355	أَمْرَارٌ		مرر		صفة			مذكر			جمع																	
356	مُزٌّ		مزز		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"مُزٌّ-مُزٌّ [م ز ز]. ""طَعْمٌ مُزٌّ"" : كَانَ مَا بَيْنَ الحُلْوِ وَالْحَامِضِ. ""يُحَلَّى اللَّيْمُونُ الْمُزُّ بِالسُّكَّرِ""."
357	مَسِيحٌ		مسح		صفة			مذكر			مفرد	مُسَحَاءُ;مَسْحَى			DnN				Tn									". 1.""مَسِيحٌ بِالدُّهْنِ"" : الْمَمْسُوحُ بِالدُّهْنِ. 2.""مَسِيحُ القَدَمَيْنِ"" : مُسَطَّحٌ. 3."" نَقْدٌ مَسِيحٌ"" : مُسْتَعْمَلٌ، مُتَآكِلٌ. 4.""الْمَسيحُ عَلَيْهِ السَّلاَمُ"": لَقَبُ سَيِّدِنَا عِيسَى، اليَسُوعُ. ""فَكَلَّمَهُ بِاسْمِ الرَّبِّ وَالسَّيِّدِ الْمَسِيحِ"". 5.""وَجْهٌ مَسِيحٌ"" : جَميلٌ، حَسَنٌ."
358	مُسَحَاءُ 		مسح		صفة			مذكر			جمع																Non	
359	مَسْحَى		مسح		صفة			مذكر			جمع																Non	
360	مِضْرٌ		مضر		صفة			مذكر			مفرد								Tn									"مِضْرٌ-مِضْرٌ [م ض ر]. ""ذَهَبَ دَمُهُ خِضْراً مِضْراً"" : هَدْراً."
361	مَعْمَعَانٌ		معمع		صفة			مذكر			مفرد								Tn									"مَعْمَعَانٌ-مَعْمَعَانٌ [م ع م ع]. 1.""يَوْمٌ مَعْمَعَانٌ"" : شَدِيدُ الْحَرِّ. 2.""وَصَلَ إِلَى البِلاَدِ فِي مَعْمَعَانِ الصَّيْفِ"" : فِي شِدَّةِ الْحَرِّ."
362	مَلِيسٌ		ملس		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"مَلِيسٌ-مَلِيسٌ [م ل س]. ""ثَوْبٌ مَلِيسٌ"" : أَمْلَسُ."
363	مَلِصٌ		ملص		صفة			مذكر			مفرد								Tn									"مَلِصٌ-مَلِصٌ [م ل ص]. ""خَيْطٌ مَلِصٌ"" : خَيْطٌ يَسْقُطُ لِمَلاَسَتِهِ وَلِينِهِ."
364	مَلِيٌّ		ملو		صفة			مذكر			مفرد								Tn									"مَلِيٌّ-مَلِيٌّ [م ل و]. ""اِنْتَظَرْتُهُ مَلِيّاً"" : مُدَّةً طَوِيلَةً مِنَ الزَّمَانِ.مريم آية 46 واهْجُرْنِي مَلِيّاً (قرآن)."
365	نَابِغٌ		نبغ		صفة			مذكر			مفرد	+ون;+ات;نَوَابِغُ		Ta	DnT	Pf	Pm		Tn									". 1.""عَالِمٌ نَابِغَةٌ"": عَظِيمُ الشَّأْنِ فِي عِلْمِهِ، ذُو مَكَانَةٍ فِي العِلْمِ. ""نَابِغٌ فِي فَنِّهِ"". 2.""كَلِمَةٌ نَابِغَةٌ"" : فَصِيحَةٌ."
366	نَوَابِغُ		نبغ		صفة			مذكر			جمع																Non	
367	نَوَابِغُ		نبغ		صفة			مذكر			جمع		نَابِغَة														Non	". ""نَوَابِغُ الفِكْرِ"" : جَهَابِذَتُهُ وَأَعْلاَمُهُ."
368	نَبْكَةٌ		نبك		صفة			مذكر			مفرد	نَبَكٌ;نِبَاكٌ			DnN				Tn									". ""أَرْضٌ نَبَكَـةٌ"" : مُلْتَوِيَةٌ، فِي صُعُودٍ وَهُبُوطٍ."
369	نَبَكٌ 		نبك		صفة			مذكر			جمع		نَبْكَةٌ															
370	نِبَاكٌ		نبك		صفة			مذكر			جمع		نَبْكَةٌ															
371	نَابِهٌ		نبه		صفة			مذكر			مفرد	+ات;نُبَهَاءُ		Ta	DnT	Pf			Tn									". 1.""نَابِهٌ فيِ عَمَلِهِ"" : مُتَيَقِّظٌ، فَطِنٌ، ذُو نَبَاهَةٍ. 2.""رَجُلٌ نَابِهٌ"" : ذُو ذِكْرٍ حَسَنٍ، شَرِيفٌ. 3.""أَمْرٌ نَابِهٌ "" : أَيْ عَظِيمٌ."
372	نُبَهَاءُ		نبه		صفة			مذكر			جمع		نَابِهٌ														Non	
373	نَبَهٌ		نبه		صفة			مذكر			مفرد	+ات;نُبَهَاءُ;أَنْبَاهٌ		Ta	DnT	Pf			Tn									". 1.""أَمْرٌ نَبَهٌ"" : أَمْرٌ وُجِدَ عَنْ غَفْلَةٍ لاَ عَنْ طَلَبٍ. ""وُجِدَتِ الضَّالَّةُ نَبَهاً"". 2.""رَجُلٌ نَبَهٌ"": شَرِيفٌ. ""قَوْمٌ نَبَهٌ"". 3.""وَلَدٌ نَبَهٌ"" : ذُو نَبَاهَةٍ وَفِطْنَةٍ. 4.""رِيَاضِيٌّ نَبَهٌ"" : مَشْهُورٌ. 5.""أَنْبَاهُ العُلَمَاءِ"" : مَشْهُوروهُمْ."
374	نُبَهَاءُ 		نبه		صفة			مذكر			جمع		نَبَهٌ														Non	
375	أَنْبَاهٌ		نبه		صفة			مذكر			جمع		نَبَهٌ															
376	نَجَائِبُ		نجب		صفة			مذكر			جمع																Non	"نَجَائِبُ-نَجَائِبُ [ن ج ب]. ن. نَجِيبٌ، ةٌ. نَجِيبٌ، ةٌ - ج: أَنْجَابٌ، نُجَبَاءُ، نَجِيبَاتٌ، نَجَائِبُ.    [ن ج ب]. (صِيغَةُ فَعِيل). 1.""رَجُلٌ نَجِيبٌ"" : نَبِيلٌ، فَاضِلٌ، كَرِيمٌ، مَنْ صَمَدَ فِي نَظَرِهِ أَوْ قَوْلِهِ أَوْ فِعْلِهِ. 2.""وَلَدٌ نَجِيبٌ"" : ذَكِيٌّ، فَطِنٌ. 3.""نَاقَةٌ نَجِيبَةٌ"" : قَوِيَّةٌ وَخَفِيفَةٌ.  

أَمْسَتْ سُعَادُ بِأَرْضٍ لاَ يُبَلِّغُهَـا


 


إِلاَّ الْعِتَاقُ النَّجِيبَاتُ الْمَرَاسِيـلُ

                                 (كعب بن زُهَير).

4.""نَجَائِبُ الْقُرْآنِ"" : أَفْضَلُهُ، مَحْضُهُ. 5.""نَجِيبٌ"" : اِسْمُ عَلَمٍ لِلْمُذَكَّرِ، ""وَنَجِيبَةُ"" : اِسْمُ عَلَمٍ للإِنَاثِ"
377	نَجَبٌ		نجب		صفة			مذكر			جمع								Tn									"نَجْبٌ-نَجْبٌ [ن ج ب] (مص. نَجَبَ). ""وَلَدٌ نَجْبٌ"" : سَخِيٌّ، كَرِيمٌ."
378	نَحْرِيرٌ		نحر		صفة			مذكر			مفرد	نَحَارِيرُ			DnN				Tn									". ""رَجُلٌ نَحْرِيرٌ"" : فَاطِنٌ، حَاذِقٌ، عَاقِلٌ. ""عَالِمٌ نَحْرِيرٌ""."
379	نَحَارِيرُ		نحر		صفة			مذكر			جمع		نَحْرِيرٌ														Non	
380	نَحِيرٌ		نحر		صفة			مذكر	نَحْرَى		مفرد	نُحَرَاءُ;نَحَائِرُ			DnN				Tn									". ""حَيَوَانٌ نَحِيرٌ"" : مَذْبُوحٌ مِنْ نَحْرِهِ."
381	نحرى		نحر		صفة			مؤنث			مفرد	نحريات			Dy	Pf											Non	
382	نُحَرَاءُ 		نحر		صفة			مذكر			جمع		نَحِيرٌ														Non	
383	نَحَائِرُ		نحر		صفة			مذكر			جمع		نَحِيرٌ														Non	
384	نَدِيٌّ		ندو		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"نَدِيٌّ-نَدِيٌّ، ةٌ [ن د و]. 1.""ثَوْبٌ نَدِيٌّ"" : مُبْتَلٌّ. 2.""نَدِيُّ الكَفِّ"" : كَرِيمٌ، جَوَادٌ."
385	نَذْلٌ		نذل		صفة			مذكر			مفرد	أَنْذَالٌ		Ta	DnT				Tn									". ""رَجُلٌ نَذْلٌ"" : الْخَسِيسُ، الْحَقِيرُ، الْمُحْتَقَرُ. ""سَأُسْقِطُ ذَلِكَ الْحَمْلَ، أَنَا لاَ أُرِيدُ لَهُ أَباً نَذْلاً"". (نزار قباني)."
386	أَنْذَالٌ		نذل		صفة			مذكر			جمع		نَذْلٌ															
387	نَزُوحٌ		نزح		صفة			مذكر			مفرد								Tn									"نَزُوحٌ-نَزُوحٌ [ن ز ح]. 1.""بَلَدٌ نَزُوحٌ"" : بَعِيدٌ. 2.""بِئْرٌ نَـزُوحٌ"" : مَاؤُهَا قَلِيلٌ."
388	نَزِيحٌ		نزح		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"نَزِيحٌ-نَزِيحٌ، ةٌ [ن ز ح]. ""نَزِيحٌ عَنْ بِلاَدِهِ"" : بَعِيدٌ."
389	نَزِرَةٌ		نزر		صفة			مذكر			مفرد								Tn									"نَزِرَةٌ-نَزِرَةٌ [ن ز ر]. ""اِمْرَأَةٌ نَزِرَةٌ"" : قَلِيلَةُ الوَلَدِ أَوِ اللَّبَنِ."
390	نَزِيعَةٌ		نزع		صفة			مؤنث			مفرد	نَزَائِعُ			DnN				Tn									". 1.""اِمْرَأَةٌ نَزِيعَةٌ"" : مُتَزَوِّجَةٌ مِنْ غَيْرِ قَوْمِهَا وَأَصْلِهَا. 2.""هِيَ فِي غُرْبَتِهَا نَزِيعَةٌ"" : مُشْتَاقَةٌ إِلَى أَهْلِهَا وَوَطَنِهَا."
391	نَزَائِعُ		نزع		صفة			مذكر			جمع		نَزِيعَةٌ														Non	
392	نَزْهٌ		نزه		صفة			مذكر			مفرد	أَنْزَاهٌ			DnN				Tn									". 1.""رَجُلٌ نَزْهٌ"" : عَفِيفٌ، بَعِيدٌ عَنِ الشُّرُورِ. 2.""مَكَانٌ نَزْهٌ"" : نَزِيهٌ، حَسَنُ الْمُنَاخِ، نَقِيُّ الْهَوَاءِ."
393	أَنْزَاهٌ		نزه		صفة			مذكر			جمع		نَزْهٌ															
394	نَسِيٌّ		نسي		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"نَسِيٌّ-نَسِيٌّ، ةٌ [ن س ي]. 1.""رَجُلٌ نَسِيٌّ"" : كَثِيرُ النِّسْيَانِ. 2.""هُوَ نَسِيُّ قَوْمِهِ"" : لاَ يُعَدُّ فِيهِمْ لِحَقَارَتِهِ."
395	نَشَازٌ		نشز		صفة			مذكر			مفرد								Tn									"نَشَازٌ-نَشَازٌ [ن ش ز]. 1.""فِي مَكَانٍ نَشَازٍ"" : فِي مَكَانٍ مُرْتَفِعٍ. 2.""كَلِمَةٌ نَشَازٌ"" : كَلِمَةٌ نَابِيَةٌ. 3.""نَغْمَةٌ نَشَازٌ"" : أَيْ خَارِجَةٌ عَنِ اللَّحْنِ الْمُحَدَّدِ فِي نِظَامٍ مُوسِيقِيٍّ مُعَيَّنٍ. ""قَوْلٌ نَشَاز، يُثِيرُ الاشْمِئْزَاز""."
396	نَشَزٌ		نشز		صفة			مذكر			مفرد	نِشَازٌ;أَنْشَازٌ			DnN				Tn									". 1.""أَرْضٌ نَشَزٌ"" : بِهَا نُتُوءٌ. 2.""رَجُلٌ نَشَزٌ"" : قَوِيٌّ، صَلْبٌ."
397	نِشَازٌ 		نشز		صفة			مذكر			جمع		نَشَزٌ															
398	أَنْشَازٌ		نشز		صفة			مذكر			جمع		نَشَزٌ															
399	نَشِفَةٌ		نشف		صفة			مذكر			مفرد								Tn									"نَشِفَةٌ-نَشِفَةٌ [ن ش ف]. ""أَرْضٌ نَشِفَةٌ"" : مُمْتَصَّةٌ لِلْمَاءِ، أَيْ تُنَشِّفُهُ."
400	نَشِقٌ		نشق		صفة			مذكر			مفرد								Tn									"نَشِقٌ-نَشِقٌ [ن ش ق]. ""رَجُلٌ نَشِقٌ"" : إِذَا دَخَلَ فِي أَمْرٍ عَلِقَ فِيهِ لاَ يَكَادُ يَتَخَلَّصُ مِنْهُ."
401	نَاشِلَةٌ		نشل		صفة			مذكر			مفرد								Tn									"نَاشِلَةٌ-نَاشِلَةٌ [ن ش ل]. ""فَخِذٌ نَاشِلَةٌ"" : قَلِيلَةُ اللَّحْمِ."
402	نَشِمٌ		نشم		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"نَشِمٌ-نَشِمٌ، ةٌ [ن ش م]. 1.""ثَوْرٌ نَشِمٌ"" : فِيهِ نُقَطٌ سُودٌ وَنُقَطٌ بِيضٌ. 2.""يَدٌ نَشِمَةٌ"" : عَلِقَتْ بِهَا رَائِحَةٌ كَرِيهَةٌ."
403	نُضَارٌ		نضر		صفة			مذكر			مفرد								Tn									"نُضَارٌ-نُضَارٌ [ن ض ر]. 1.""ذَهَبٌ نُضَارٌ"" : ذَهَبٌ خَالِصٌ. 2.""وَجْهٌ نُضَارٌ"" : صَافٍ، حَسَنٌ، جَمِيلٌ."
404	نِضْوٌ		نضو		صفة			مذكر			مفرد	أَنْضَاءٌ			DnN				Tn									". ""حَيَوَانٌ نِضْوٌ"" : مَهْزُولٌ، ضَعِيفٌ."
405	أَنْضَاءٌ		نضو		صفة			مذكر			جمع		نِضْوٌ														Non	
406	نَطْسٌ		نطس		صفة			مذكر			مفرد								Tn									"نَطْسٌ-نَطْسٌ [ن ط س]. ""عَالِمٌ نَطْسٌ"" : مُدَقِّقٌ فِي الأُمُورِ، بَعِيدُ النَّظَرِ. وَيُقَالُ أَيْضاً"" : نَطُسٌ، نَطِسٌ."
407	نَعِيٌّ		نعي		صفة			مذكر			مفرد	نَعَايَا		Ta	DnT				Tn									". ""جَاءَ النَّعِيُّ بِالخَبَرِ الْمُفْجِعِ"": مَنْ يَحْمِلُ خَبَرَ الْمَوْتِ، النَّاعِي."
408	نَعَايَا		نعي		صفة			مذكر			جمع		نَعِيٌّ														Non	
409	نَفَشٌ		نفش		صفة			مذكر			مفرد								Tn									"نَفَشٌ-نَفَشٌ [ن ف ش]. 1.""عَزَلَ النَّفَشَ"" : الصُّوف أَوِ الْقُطْن الْمَنْفُوش. 2.""بَاتَتْ غَنَمُهُ نَفَشاً"" : مُنْتَشِرَةً، مُتَفَرِّقَةً. 3.""بَلَدٌ ذُو نَفَشٍ"" : مُخْصِبٌ. 4.""غَنَمٌ نَفَشٌ"" : يَرْعَى لَيْلاً بِلاَ رَاعٍ."
410	نَوْفَلٌ		نفل		صفة			مذكر			مفرد								Tn									"نَوْفَلٌ-نَوْفَلٌ [ن ف ل]. 1.""رَجُلٌ نَوْفَلٌ"" : كَرِيمٌ، مِعْطَاءٌ. 2.""وَلَدٌ نَوْفَلٌ"" : جَمِيلٌ. 3. ""نَوْفَل"" : اِسْمُ عَلَمٍ لِلْمُذَكَّرِ."
411	نَفِيٌّ		نفي		صفة			مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	PmS		Tn									"نَفِيٌّ-نَفِيٌّ [ن ف ي]. 1.""نَفِيٌّ مِنْ وَطَنِهِ"" : الْمَنْفِيُّ، الْمُبْعَدُ. 2.""نَفِيُّ الرِّيحِ"" : نُفَايَتُهُ، أَيْ مَا"
412	نَقِيرٌ		نقر		صفة			مذكر			مفرد	أَنْقِرَةٌ			DnN				Tn									". 1. : مَا نُقِرَ مِنَ الْحَجَرِ أَوِ الْخَشَبِ وَنَحْوِهِ. 2.""لاَيَمْلِكُ شَرْوَى نَقِيرٍ"" : لاَيَمْلِكُ شَيْئاً، أَيْ هُوَ فَقِيرٌ."
413	أَنْقِرَةٌ		نقر		صفة			مذكر			جمع		نَقِيرٌ															
414	نِقْلَةٌ		نقل		صفة			مذكر			مفرد	نِقَلٌ			DnN				Tn									". ""اِمْرَأَةٌ نِقْلَةٌ"" : تُتْرَكُ وَلا تُخْطَبُ لِكِبَرِها."
415	نِقَلٌ		نقل		صفة			مذكر			جمع		نِقْلَةٌ															
416	نَقِيٌّ		نقو		صفة			مذكر			مفرد	+ون;+ات;أَنْقِيَاءُ		Ta	DnT	Pf	PmS		Tn									". 1.""مَاءٌ نَقِيٌّ"" : صَافٍ، خَالِصٌ. 2.""أَثْوَابٌ نَقِيَّةٌ"" : نَظِيفَةٌ."
417	أَنْقِيَاءُ		نقو		صفة			مذكر			جمع		نَقِيٌّ														Non	
418	نَاهِجٌ		نهج		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"نَاهِجٌ، ةٌ - [ن هـ ج]. 1.""طَرِيقٌ نَاهِجٌ"" : سَالِكٌ، وَاضِحٌ. 2.""طَرِيقَةٌ نَاهِجَةٌ"" : وَاضِحَةٌ، بَيِّنَةٌ. "
419	نُوَمَةٌ		نوم		صفة			مذكر			مفرد								Tn									"نُوَمَةٌ-نُوَمَةٌ [ن و م]. 1.""رَجُلٌ نُوَمَةٌ"" : كَثِيرُ النَّوْمِ. 2.""وَلَدٌ نُوَمَةٌ"" : خَامِلٌ، كَسُولٌ. 3.""وَجَدَهُ نُوَمَةً بَعْدَ مُعَاشَرَةٍ"" : مُغَفَّلاً، لاَ يُؤْبَهُ بِهِ."
420	نُومَةٌ		نوم		صفة			مذكر			مفرد								Tn									"نُومَةٌ-نُومَةٌ [ن و م]. ""رَجُلٌ نُومَةٌ"" : لاَ يُهْتَمُّ بِهِ، لاَ يُؤْبَهُ بِهِ، مُغَفَّلٌ."
421	نَوِيٌّ		نوي		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"نَوِيٌّ-نَوِيٌّ، ةٌ [ن و ي]. 1.""هُوَ نَوِيُّهُ"" : رَفِيقُهُ فِي السَّفَرِ. 2.""صَاحِبٌ نَوِيٌّ"" : أَيْ هُوَ صَاحِبٌ، نِيَّتُهُ نِيَّتُكَ."
422	نِيْءٌ		نيأ		صفة			مذكر			مفرد								Tn									"نِيْءٌ-نِيْءٌ [ن ي أ]. 1.""لَحْمٌ نِيْءٌ"" : لَمْ يَنْضُجْ بَعْدُ. 2.""لَبَنٌ نِيْءٌ"" : مَحْضٌ."
423	نِيْأة		نيأ		صفة			مذكر			مفرد	+ات;			DnN	Pf			Tn									
424	هَبْهَابٌ		هبهب		صفة			مذكر			مفرد								Tn									"هَبْهَابٌ-هَبْهَابٌ [هـ ب هـ ب]. 1.""جَمَلٌ هَبْهَابٌ"" : سَرِيعٌ. 2.""ذِئْبٌ هَبْهَابٌ"" : صَيَّاحٌ. 3.""هَبْهَابُ الصَّحْرَاءِ"" : سَرَابُهَا."
425	هُجَأَةٌ		هجأ		صفة			مذكر			مفرد								Tn									"هُجَأَةٌ-هُجَأَةٌ [هـ ج أ]. ""رَجُلٌ هُجَأَةٌ"" : أَحْمَقُ. ""اِمْرَأَةٌ هُجَأَةٌ""."
426	هِجَانٌ		هجن		صفة			مذكر			مفرد	هُجُنٌ;هَجَائِنُ			DnN				Tn									". 1.""رَجُلٌ هِجَانٌ"" : كَرِيمُ الْحَسَبِ وَالنَّسَبِ. 2.""اِمْرَأَةٌ هِجَانٌ"" : عَقِيلَةُ قَوْمِهَا. 3.""أَرْضٌ هِجَانٌ"" : كَرِيمَةُ التُّرْبَةِ، خِصْبَةٌ."
427	هُجُنٌ		هجن		صفة			مذكر			جمع		هِجَانٌ															
428	هَجَائِنُ		هجن		صفة			مذكر			جمع		هِجَانٌ														Non	
429	هَدِيٌّ		هدي		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"هَدِيٌّ-هَدِيٌّ [هـ د ي]. 1.""رَجُلٌ هَدِيٌّ"" : مُحْتَرَمٌ. 2.""زَفَّ الْهَدِيَّ إِلَى زَوْجِهَا"" : الْعَرُوسَ. 3.""قَدَّمَ الْهَدِيَّ"" : الْهَدْي، مَا يُهْدَى إِلَى الْحَرَمِ مِنَ النّ"
430	هُزَأَةٌ		هزأ		صفة			مذكر			مفرد								Tn									"هُزْأَةٌ-هُزْأَةٌ [هـ ز أ]. ""رَجُلٌ هُزْأَةٌ"" : أَيْ يُهْزَأُ مِنْهُ. ""كَانَ هُزْأَةً بَيْنَ النَّاسِ""."
431	هِزَبْرٌ		هزبر		صفة			مذكر			مفرد	هَزَابِرُ			DnN				Tn									". 1.""زَأَرَ الْهِزَبْرُ"" : الأَسَدُ. 2.""رَجُلٌ هِزَبْرٌ"" : ضَخْمٌ، غَلِيظٌ."
432	هَزَابِرُ		هزبر		صفة			مذكر			جمع		هِزَبْرٌ														Non	
433	هَيْشَرٌ		هشر		صفة			مذكر			مفرد	هَيَاشِرُ			DnN				Tn									". 1.""رَجُلٌ هَيْشَرٌ"" : رَخْوٌ، ضَعِيفٌ طَوِيلٌ. 2. (نب) : نَبَاتٌ مِنْ فَصِيلَةِ الْمُرَكَّبَاتِ، مُعَمِّرٌ وَشَائِكٌ، لَهُ س"
434	هَيَاشِرُ		هشر		صفة			مذكر			جمع		هَيْشَرٌ														Non	
435	هَشِيمَةٌ		هشم		صفة			مذكر			مفرد								Tn									"هَشِيمَةٌ-هَشِيمَةٌ [هـ ش م]. 1.""أَرْضٌ هَشِيمَةٌ"" : أَشْجَارُهَا يَابِسَةٌ. 2.""شَجَرَةٌ هَشِيمَةٌ"" : يَابِسَةٌ."
436	هِضَبٌّ		هضب		صفة			مذكر			مفرد								Tn									"هِضَبٌّ-هِضَبٌّ [هـ ض ب]. 1.""هُوَ هِضَبٌّ"" : صَلْبٌ شَدِيدٌ. 2.""جَوَادٌ هِضَبٌّ"" : كَثِيرُ الْعَرَقِ."
437	هَاضُومٌ		هضم		صفة			مذكر			مفرد	هَوَاضِيمُ			DnN				Tn									". ""دَوَاءٌ هَاضُومٌ"" : أَيْ مُسَاعِدٌ عَلَى هَضْمِ الطَّعَامِ."
438	هَوَاضِيمُ		هضم		صفة			مذكر			جمع		هَاضُومٌ														Non	
439	هُزْهُزٌ		هزهز		صفة			مذكر			مفرد								Tn									"هُزْهُزٌ - [هـز هـ ز]. 1.""مَاءٌ هُزْهُزٌ"" : صَافٍ وَيَهْتَزُّ مِنْ جَرَّاءِ صَفَائِهِ. 2.""بِئْرٌ هُزْهُزٌ"" : بَعِيدَةُ الْغَوْرِ. 3.""عَيْنٌ هُزْهُـزٌ"" : غَزِيرَةٌ. "
440	هِطْلٌ		هطل		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"هِطْلٌ - [هـ ط ل]. 1.""رَجُلٌ هِطْلٌ"" : أَهْوَجُ، أَحْمَقُ. 2.""ضَبَطُوا الْهِطْلَ"" : اللِّصَّ. 3.""حَيَوَانٌ يُشْبِهُ الْهِطْلَ"" : الذِّئْبَ. "
441	هِفٌّ		هفف		صفة			مذكر			مفرد	+ات		Ta	DnT	Pf			Tn									"هِفٌّ - [هـ ف ف]. 1.""زَرْعٌ هِفٌّ"" : أَيْ زَرْعٌ يُؤَخَّرُ حَصَادُهُ فَيَنْتَشِرُ حَبُّهُ. 2.""سَحَابٌ هِفٌّ"" : قَلِيلُ الْمَطَرِ. 3.""رَجُلٌ هِفٌّ"" : خَفِيفٌ. 4.""جَوْزٌ هِفٌّ"" : خَفِيفٌ لاَشَيْءَ فِي جَوْفِهِ"
442	يَهْفُوفٌ		هفف		صفة			مذكر			مفرد	يَهَافِيفُ			DnN				Tn									". 1.""وَلَدٌ يَهْفُوفٌ"": أَحْمَقُ. 2.""رَجُلٌ يَهْفُوفٌ"" : جَبَانٌ. 3.""أَرْضٌ يَهْفُوفٌ"" : قَفْرٌ، خَالِيَةٌ لاَ نَبْتَ فِيهَا."
443	يَهَافِيفُ		هفف		صفة			مذكر			جمع		يَهْفُوفٌ														Non	
444	هَفْهَافٌ		هفهف		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"هَفْهَافٌ، ةٌ - [هـ ف هـ ف]. 1.""اِمْرَأَةٌ هَفْهَافَةٌ"" : ضَامِرَةُ الْبَطْنِ، دَقِيقَةُ الْخَصْرِ. 2.""ثَوْبٌ هَفْهَافٌ"" : رَقِيقٌ شَفَّافٌ. 3.""ظِلٌّ هَفْهَافٌ"" : بَارِدٌ تَهُبُّ فِيهِ الرِّيحُ فَيُسْمَعُ صَوْتُ هُبُوبِهَا. 4.""غُرْفَةٌ هَفْهَافَةٌ"" : بَارِدَةٌ"
445	هِلٌّ		هلل		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"هَلٌّ-هَلٌّ [هـ ل ل]. 1.""ثَوْبٌ هَلٌّ"" : شَفَّافٌ، رَقِيقٌ. 2.""شَعْرٌ هَلٌّ"" : خَفِيفٌ، رَقِيقٌ."
446	هَلْهَالٌ		هلهل		صفة			مذكر			مفرد								Tn									"هَلْهَالٌ-هَلْهَالٌ [هـ ل هـ ل]. 1.""ثَوْبٌ هَلْهَالٌ"" : رَقِيقٌ. 2.""شَعْرٌ هَلْهَالٌ"" : ضَعِيفٌ."
447	هِمْلٌ		همل		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"هِمْلٌ-هِمْلٌ [هـ م ل]. 1.""ثَوْبٌ هِمْلٌ"" : مُرَقَّعٌ. 2.""جَاءَ مُرْتَدِياً هِمْلاً"" : كِسَاءً مِنْ صُوفٍ أَحْمَرَ."
448	هَمَلٌ		همل		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"هَمَلٌ-هَمَلٌ، ةٌ [هـ م ل]. 1.""مَاشِيَةٌ هَمَلَةٌ"" : أَيْ مُهْمَلَةٌ، مَتْرُوكَةٌ لَيْلاً وَنَهَاراً بِلاَ رِعايَةٍ وَلاَ عِنايَةٍ. 2.""صارَ الْمَاءُ هَمَلاً"": أَيْ سَائِلاً لاَ مانِعَ يَحْجُزُهُ. 3.""هَمَلُ النَّخْلَةِ"" : لِيفُهَا الَّذِي يُنْزَعُ مِنْهَا."
449	هُمَامٌ		همم		صفة			مذكر			مفرد								Tn									"هُمَامٌ-هُمَامٌ [هـ م م]. 1.""السَّيِّدُ الْهُمَامُ"" : السَّيِّدُ الشُّجَاعُ، السَّخِيُّ. 2.""إِنَّهُ الْهُمَامُ فِي عَرِينِهِ"" : الْأَسَدُ. 3.""هُمَامُ الثَّلْجِ"" : مَا سَالَ مِنْهُ إِذَا ذَابَ. 4.""هُمَام"" : اِسْمُ عَلَمٍ لِلْمُذَكَّرِ."
450	هِمٌّ		همم		صفة			مذكر			مفرد	أَهْمَامٌ			DnN				Tn									". 1.""رَجُلٌ هِمٌّ"" : شَيْخٌ كَبِيرٌ هَرِمٌ. 2.""وَلَدٌ هِمٌّ"" : رَقِيقٌ، نَحِيفٌ. 3.""قَدَحٌ هِمٌّ"" : قَدِيمٌ، مُتَكَسِّرٌ."
451	أَهْمَامٌ		همم		صفة			مذكر			جمع		هِمٌّ															
452	هَمْهَامٌ		همهم		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"هَمْهَامٌ-هَمْهَامٌ، ةٌ [هـ م هـ م]. ""رَجُلٌ هَمْهَامٌ"" : شُجَاعٌ، سَخِيٌّ."
