#رقم	مشكول	غيرمشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرده	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنون النصب للجمع	شرح
284	قَذَعٌ		قذع		صفة			مذكر			مفرد								Tn									"قَذِعٌ-قَذِعٌ [ق ذ ع] (صِيغَةُ فَعِل). ""وَلَدٌ قَذِعٌ"" : ذُو قَذَعٍ، أَيْ فَاحِشٌ فِي كَلاَمِهِ."
285	قَرَاحٌ		قرح		صفة			مذكر			مفرد	أَقْرِحَةٌ			DnN				Tn									". ""مَاءٌ قَرَاحٌ"" : الصَّافِي، الْخَالِصُ. ""مَاؤُنَا قَرَاحٌ يُقَدَّمُ إِلَيْنَا فِي إِنَاءٍ جَمِيلٍ"". (إسحق الحسيني)."
286	أَقْرِحَةٌ		قرح		صفة			مذكر			جمع																	
287	قَرِيحٌ		قرح		صفة			مذكر			مفرد	قَرْحَى			DnN				Tn									". 1.""مَاءٌ قَرِيحٌ"" : خَالِصٌ، صَافٍ. 2.""جَاءَ قَرِيحاً"" : "
288	قَرْحَى		قرح		صفة			مذكر			جمع																Non	
289	قَرَّاضَةٌ		قرض		صفة			مذكر			مفرد								Tn									"قَرَّاضَةٌ-قَرَّاضَةٌ [ق ر ض]. 1.""رَجُلٌ قَرَّاضَةٌ"" : يَغْتَابُ النَّاسَ وَيَعِيبُهُمْ. 2. : حَشَرَةٌ تَقْرِضُ الصُّوفَ."
290	قَرِيٌّ		قري		صفة			مذكر			مفرد	+ات;		Ta	DnT	Pf			Tn									"قَرِيٌّ-قَرِيٌّ، ةٌ [ق ر ي]. ""رَجُلٌ قَرِيٌّ"" : مَنْ يَقْرِي الضَّيْفَ. ""إِنَّهُ لَقَرِيٌّ، إِنَّهَا لَقَرِيَّةٌ""."
291	قُزٌّ		قزز		صفة			مذكر			مفرد								Tn									"قُزٌّ-قُزٌّ [ق ز ز]. 1.""رَجُلٌ قُزٌّ"" : مُتَقَزِّزٌ، مُتَجَنِّبٌ الْمَعَاصِيَ وَالْمَعَايِبَ. 2.""وَلَدٌ قُزٌّ"" : يَعَافُ الطَّعَامَ. 3.""شَيْءٌ قُزٌّ"" : يُتَقَزَّزُ مِنْهُ. ""ما في طَعَامِهِ قُزٌّ""."
292	قَسِيٌّ		قسو		صفة			مذكر			مفرد	+ات;قِسْيَانٌ		Ta	DnT	Pf			Tn									". 1.""كَانَ قَسِيّاً فِي مُعَامَلَتِهِ"" : قَاسِياً، صَلْباً، مُتَشَدِّداً. 2."" يَوْمٌ قَسِيٌّ"" : شَدِيدُ البَرْدِ أَوْ شَدِيدُ الْحَرِّ. 3.""عَشِيَّةٌ قَسِيَّةٌ"" : بَارِدَةٌ."
293	قِسْيَانٌ		قسو		صفة			مذكر			جمع																	
294	قِصْلٌ		قصل		صفة			مذكر			مفرد								Tn									"قِصْلٌ-قِصْلٌ [ق ص ل]. ""رَجُلٌ قِصْلٌ"" : لاَ مُرُوءةَ لَهُ وَلاَ جَلَدَ، أَوْ هُوَ أَحْمَقُ لاَ خَيْرَ فِيهِ."
295	قَصِيٌّ		قصي		صفة			مذكر			مفرد	+ات;أَقْصَاءٌ;قَصَايَا		Ta	DnT	Pf			Tn									". ""اِسْتَقَرَّ فِي مَكَانٍ قَصِيٍّ"" : بَعِيدٍ. ""فِي غُرْفَةٍ قَصِيَّةٍ كَدَّسَ الْعِيَالَ وَالنَّبَاتَ"". (عبد الحكيم قاسم) ""مَرْمىً قَصِيٌّ""."
296	أَقْصَاءٌ		قصي		صفة			مذكر			جمع																	
297	قَصَايَا		قصي		صفة			مذكر			جمع																Non	
298	قُطْرُبٌ		قطرب		صفة			مذكر			مفرد	قَطَارِبُ		Ta	DnT				Tn									"ج: قَطَارِبُ. 1.""رَجُلٌ قُطْرُبٌ"" : لِصٌّ مُتَمَكِّنٌ مِنَ اللُّصُوصِيَّةِ. 2. (حش) : دُوَيِبَّةٌ تُضِيءُ فِي اللَّيْلِ كَأَنَّهَا شُعْلَةٌ، كَثِيرَةُ الْحَرَكَةِ. 3. (نب) : نَبَاتٌ شَائ"
299	قَطَارِبُ		قطرب		صفة			مذكر			جمع																Non	
300	قَمْرَةٌ		قمر		صفة			مذكر			مفرد								Tn									"قَمْرَةٌ-قَمْرَةٌ [ق م ر]. ""لَيْلَةٌ قَمْرَةٌ"" : لَيْلَةٌ قَمْرَاءُ، يُنِيرُهَا ضَوْءُ القَمَرِ."
301	قَمْطَرِيرٌ		قمطرير		صفة			مذكر			مفرد								Tn									"قَمْطَرِيرٌ - 1."" يَوْمٌ قَمْطَرِيرٌ"" : شَدِيدٌ وَعَسِيرٌ.الإنسان آية 10 إِنَّا نَخَافُ مِنْ رَبِّنَا يَوْماً عَبُوساً قَمْطَرِيراً   ( قرآن). 2.""رَجُلٌ قَمْطَرِيرٌ"" : رَجُلٌ شَدِيدُ العُبُوسِ. "
302	قَمِنَةٌ		قمن		صفة			مذكر			مفرد								Tn									"قَمِنَةٌ-قَمِنَةٌ [ق م ن]. ""رَائِحَةٌ قَمِنَةٌ"" : مَنْتَنَةٌ، فَاسِدَةٌ."
303	قُنْزُعَةٌ		قنزعة		صفة			مذكر			مفرد	قَنَازِعُ			DnN				Tn									"ن: قَنْزَعَةٌ. ج: قَنَازِعُ. ""اِمْرَأََةٌ قُنْزُعَةٌ"" : مُفْرِطَةٌ فِي الْقِصَرِ."
304	قَنَازِعُ		قنزعة		صفة			مذكر			جمع																Non	
305	قِنْوَةٌ		قني		صفة			مذكر			مفرد								Tn									"قِنْوَةٌ-قِنْوَةٌ، قُنْوَةٌ [ق ن ي]. ""لَهُ غَنَمٌ قُنْوَةٌ"" : خَالِصَةٌ لَهُ ثَابِتَةٌ عَلَيْهِ، أَيِ اكْتَسَبَهَا."
306	مِقْوَلٌ		قول		صفة			مذكر			مفرد	مَقَاوِلُ			DnN				Tn									". 1. ""رَجُلٌ مِقْوَلٌ"" : كَثِيرُ الكَلاَمِ والقَوْلِ، لَسِنٌ. 2. ""كَانَ مِقْوَلُهُ لاذِعا"" : لِسَانُهُ."
307	مَقَاوِلُ		قول		صفة			مذكر			جمع																Non	
308	قَيِّدٌ		قيد		صفة			مذكر			مفرد								Tn									"قَيِّدٌ-قَيِّدٌ [ق ي د]. ""فَرَسٌ قَيِّدٌ"" : ذَلُولٌ، مُنْقَادٌ."
