#رقم	مشكول	غيرمشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرد	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح
2	أكَّارٌ		ءكر	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;أَكَرَةٌ;		Ta	DnN	Pf	Pm		Tn			ـو						.: الحَرَّاثُ.
3	أَكَرَةٌ		ءكر	فَعَلَة	صيغة			مذكر			جمع								Tn									
4	عَسَّالٌ		عسل	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات		Ta	DnN	Pf	Pm		Tn			ـو						عَسَّالَةٌ-عَسَّالَةٌ [ع س ل] 1. : خَلِيَّةُ النَّحْلِ. 2. : الَّذِينَ يَسْتَخْرِجُونَ العَسَلَ مِنْ مَوَاضِعِهِ.
5	رَحَّالَةٌ		رحل	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"رَحَّالَةٌ-رَحَّالَةٌ [ر ح ل]. 1.""كَانَ رَحَّالَةَ عَصْرِهِ"" : كَثيرُ الرِّحَالِ، التَّرْحَالِ. 2.""اللَّقَالِقُ مِنَ الطُّيُورِ الرَّحَّالَةِ"" : مِنَ الطُّيُورِ الَّتِي تَنْتَقِلُ فِي مَوَاسِمَ مَعْلُومَةٍ مِن بَلَدٍ إلَى آخَرَ، الْمُهَاجِرَةُ."
6	زَجَّالٌ		زجل	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"زَجَّالٌ-زَجَّالٌ[ز ج ل]. 1. : الشَّاعِرُ الَّذِي يَكْتُبُ قَصائِدَ شِعْرِيَّةً بِاللُّغَةِ العامِّيَّةِ، الشَّعْبِيَّةِ. 2.""حَمامٌ زَجَّالٌ"" : زَاجِلٌ، حَمامٌ يُرْسَلُ بِالرَّسائِلِ عَلَى بُعْدٍ."
7	بَحَّارٌ		بحر	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;بَحَّارَةٌ;		Ta	DnN	Pf	Pm		Tn			ـو						". 1.""بَحَّارٌعَرفَ كُلَّ الْمَوانِئ"" : مَلاَّحٌ، مِنْ رِجَالِ البَحْرِ. 2.""رَسَتِ السَّفِينَةُ، فامْتَلأَ المِينَاءُ بِالبَحَّارَةِ"" : طاقَمُ السَّفِينَةِ وَرِجالُ البَحْريَّةِ."
8	بَحَّارَةٌ		بحر	فعّالة	صيغة			مذكر			جمع		بَحَّارٌ						Tn									
9	جَبَّارٌ		جبر	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;جَبَابِرَةٌ;		Ta	DnN	Pf	Pm		Tn			ـو						". 1.""كَانَ جَبَّاراً عَاتِياً"": مُتَسَلِّطاً، ظَالِماً، مُتَعَجْرِفاً، قَاسِياً، قَاهِراً. ""عَرَفَهُ التَّارِيخُ مِنَ الجَبَابِرَةِ العُتَاةِ"". 2. ""قَ"
10	جَبَابِرَةٌ		جبر	فعاعلة	صيغة			مذكر			جمع		جَبَّارٌ						Tn			ـو						
11	مَسَّاحٌ		مسح	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"مَسَّاحَةٌ-مَسَّاحَةٌ [م س ح]. ""مَسَّاحَةُ الزُّجَاجِ"" : قَضِيبٌ فِـي طَرَفِهِ جِلْدٌ مَطَّاطٌ يَكُونُ مُلْتَصِقاً بِأَعْلَى الزُّجَاجِ الأَمَامِيِّ لِلسَّيَّارَةِ، يَتَحَرَّكُ آلِيّاً لِتَنْظِيفِهِ وَقْتَ الْمَطَرِ."
12	كَوَّاءٌ		كوي	فَعَّال	صيغة			مذكر			مفرد	+ون			Dz		Pm		Tn			ـو						كَوَّاءٌ-كَوَّاءٌ [ك و ي]. : مَنْ يَكْوِي الْمَلاَبِسَ.
13	كَوَّاءَةٌ		كوي	فعّالة	صيغة			مذكر			مفرد	+ات;			DnN	Pf			Tn									
14	كَمَّاءٌ		كمء	فَعَّال	صيغة			مذكر			مفرد	+ون			Dz		Pm		Tn			ـو						كَمَّاءٌ-كَمَّاءٌ [ك م أ]. : بَائِعُ الكَمْأَةِ أَوْ مَنْ يَجْنِيهَا.
15	كَمَّاءَةٌ		كمء	فعّالة	صيغة			مذكر			مفرد	+ات;			DnN	Pf			Tn									
16	كَشَّافٌ		كشف	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						". 1.""شَيْخٌ كَشَّافٌ"" : كَثِيرُ الكَشْفِ. 2.""وَلَدٌ كَشَّافٌ"" : الْمُنْضَوِي تَحْتَ لِوَاءِ الكَشْفِيَّة"
17	فَوَّالٌ		فول	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						فَوَّالٌ-فَوَّالٌ [ف و ل]. : طَابِخُ الْفُولِ وَبَائِعُهُ.
18	فَحَّامٌ		فحم	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						فَحَّامٌ-فَحَّامٌ [ف ح م]. : صَانِعُ، بَائِعُ الْفَحْمِ.
19	عَوَّادٌ		عود	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						عَوَّادٌ-عَوَّادٌ [ع و د]. 1. : الْمُوسِيقِيُّ الَّذِي يَنْقُرُ عَلَى الْعُودِ. 2. : صَانِعُهُ.
20	عَقَّارٌ		عقر	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;عَقَاقِيرُ;		Ta	DnN	Pf	Pm		Tn			ـو						". 1. : مُبَالَغَةُ عَاقِرٍ. 2.""عَقَاقِيرُ الصَّيْدَلِيَّةِ"" : الأَدْوِيَةُ مُطْلَقاً، مَا يُتَدَاوَى بِهِ مِنَ الأَعْشَابِ."
21	عَسَّالٌ		عسل	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						عَسَّالٌ-عَسَّالٌ [ع س ل]. : مُسْتَخْرِجُ العَسَلِ، بَائِعُهُ.
22	عَرَّافٌ		عرف	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"عَرَّافٌ-عَرَّافٌ [ع ر ف]. ""رَجُلٌ عَرَّافٌ"" : الْمُنَجِّمُ، مَنْ يُخْبِرُ وَيَتَنَبَّأُ بِالْمُسْتَقْبَلِ."
23	طَيَّانٌ		طين	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"طَيَّانٌ-طَيَّانٌ [ط ي ن]. ""يَشْتَغِلُ طَيَّاناً مَعَ البَنَّائِينَ فِي الأَحْيَاءِ الشَّعْبِيَّةِ"" : مَنْ يَشْتَغِلُ بِالطِّينِ يَصْنَعُ مِنْهُ العَجِينَ أَوْ يَطْلِي بِهِ الْجُدْرَانَ."
24	كَنَّاسٌ		كنس	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						كَنَّاسٌ - [ك ن س]. : مَنْ حِرْفَتُهُ الكَنْسُ. 
25	مَدَّاحٌ		مدح	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						
26	غَدَّارٌ		غدر	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"غَدَّارٌ - (مذ، مؤ). ج: ون، ات. [غ د ر]. (صِيغَةُ فَعَّال لِلْمُبَالَغَةِ). ""رَجُلٌ غَدَّارٌ"" : كَثِيرُ الغَدْرِ وَالْمَكْرِ وَالْخَدِيعَةِ. وَيُقَالُ ""اِمْرَأَةٌ غَدَّارٌ وَغَدَّارَةٌ"".   ""كَذَّابُونَ غَدَّارُونَ لاَ يَرْعَوْنَ الذِّمَامَ"". "
27	ذَبَّاحٌ		ذبح	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"ذَبَّاحٌ-ذَبَّاحٌ، ذُبَّاحٌ [ذ ب ح]. ""أُصيبَ بِذُبَّاحٍ"" : اِلْتِهاب في الحَلْقِ."
28	دَبَّاسٌ		دبس	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						دَبَّاسٌ-دَبَّاسٌ [د ب س].: صَانِعُ الدَّبْسِ وَبَائِعُهُ.
29	خَيَّامٌ		خيم	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						خَيَّامٌ-خَيَّامٌ [خ ي م].: صَانِعُ الخِيَامِ أَوْ بَائِعُهَا، الخَيْمِيُّ.
30	خَمَّارٌ		خمر	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						خَمَّارٌ-خَمَّارٌ [خ م ر].: بَائِعُ الخَمْرِ.
31	خَلاَّلٌ		خلل	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"خَلاَّلٌ-خَلاَّلٌ [خ ل ل]. ""يُوجَدُ خَلاَّلٌ وَحِيدٌ فِي السُّوقِ"" : بَائِعُ الخَلِّ وَصَانِعُهُ."
32	حَلاَّبٌ		حلب	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						حَلاَّبٌ-حَلاَّبٌ [ح ل ب].: مَنْ يَحْلُبُ، يَبِيعُ الحَلِيبَ.
33	حَجَّارٌ		حجر	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"حَجَّارٌ-حَجَّارٌ [ح ج ر].""عامِلٌ حَجَّارٌ"" : عامِلٌ في الحِجارَةِ."
34	جَرَّافٌ		جرف	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									جَرَّافٌ-جَرَّافٌ [ج ر ف].: آلَةُ الجَرْفِ.
35	جَرَّاحٌ		جرح	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"جَرَّاحٌ-جَرَّاحٌ [ج ر ح]. ""أَجْرَى الجَرَّاحُ عَمَلِيَّةً جِرَاحِيَّةً نَاجِحَةً"": مَنْ يُمَارِسُ فَنَّ الجِرَاحَةِ، جِرَاحَةُ الأَعْضَاءِ."
36	جَبَّانٌ		جبن	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"جَبَّانٌ-جَبَّانٌ [ج ب ن]. ""وَقَفَ الجَبَّانُ يَبِيعُ جُبْنَهُ ل"
37	جَبَّاسٌ		جبس	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						جَبَّاسٌ - [ج ب س].: صَانِعُ، الجِبْسِ، بائِعُهُ. 
38	تَوَّاقٌ		توق	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						". ""شَابٌّ تَوَّاقٌ إلَى.... "" : من بِهِ "
39	تَمَّارٌ		تمر	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						تَمَّارٌ-تَمَّارٌ [ت م ر]. : بائِعُ التَّمْرِ.
40	بَيَّاعٌ		بيع	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"بَيَّاعٌ-بَيَّاعٌ [ب ي ع]. ""سَمِعَ صَوْتَ بَيَّاعٍ مُتَجَوِّلٍ"" : بائِع."
41	بَقَّالٌ		بقل	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"بَقَّالٌ-بَقَّالٌ [ب ق ل]. ""أَجِدُ كُلَّ ما أَحْتاجُهُ مِنَ الْمَوادِّ الغِذائِيَّةِ عِنْدَ "
42	بَزَّازٌ		بزز	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"بَزَّازٌ - [ب ز ز]. ""كانَ والِدُهُ بَزَّازاً لَهُ مَعْرِفَةٌ دَقِيقَةٌ بِالثِّيابِ وَألْوانِها"" : مَنْ يَتَّجِرُ في الثِّيابِ. "
43	بَزَّارٌ		بزر	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"بَزَّارٌ-بَزَّارٌ [ب ز ر]. ""بَزَّارُ الحَيِّ"" : مَنْ يَبيعُ القَمْحَ والذُّرَةَ والأُرْزَ والعَدَسَ والأبازِيرَ."
44	بَرّامٌ		برم	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						
45	بَذَّارٌ		بذر	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						
46	جَرَّارٌ		جرر	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"جَرَّارٌ-جَرَّارٌ [ج ر ر] (صف). ""اِنْتَشَرَ جَيْشٌ"
47	صَقَّالٌ		صقل	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						صَقَّالٌ-صَقَّالٌ [ص ق ل] (صِيغَة فَ
48	طَرَّازٌ		طرز	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"طَرَّازٌ-طَرَّازٌ، ةٌ [ط ر ز] (صِيغَة فَعَّال). ""إِنَّهَا الطَّرَّازَةُ الأُولَى بِالْمَدِينَةِ"" : مَنْ تُطَرِّزُ الثِّيَابَ بِخُيُوطٍ حَرِيرِيَّةٍ أَوْ غَيْرِهَا."
49	قَمَّاشٌ		قمش	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						قَمَّاشٌ-قَمَّاشٌ [ق م ش] (صِيغَة فَعَّال). 1. : بَائِعُ القُمَاشِ. 2. : بَائِعُ الأَقْمِشَةِ وَالأَمْتِعَةِ الْمُسْتَعْمَلَةِ.
50	جَعَّابٌ		جعب	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						جَعَّابٌ-جَعَّابٌ [ج ع ب] (صِيغَةُ فَعَّال).: صَانِعُ الجِعَابِ.
51	حَرَّارٌ		حرر	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						حَرَّارٌ-حَرَّارٌ [ح ر ر] (صِيغَةُ فَعَّال).: بائِعُ الحَريرِ.
52	حَفَّارٌ		حفر	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"حَفَّارٌ-حَفَّارٌ [ح ف ر] (صِيغَةُ فَعَّال). ""حَفَّارُ القُبُورِ"" : مَنْ يَحْفِرُها. ""لَمَّا تَوَارَى حَفَّارُ القُبُورِ، اِرْتَمَيْتُ عَلَى قَبْرِ سَلْمَى أُعَزِّيهَا"" (جبران خ. جبران)."
53	حَلاَّجٌ		حلج	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"حَلاَّجٌ-حَلاَّجٌ [ح ل ج] (صِيغَةُ فَعَّال). 1. ""ذَهَبَتْ بِقُطْنِها عِنْدَ الحَلاَّجِ"" : مَنْ يَنْدِفُهُ ويُنَظِّفُهُ وَيُخَلِّصُهُ مِنْ بَذْرِهِ. 2.""الحَلاَّجُ"" : اِسْمُ عَلَمٍ لأَحَدِ الْمُتَصَوِّفَةِ فِي العَصْرِ العَبَّاسِيِّ."
54	خَرَّازٌ		خرز	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						(صِيغَةُ فَعَّال).: صَانِعُ الْخَرَزِ أوِ خَيَّاطُ الْجِلْدِ .
55	خَزَّافٌ		خزاف	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"ج: ـون. (صِيغَةُ فَعَّال). ""خَزَّافٌ مَاهرٌ"" : صَانِعُ الْخَزَفِ، أَي الأَوَانِي الْمَصْنُوعَةُ مِنَ"
56	خَضَّارٌ		خضر	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"خَضَّارٌ-خَضَّارٌ [خ ض ر] (صِيغَةُ فَعَّال). ""اِشْ"
57	خَيَّاطٌ		خيط	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"خَيَّاطٌ-خَيَّاطٌ، ةٌ [خ ي ط] (صِيغَةُ فَعَّال). ""طَلَبَ مِنَ الخَيَّاطِ أَنْ يَخِيطَ لَهُ كِسْوَةٌ"" : صَانِعُ الْمَلاَبِسِ."
58	دَبَّاغٌ		دبغ	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"دِبَاغٌ-دِبَاغٌ [د ب غ] (مص. دَبَغَ). ""دِبَاغُ الجِلْدِ"" : مَا يُدْبَغُ بِهِ."
59	دَرَّاسٌ		درس	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"(صِيغَةُ فَعَّال). ""لَمْ أكُنْ أرَى إلاَّ الدَّرَّاسِينَ فِي حَرِّ الصَّيْفِ"" : مَنْ يَدْرُسُ سَنَابِلَ القَمْحِ، أوِ الذُّرَةِ، أوْ مَا شَابَهَ ذَلِكَ."
60	دَلاَّكٌ		دلك	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"دَلاَّكٌ-دَلاَّكٌ [د ل ك] (صِيغَةُ فَعَّال). ""دَلَكَهُ الدَّلاَّكُ في الحَمَّامِ"" : من يَحُكُّ جِسْمَ الْمُسْتَحِمِّ."
61	دَلاَّلٌ		دلل	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"دَلالٌ-دَلالٌ [د ل ل] (مص. دَلَّ). ""أَظْهَرَتْ دَلالاً مَا بَعْدَهُ مِنْ دَلالٍ"" : أَظْهَرَتْ تَغَنُّجاً، تَأَنُّقاً، غُنْجاً في حَرَكاتِها."
62	دَمَّانٌ		دمن	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn									دَمَّانٌ-دَمَّانٌ [د م ن] (صِيغَةُ فَعَّال). : الَّذِي يُسَمِّدُ الأَرْضَ.
63	ذَبَّانٌ		ذبن	فَعَّال	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"ذَبَّانٌ-ذَبَّانٌ، ةٌ [ذ ب ن] (صِيغَةُ فَعَّال). ""شَفَةٌ ذَبَّانَةٌ"" : ذابِلَةٌ مِنْ عَطَشٍ أَوْ غَيْرِهِ."
64	رَصَّاصٌ		رصص	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						(صِيغَةُ فَعَّال). : مَنْ يَعْمَلُ الرَّصاصَ.
65	زَبَّالٌ		زبل	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						زَبَّالٌ-زَبَّالٌ[ز ب ل] (صِيغَةُ فَعَّال). : مَنْ يَجْمَعُ النُّفاياتِ وَفَضَلاتِ الطَّعامِ والأَزْبالَ مِنَ الشَّوارِعِ.
66	زَجَّاجٌ		زجج	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"زُجاجٌ-زُجاجٌ[ز ج ج]. 1.""كَسَرَ زُجاجَ النَّافِذَةِ"" : جِسْمٌ شَفَّافٌ يُصْنَعُ مِنَ الرَّمْلِ الْمَخْلوطِ بِالكِلْسِ وَمَوادَّ كيماوِيَّةٍ مِثْلِ كارْبوناتِ الصُّودِيُومِ أَوِ البُوتَاسْيومِ، صَلْبٌ وَسَهْلُ الكَسْرِ، تُصْنَعُ مِنْهُ الأَوانِي الزُّجاجِيَّةُ وَغَيْرُ ذَلِكَ. 2.""كُؤُوسٌ مِنْ زُجاجِ البِلَّوْرِ"": زُجاجٌ أَكْثَرُ شَفافِيَّةً، ناصِعُ البَياضِ. 3.""مَنْ يَسْكُنْ بَيْتاً مِنْ زُجاجٍ لا يَرْمِ النَّاسَ بِحَجَرٍ"" : مَنْ كانَ ضَعيفاً لاَ يَقْوَى على الْمُواجَهَةِ لا يَرْمِ..."
67	زَمَّارٌ		زمر	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"زَمَّارٌ-زَمَّارٌ[ز م ر] (صِيغَةُ فَعَّال). ""زَمَّارُ الْحَيِّ"" : مَنْ يُغَنِّي بِالمِزْمارِ."
68	زَهَّارٌ		زهر	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						(صِيغَةُ فَعَّال). : بائِعُ الزُّهورِ.
69	زَيَّاتٌ		زيت	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						(صِيغَةُ فَعَّال). 1. : بائِعُ الزَّيْتِ. 2. : عاصِرُ الزَّيْتِ. 3. : مَنْ يَمْلِكُ مَعاصِرَ لِعَصْرِ الزَّيْتِ.
70	سَلاَّلٌ		سلل	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"سَلاَّلٌ-سَلاَّلٌ [س ل ل] (صِيغَةُ فَعَّال). ""اِشْتَرى"
71	سَمَّانٌ		سمان	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						: (صِيغَةُ فَعَّال).: بائِعُ السَّمْنِ وَمُشْتَقَّاتِهِ.
72	سَوَّاقٌ		سوق	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"سَوَّاقٌ-سَوَّاقٌ [س و ق] (صِيغَةُ فَعَّال). ""سَوَّاقٌ ماهِرٌ"" : سائِقُ سَيَّارَةٍ أَوْ قِطارٍ وَغَيْرِهِمَا."
73	صَوَّافٌ		صوف	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"صَوَّافٌ-صَوَّافٌ [ص و ف] (صِيغَةُ فَعَّال). ""تَاجِرٌ صَوَّافٌ"" : بَائِعُ الصُّوفِ."
74	صَيَّادٌ		صيد	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"(صِيغَةُ فَعَّال). ""خَرَجَ الصَّيَّادُ حَامِلاً بُنْدُقِيَّتَهُ وَك"
75	طَحَّانٌ		طحن	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						طَحَّانٌ-طَحَّانٌ [ط ح ن] (صِيغَةُ فَعَّال). : صَانِعُ، وَبَائِعُ الطَّحِينِ.
76	طَمَّاحٌ		طمح	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"طَمَّاحٌ-طَمَّاحٌ [ط م ح] (صِيغَةُ فَعَّال). ""وَلَدٌ طَمَّاحٌ"" : كَثِيرُ الطُّمُوحِ أَوْ شَرِهٌ."
77	عَتَّالٌ		عتل	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"عَتَّالٌ-عَتَّالٌ [ع ت ل] (صِيغَةُ فَعَّال). ""حَمَلَ العَتَّالُ الْحَقَائِبَ"" : الْحَمَّالُ."
78	عَجَّاجٌ		عجج	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"عَجَّاجٌ-عَجَّاجٌ [ع ج ج] (صِيغَةُ فَعَّال). 1.""رَجُلٌّ عَجَّاجٌ"" : كَثِيرُ الصِّيَاحِ، أَوْ مُثِيرُ الْعَجَاجِ. 2.""نَهْرٌ عَجَّاجٌ"" : يُسْمَعُ لِمَائِهِ عَجِيجٌ."
79	عَرَّابٌ		عرب	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"عَرَّابٌ-عَرَّابٌ [ع ر ب] (صِيغَةُ فَعَّال). ""حَضَرَ الْعَرَّابُ مَرَاسِيمَ الْحَفْلِ"" : عِنْدَ الْمَسِيحِيِّينَ الْكَفِيلُ الَّذِي يَحْضُرُ عَمَلِيَّةَ تَعْمِيدِ الطِّفْلِ وَيَتَوَلَّى بِذَلِكَ مَسْؤُولِيَّةً رَمْزِيَّةً تُجَاهَهُ."
80	عَزَّامٌ		عزم	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"عَزَّامٌ-عَزَّامٌ [ع ز م] (صِيغَةُ فَعَّال). ""وَلَدٌ عَزَّامٌ"" : شَدِيدُ العَزْمِ."
81	غَشَّاشٌ		غشش	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"(صِيغَةُ فَعَّال). ""رَجُلٌ غَشَّاشٌ"" : كَثِيرُ الغِشِّ."
82	فَرَّاشٌ		فرش	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"فَرَّاشٌ-فَرَّاشٌ [ف ر ش] (صِيغَةُ فَعَّال). 1.""اِشْتَغَلَ فَرَّاشاً"" : مَنْ يَتَوَلَّى أَمْرَ الفِرَاشِ وَخِدْمَتِه"
83	فَصَّاصٌ		فصص	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						فَصَّاصٌ-فَصَّاصٌ [ف ص ص] (صِيغَةُ فَعَّال). : صَانِعُ فُصُوصِ الْخَوَاتِمِ.
84	فَضَّاحٌ		فضح	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"فَضَّاحٌ-فَضَّاحٌ [ف ض ح] (صِيغَةُ فَعَّال). ""رَجُلٌ فَضَّاحٌ"" : كَثِيرُ الفَضْحِ، مُبَالَغَةٌ مِنَ الفَاضِحِ."
85	قَتَّاتٌ		قتت	فَعَّال	صيغة			مذكر			مفرد	+ون;+ات;		Ta	DnN	Pf	Pm		Tn			ـو						"قَتَّاتٌ-قَتَّاتٌ [ق ت ت] (صِيغَةُ فَعَّال). ""رَجُلٌ قَتَّاتٌ"" : نَمَّامٌ، مُخْبِرٌ."
