#رقم	مشكول	غيرمشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرد	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح
1245	مَطِيرٌ		طير	فَعِيل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"مَطِيرٌ-مَطِيرٌ [ط ي ر] (صِيغَةُ فَعِيل). ""يَوْمٌ مَطِيرٌ"" : أَيْ مُ"
1246	ظَليفٌ		ظلف	فَعِيل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"ظَليفٌ-ظَليفٌ، ةٌ [ظ ل ف] (صِيغَةُ فَعِيل). 1.""مَكانٌ ظَليفٌ"": خَشِنٌ. 2.""أَرْضٌ ظَليفَةٌ"" : شَديدَةٌ، صُلْبَةٌ، غَليظَةٌ. 3.""رَجُلٌ ظَليفٌ"" : سَيِّءُ الحالِ. 4.""ذَهَبَ بِهِ ظَليفاً"" : مَجَّ"
1247	ظَليلٌ		ظلل	فَعِيل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"ظَليلٌ-ظَليلٌ، ةٌ [ظ ل ل] (صِيغَةُ فَعِيل). 1.""مَكانٌ ظَليلٌ"" : مَكانٌ بِهِ ظِلٌّ كَثيفٌ دائِمٌ. 2.""ظِلُّ ظَليلٌ"" : ظِلٌّ كَثيفٌ دائِمٌ. ""واحَ"
1248	ظَهيرٌ		ظهر	فَعِيل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"ظَهيرٌ-ظَهيرٌ [ظ هـ ر]. لِلْمُذَكَّرِ والْمُؤَنَّثِ والجَمْعِ. (صِيغَةُ فَعِيل). 1.""رَجُلٌ ظَهيرٌ"" : القَوِيُّ الظَّهْرِ. 2.""هُوَ ظَهيرهُ"" : مُعينُهُالتحريم آية 4 والْمَلائِكَةُ بَعْدَ ذَلِكَ ظَهيرٌ (قرآن).القصص آية 86فَلا تَكونَنَّ ظَهيراً لِلْكافِرينَ . (قرآن)""لَمْ يَكُنْ لَهُ مِنْ ذَلِكَ ظَهيرٌ وَلا نَظيرٌ"". 3.""أَخَذَ الظَّهيرُ الأَيْمَنُ مَوْقِعَهُ في الْمَلْعَبِ"" : أَحَدُ لاعِبِي كُرَةِ القَدَمِ الأَحَدَ عَشَرَ، وَهُما ظَهِيرانِ أَيْمَنُ وَأَيْسَرُ يُشَكِّلانِ خَطَّ الدِّفاعِ."
1250	عَبِيرٌ		عبر	فَعِيل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"عَبِيرٌ-عَبِيرٌ [ع ب ر] (صِيغَةُ فَعِيل). 1.""فَاحَ عَبِيرٌ"" : أَخْلاَطٌ مِنَ ا"
1251	عَبِيطٌ		عبط	فَعِيل	صيغة			مذكر			مفرد	+ون;+ات;عُبُطٌ;عِبَاطٌ;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِيل). 1.""لَحْمٌ عَبِيطٌ"" : طَرِيٌّ غَيْرُ نَاضِجٍ. 2.""دَمٌ عَبِيطٌ"" : طَرِيٌّ. 3.""زَعْفَرَانٌ عَبِيطٌ"" : طَرِيٌّ، خَالِصٌ. 4.""رَجُلٌ عَبِيطٌ"" : أَبْلَهُ."
1254	عَتِيدٌ		عتد	فَعِيل	صيغة			مذكر			مفرد	+ون;+ات;ج;عَتَائِدُ		Ta	DnN	Pf	Pm		Tn									"عَتِيدٌ-عَتِيدٌ، ةٌ [ع ت د] (صِيغَةُ فَعِيل). 1.""حَارِسٌ عَتِيدٌ"" : حَاضِرٌ.ق آية 18مَا يَلْفِظُ مِنْ قَوْلٍ إِلاَّ لَدَيْهِ رَقِيبٌ عَتِيدٌ (قرآن). 2.""مَوْقِفٌ عَتِيدٌ "" : صَلْبٌ شَدِيدٌ. 3.""رَجُلٌ عَتِيدٌ "" : مُهَيَّأٌ للِشَّدَائِدِ."
1256	عَتِيقٌ		عتق	فَعِيل	صيغة			مذكر			مفرد	+ون;+ات;عِتَاقٌ;عُتُقٌ;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِيل). 1.""زَارَ الْبَيْتَ الْعَتِيقَ"" : زَارَ الْكَعْبَةَ. 2.""يَمْلِكُ جَوَاداً عَتِيقاً"" : أَصِيلاً. 3.""يَسْكُنُ بَيْتاً عَتِيقاً"" : قَدِيماً. ""بَدَا لِي مِنْ قَدَمَيْهَا الْمُغَبَّرَتَيْنِ فِي الْحِذَاءِ الْعَتِيقِ الْمُهْتَرِئِ أَنَّهَا كَانَتْ فِي رِحْلَةٍ بَعِيدَةٍ"". (حنا مينه). 4.""طَيْرٌ عِتَاقٌ"
1259	عَجِيجٌ		عجج	فَعِيل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"عَجِيجٌ-عَجِيجٌ [ع ج ج] (صِيغَةُ فَعِيل). ""عَجيجُ الوَلَدِ"" : صُياحُهُ"". ""وَلَيْسَ عَجِيجُهَا هَذَا الَّذِي تَسْمَعُ إِلاَّ مَظْهَراً مِنْ مَظَاهِرِ الْغَيْظِ""."
1260	عَجِينٌ		عجن	فَعِيل	صيغة			مذكر			مفرد	+ات;		Ta	DnN	Pf			Tn									"عَجِينٌ-عَجِينٌ، ةٌ [ع ج ن] (صِيغَةُ فَعِيل). 1.""حَضَّرَتِ الْعَجِينَ لِتُهَيِّءَ خُبْزَهَا"" : الدَّقِيقُ الْمَعْجُونُ بِالْمَاءِ. ""ال"
1261	عَدِيلٌ		عدل	فَعِيل	صيغة			مذكر			مفرد	+ون;+ات;أَعْدَالٌ;عُدَلاَءُ;		Ta	DnN	Pf	Pm		Tn									"(صِيغَةُ فَعِيل). 1.""هُوَ عَدِيلِي"" : مِثْلِي، نَظِيرِي. 2.""عَدِيلُ الرَّجُلِ"" : زَوْجُ أُخْتِ امْرَأَتِهِ."
1264	عَدِيمٌ		عدم	فَعِيل	صيغة			مذكر			مفرد	+ون;+ات;عُدَمَاءُ;		Ta	DnN	Pf	Pm		Tn									". (صِيغَةُ فَعِيل). 1.""رَجُلٌ عَدِيمٌ"" : أَحْمَقُ، مَجْنُونٌ. 2.""هُوَ عَدِيمُ المُرُوءةِ"" : فَاقِدُ الْمُرُوءةِ. ""عَدِيمُ النَّظَرِ"". 3.""عَدِيمَاتُ الأَجْنِحَةِ"" : حَشَرَاتٌ لاَ أَجْنِحَةَ لَهَا."
1266	عَرِيضٌ		عرض	فَعِيل	صيغة			مذكر			مفرد	+ات;عِرَاضٌ;		Ta	DnN	Pf			Tn			ـو						"(صِيغَةُ فَعِيل). 1.""ثَوْبٌ عَرِيضٌ"" : وَاسِعٌ. ""بَدَا فِي وَقْفَتِهِ طَوِيلَ القَامَةِ عَرِيضَ الْمَنْكِبَيْنِ"". 2.""دُعَاءٌ عَرِيضٌ"" : كَثِيرٌ.فصلت آية 51 وَإِذَا مَسَّهُ الشَّرُّ فَذُو دُعَاءٍ عَرِيضٍ (قرآن)."
1269	عَرِيفٌ		عرف	فَعِيل	صيغة			مذكر			مفرد	+ات;عُرَفَاءُ;		Ta	DnN	Pf			Tn									"(صِيغَةُ فَعِيل). 1.""هُوَ عَرِيفُ القَوْمِ"" : العَالِمُ بِأُمُورِهِمْ. 2.""اِرْتَقَى الْجُنْدِيُّ إِلَى دَرَجَةِ عَرِيفٍ"" : رُتْبَةٌ عَسْكَرِيَّةٌ مَا دُونَ الضَّابِطِ وَفَوْقَ الْجُنْدِيِّ. 3.""أَمْرٌ عَرِيفٌ"" : مَعْرُوفٌ."
