#رقم	مشكول	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرد	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح
228	مُسْتَوَى	مستوى	سوي		مفعول	اِسْتَوَى		مذكر			مفرد	+ات 			Dy	Pf			Tn									"(مفع. مِن اِسْتَوَى). 1.""مُسْتَوَى الْمَعِيشَةِ"" : دَرَجَةُ... ""مُسْتَوَى مَعِيشَةِ القَرَوِيِّ أَقَلُّ مِنْ مُسْتَوَى الْحَضَرِيِّ"" ""هُوَ فِي مُسْتَوَاهُ"". 2.""مُسْتَوَاهُ الثَّقَافِيُّ جَيِّدٌ"" : مَرْتَبَتُهُ، مِعْيَارُهُ. ""الْمُسْتَوَى الفِكْرِيُّ"". 3.""كَانَ فِي مُسْتَوَى الْمَسْؤُو"
229	مُسْتَواة	مستواة	سوي		مفعول	اِسْتَوَى		مؤنث			مفرد	+ات 			DnN	Pf			Tn									"(مفع. مِن اِسْتَوَى). 1.""مُسْتَوَى الْمَعِيشَةِ"" : دَرَجَةُ... ""مُسْتَوَى مَعِيشَةِ القَرَوِيِّ أَقَلُّ مِنْ مُسْتَوَى الْحَضَرِيِّ"" ""هُوَ فِي مُسْتَوَاهُ"". 2.""مُسْتَوَاهُ الثَّقَافِيُّ جَيِّدٌ"" : مَرْتَبَتُهُ، مِعْيَارُهُ. ""الْمُسْتَوَى الفِكْرِيُّ"". 3.""كَانَ فِي مُسْتَوَى الْمَسْؤُو"
230	مُسْدَلٌ	مسدل	سدل		مفعول	أَسْدَلَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُسْدَلٌ-مُسْدَلٌ [س د ل] (مفع. مِن أَسْدَلَ). 1.""سِتَارٌ مُسْدَلٌ"" : مُرْخىً. 2.""شَعْرٌ مُسْدَلٌ عَلَى كَتِفَيْهَا"" : مُسَرَّحٌ."
231	مَسْعُودٌ	مسعود	سعد		مفعول	سَعَدَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"مَسْعُودٌ-مَسْعُودٌ [س ع د] (مفع. مِن أَسْعَدَ وَسَعَدَ). ""رَائِدٌ مَسْعُودٌ"": مُوَفَّقٌ، مَحْظُوظٌ."
232	مُسْعَفٌ	مسعف	سعف		مفعول	أَسْعَفَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn			ـو						"مُسْعَفٌ-مُسْعَفٌ [س ع ف] (مفع. مِن أَسْعَفَ). ""مَرِيضٌ مُسْعَفٌ"" : أَيْ تَمَّ إِسْعَافُهُ وَمُسَاعَدَتُهُ، إِغَاثَتُهُ."
233	مُسْهَبٌ	مسهب	سهب		مفعول	أسْهَبَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"(مفع. مِن أسْهَبَ). 1.""رَجُلٌ مُسْهَبٌ"" : طَوِيلُ القَدِّ. 2.""ألْقَى خُطْبَةً مُسْهَبَةً"" : خُطْبَةً طَوِيلَةً مُفَصَّلَةً. ""قِصَّةٌ مُسْهَبَةٌ""."
234	مُشْبَعٌ	مشبع	شبع		مفعول	أَشْبَعَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"مُشْبَعٌ-مُشْبَعٌ [ش ب ع] (مفع. مِن أَشْبَعَ) ""شَرَابٌ مُشْبَعٌ بِالسُّكَّرِ"" : أَيْ فِيهِ سُكَّرٌ زَائِدٌ مِمَّا لاَ يَقْبَلُ زِيَادَةً. ""مَضَتِ النُّفُوسُ تَسْتَشْعِرُ حَيَوِيَّةً مُشْبَعَةً بِالأَرْيَحِيَّةِ"". (ن. محفوظ)."
235	مُشْتَبَهٌ	مشتبه	شبه		مفعول	اِشْتَبَهَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"(مفع. مِن اِشْتَبَهَ). 1.""رَجُلٌ مُشْتَبَهٌ فِي سُلُوكِهِ"" : يُشْتَبَهُ فِيهِ، الْمَشْكُوكُ فِيهِ، مَشْبُوهٌ. 2. ""طريقٌ مُشْتَبَهُ الأعْلامِ"" : لَيْسَ فيه عَلامَةٌ تُوجِّهُ السّائِرَ."
236	مُشْتَرَكٌ	مشترك	شرك		مفعول	اِشْتَرَكَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn			ـو						"مُشْتَرَكٌ-مُشْتَرَكٌ، ةٌ [ش ر ك] (مفع. مِن اِشْتَرَكَ). 1.""عَمَلٌ مُشْتَرَكٌ"" : عَمَلٌ يَشْتَرِكُ فِيهِ اثْنَانِ أَوْ أَكْثَرُ. 2. ""صَدِيقٌ مُشْتَرَكٌ"" : صَدِيقٌ لِعَدَدٍ مِنَ الأَصْدِقَاءِ. ""الْمَصْلَحَةُ الْمُشْتَرَكَةُ"". 3.""صَدَرَ بَلاَغٌ مُشْتَرَكٌ عَنِ الاجْتِمَاعِ"" : بَلاَغٌ"
237	مُشْتَقٌّ	مشتق	شقق		مفعول	اِشْتَقَّ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"(مفع. مِن اِشْتَقَّ). ""لَفْظٌ مُشْتَقٌّ"" : مَأْخُوذٌ مِنْ لَفْظٍ آخَرَ."
