#رقم	مشكول	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرد	التأنيث	التثنية	ج, مؤ, س,	ج, مذ, س,	المنقوص	تنوين النصب	نسب	إض, لف,	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح
2	مُقَفَّى	مقفى	قفي		مفعول	قَفَّى		مذكر			مفرد	+ون			Dy		Pm		Tn									"قَفّـىً - [ق ف ي]. (فا. من قَفَّى). 1. ""كَلاَمٌ مُقَفّـىً"" : فِيهِ سَجْعٌ، لَهُ قَافِيَةٌ، أَيْ تَوَافُقٌ عَلَى الْحَرْفِ الأَخِيرِ. 2."" رَجُلٌ مُقَفّىً بِهِ"" : مُحْتَفَىً بِهِ، مُكَرَّمٌ، مَحَطُّ تَشْرِيفٍ."
3	مُقَفّاة	مقفاة	قفي		مفعول	قَفَّى		مؤنث			مفرد	+ات 			DnN	Pf			Tn									"قَفّـىً - [ق ف ي]. (فا. من قَفَّى). 1. ""كَلاَمٌ مُقَفّـىً"" : فِيهِ سَجْعٌ، لَهُ قَافِيَةٌ، أَيْ تَوَافُقٌ عَلَى الْحَرْفِ الأَخِيرِ. 2."" رَجُلٌ مُقَفّىً بِهِ"" : مُحْتَفَىً بِهِ، مُكَرَّمٌ، مَحَطُّ تَشْرِيفٍ."
4	مَبْتُوتٌ	مبتوت	بتت		مفعول	بَتَّ		مذكر			مفرد								Tn									قضية مبتوت فيها
5	مُضَافٌ	مضاف	ضيف		مفعول	أَضَافَ		مذكر			مفرد	+ون;+ات		ة	DnT	Pf	Pm		Tn									"مُضَافٌ-مُضَافٌ [ض ي ف]. 1.""الْمُضَافُ فِي النَّحْوِ"" : الاِسْمُ الَّذِي يُضَافُ إِلَيْهِ اسْمٌ آخَرُ طَلَباً لاَزِماً يُفِيدُ تَعْرِيفاً أَوْ تَخْصِيصاً. يُسَمَّى الأَوَّلُ مُضَافاً وَالثَّانِي مُضَافاً إِلَيْهِ، وَيَكُونُ مَجْرُوراً : ""قَلَمُ الرَّصَاصِ"". 2.""وَلَدٌ مُضَافٌ : خَائِفٌ. ""هَبَّ إِلَى نَجْدَةِ الْمُضَافِ"". 3.""رَجُلٌ مُضَافٌ"" : دَعِيٌّ، أَي مُنْتَسِبٌ إِلَى قَوْمٍ ولَيْسَ مِنْهُمْ."
6	مُبَيَّضَةٌ	مبيضة	بيض		مفعول	بَيَّضَ		مؤنث			مفرد	+ات 			DnN	Pf			Tn									"مُبَيَّضَةٌ-مُبَيَّضَةٌ [ب ي ض]. ""نُسْخَةٌ مُبَيَّضَةٌ"" : نَاصِعَةٌ."
7	مُبَانٌ	مبان	بين		مفعول	أَبَانَ		مذكر			مفرد	+ات 			DnN	Pf			Tn									"مُبَيَّنٌ-مُبَيَّنٌ [ب ي ن] (مفع. مِنْ بَيَّنَ). ""كَمَا هُوَ مُبَيَّنٌ"" : كَمَا هُوَ وَاضِحٌ."
8	مُقَشَّرٌ	مقشر	قشر		مفعول	قَشَّرَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُقَشَّرٌ، ةٌ - [ق ش ر]. (مفع. من قَشَّرَ). ""جَزَرٌ مُقَشَّرٌ"" : أُزِيلَتْ قِشْرَتُهُ. "
9	مُهَبَّلٌ	مهبل	هبل		مفعول	هَبَّلَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									". 1. مَنْ يُقَالُ لَهُ: ""هَبَلَتْكَ أُمُّكَ""، أَيْ فَقَدَتْكَ. 2. ""رَجُلٌ مُهَبَّلٌ"" : مَعْتُوهٌ، أَحْمَقُ، أَهْوَجُ."
10	مُعَوَّضٌ	معوض	عوض		مفعول	عَوَّضَ		مذكر			مفرد	+ون;+ات		ة	DnT	Pf	Pm		Tn									"ج: ـون، ـات. (مفع. مِن عَوَّضَ). ""مُعَوَّضٌ عَنْ كُلِّ خَسَائِرِهِ"" : أَيْ عُوِّضَ بَدَلَ مَا خَسِرَهُ."
11	مَيْمُونٌ	ميمون	يمن		مفعول	يَمَنَ		مذكر			مفرد	+ون;+ات;مَيَامِينُ 		ة	DnT	Pf	Pm		Tn									". 1.""وَلَدٌ مَيْمُونٌ"" : ذُو يُمْنٍ وَبَرَكَةٍ. 2.""هُوَ مَيْمُونُ الطَّائِرِ"" : دُعَاءٌ لِلْمُسَافِرِ، أَيْ سِرْ مُوَفَّقاً تُصَاحِبُكَ السَّلاَمَةُ. ""زِيَارَةٌ مَيْمُونَةٌ"". 3.""قُدُومٌ مَيْمُونٌ"": قُدُومٌ مُبَارَكٌ."
12	مَيَامِينُ	ميامين	يمن		مفعول	يَمَنَ					جمع		مَيْمُونٌ														Non	
13	مُنْكَبٌّ	منكب	نكب		مفعول	اِنْكَبَّ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									". ""مُنْكَبٌّ عَلَى عَمَلِهِ"" : مُنْهَمِكٌ فِيهِ بِشَغَفٍ، مُسْتَغْرِقٌ فِيهِ"
14	مَنْدُوبٌ	مندوب	ندب		مفعول	نَدَبَ		مذكر			مفرد	+ون;+ات;مَنَادِيبُ 		ة	DnT	Pf	Pm		Tn			ـو						". 1.""مَيِّتٌ مَنْدُوبٌ"" : مَنْ يُنْدَبُ مِنَ الأَمْوَاتِ. 2.""أَمْرٌ مَنْدُوبٌ"": مُسْتَحَبٌّ فِعْلُهُ. 3.""الْمُنَادَى الْمَنْدُوبُ"" (نح) : الاِسْمُ يُنَادَى بِالوَاوِ وَهُوَ مَا يُعَبَّرُ بِهِ عَنِ التَّفَجُّعِ: ""وَامُعْتَصِمَاهُ!"": واو الاِسْتِغَاثَةِ. 4.""مَنْدُوبُ بِلاَدِهِ فِي الأُمَمِ الْمُتَّحِدَةِ"" : مُفَوَّضُهَا، مُمَثِّلُهَا يَقُومُ بِمُهِمَّةٍ نِيَابَةً عَنْهَا. ""مَنْدُوبُ الْجَرِيدَةِ"" ""مَنْدُوبُ الْحِـزْبِ"" ""مَنْدُوبُ الشَّرِكَةِ""."
15	مَنَادِيبُ	مناديب	ندب		مفعول	نَدَبَ					جمع		مَنْدُوبٌ														Non	
16	مَنْجُورٌ	منجور	نجر		مفعول	نَجَرَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									". ""أَرْضٌ مَنْجُورَةٌ"" : أَرْضٌ ذَاتُ مَسْلَكٍ غَيْرِ مُعَبَّدٍ."
17	مَنْثُورٌ	منثور	نثر		مفعول	نَثَرَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مَنْثُورٌ-مَنْثُورٌ، ةٌ [ن ث ر]. 1.""زَرْعٌ مَنْثُورٌ"" : مُتَفَرِّقٌ، مُتَشَتِّتٌ.الفرقان آية 23 فَجَعَلْنَاهُ هَبَاءً مَنْثُورا (قرآن). 2.""كَلاَمٌ مَنْثُورٌ"" : الكَلاَمُ الْمَكْتُوبُ نَثْراً عَكْسُ الْمَنْظُومِ. 3.""شِعْرٌ مَنْثُورٌ"" : كَلاَمٌ مُرْسَلٌ بِغَيْرِ وَزْنٍ ولاَ قَافِيَةٍ. 4.""أَزْهَرَ الْمَنْثُورُ بِأَشْكَالِهِ الْمُخْتَلِفَةِ وأَلْوَانِهِ الزَّاهِيَةِ"" : نَبَاتٌ ذُو زَهْرٍ زَكِيٍّ."
18	مَدْعُوٌّ	مدعو	دعو		مفعول			مذكر			مفرد	+ون;+ات		ة	DnT	Pf	Pm		Tn									"ج: ـون، ـات. 1.""مَدْعُوٌّ لِلْحَفْلَةِ"" : مَنْ وُجِّهَتْ إِلَيْهِ الدَّعْوَةُ لِحُضُورِ الْحَفْلَةِ. ""مَا ظَنَنْتُ أَنَّكَ تُجِيبُ إِلَى طَعَامِ قَوْمٍ عَائِلُهُمْ مَجْفُوٌّ وَغَنِيُّهُمْ مَدْعُوٌّ"". (علي بن أبي طالب). 2.""الْمَدْعُوُّ فُلاَنٌ"" : الْمُسَمَّى..."
19	مُدْمَى	مدمى	مدمى		مفعول						مفرد	+ون			Dy		Pm		Tn									مُدْمىً-مُدْمىً [م د م ى]. ن. مُدَمّىً.
20	مُدْماةٌ	مدماة			مفعول			مؤنث			مفرد	+ات 			DnN	Pf			Tn									مُدْمىً-مُدْمىً [م د م ى]. ن. مُدَمّىً.
21	مَخْطُوطٌ	مخطوط	خطط		مفعول	خَطَّ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"ج: ـات. (مفع. مِنْ خَطَّ). 1.""وَجَدْنَا الْمَكْتَبَةَ غَنِيَّةً بِالكُتُبِ القَيِّمَةِ الْمَخْطُوطَةِ"" : كُلُّ كِتَابٍ كُتِبَ بِخَطِّ اليَدِ. ""حَقَّقَ مَخْطُوطاً نَادِراً"". 2.""قِسْمُ الْمَخْطُوطَاتِ"": القِسْمُ الَّذِي يَحْتَوِي عَلَى الكُتُبِ الَّتِي خَطَّهَا القُدَمَاءُ بِأَيْدِيهِمْ."
22	مَجْمُوعٌ	مجموع	جمع		مفعول	جَمَعَ		مذكر			مفرد	+ون;+ات		ة	DnT	Pf	Pm		Tn			ـو						"ج: ـون، ـات، مَجَامِيعُ. (مفع. مِنْ جَمَعَ). 1.""مَجْمُوعُ الْمَبْلَغِ الوَاجِبِ دَفْعُهُ"" : جُمْلَةُ الْمَبْلَغِ، كَمِّيَّةُ... 2.""مَجْمُوعُ عَدَدِ السُّكَانِ"" : عَدَدُهُمُ العَامُّ. 3.""عَمَلٌ جَيِّدٌ فِي مَجْمُوعِهِ"" : فِي إِجْمَالِهِ. 4 .""مَجْمُوعَةٌ مِنَ البَشَرِ"" : الجَمَاعَةُ مِنْهُمْ، الطَّائِفَةُ. 5.""الْمَجْمُوعَةُ الشَّمْسِيَّةُ"" : الشَّمْسُ وَمَا يَدُورُ فِي فَلَكِهَا مِنْ كَوَاكِبَ. 6.""مَجْمُوعَةٌ قَصَصِيَّةٌ"" : كِتَابٌ يَضُمُّ عَدَداً مِنَ القِصَصِ. ""مَجْمُوعَةٌ شِعْرِيَّةٌ""."
23	مُلَطَّمٌ	ملطم	لطم		مفعول			مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									". ""رَجُلٌ مُلَطَّمٌ"" : لَئِيمٌ، خَسِيسٌ، دَنِيءٌ."
24	مُكَعَّبٌ	مكعب	كعب		مفعول	كَعَّبَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُكَعَّبٌ-مُكَعَّبٌ، ةٌ [ك ع ب] (هن). 1. ""وِعَاءٌ مُكَعَّبٌ"" : لَهُ سِتَّةُ سُطُوحٍ مُرَبَّعَةٍ مُتَسَاوِيَةٍ ومُتَوَازِيَةٍ. 2. : الْمُكَعَّب ف"
25	مُكَسَّحٌ	مكسح	كسح		مفعول	كَسَّحَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									". 1.""وَلَدٌ مُكَسَّحٌ"" : كَسيحٌ، مُصَابٌ ب"
26	مُفَلْطَحٌ	مفلطح	فلطح		مفعول	فَلْطَحَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُفَلْطَحٌ-مُفَلْطَحٌ، ةٌ [ف ل ط ح]. 1.""بُقْعَةٌ مُفَلْطَحَةٌ"" : مُن"
27	مُسْتَعْمَرٌ	مستعمر	عمر		مفعول	اِسْتَعْمَرَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									". ""لَمْ تَعُدْ هَذِهِ البِلاَدُ مِنْ مُسْتَعْمَرَاتِ دَوْلَةِ كَذَا"" : أَيْ كَانَتْ مُحْتَلَّةً مِنْ قَبْلُ وَخَاضِعَةً لِسَيْطَرَتِهَا حَيْثُ تَسْتَغِلُّهَا اقْتِصَادِيّاً وَسِيَاسِيّاً وَتَتَحَكَّمُ فِي تَسْيِيرِهَا"". ""اِتَّسَعَتِ الْمُسْتَعْمَرَاتُ الفَرَنْسِيَّةُ فِي القَرْنِ الْمَاضِي""."
28	مُعَلَّبٌ	معلب	علب		مفعول	عَلَّبَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									". 1. ""سَمَكٌ مُعَلَّبٌ"": سَمَكٌ مَحْفُوظٌ فِي عُلَبٍ مُعَقَّمَةٍ. ""مَوَادُّ مُعَلَّبَةٌ"". 2.""اِزْدَهَرَتْ صِنَاعَةُ الْمُعَلَّبَاتِ فِي أُورُوبَّا"" : صِنَاعَةُ تَعْلِيبِ الخُضَرِ والفَوَاكِهِ والأَسْمَاكِ ونَحْوِهَا."
29	مُعْرَبٌ	معرب	عرب		مفعول	أَعْرَبَ		مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									". ""اِسْمٌ مُعْرَبٌ"" : مُتَصَرِّفٌ، أَيْ مَا تَتَغَيَّرُ حَرَكَةُ آخِرِهِ بِتَغَيُّرِ العَامِلِ الدَّاخِلِ عَلَيْهِ. وَهُنَاكَ اسْمٌ مُعْرَبٌ بِالْحَرَكَاتِ، وَاسْمٌ مُعْرَبٌ بِالْحُرُوفِ."
30	مَعْتُوهٌ	معتوه	عته		مفعول			مذكر			مفرد	+ون;+ات;مَعَاتِيهُ 		ة	DnT	Pf	Pm		Tn									". ""وَلَدٌ مَعْتُوهٌ"" : نَاقِصُ عَقْلٍ."
31	مَعاتيهُ	معاتيه			مفعول						جمع																Non	
32	مُطَاعٌ	مطاع	طوع		مفعول	أَطَاعَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									". ""وَلَدٌ مُطِيعٌ"": الطَّائِعُ لِأَوَامِرِ وَالِدَيْهِ. ""مُطِيعٌ لِلْأَوَامِرِ""."
33	مُطَرَّفٌ	مطرف	طرف		مفعول			مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُطَرَّفٌ-مُطَرَّفٌ، ةٌ [ط ر ف]. ""جَوَادٌ مُطَرَّفٌ"" : أَبْيَضُ الرَّأْسِ أَوِ الذَّنَبِ وَسَائِرُهُ مُخَالِفٌ لِذَلِكَ، أَوْ أَسْوَدُ أَحَدِهِمَا وَسَائِرُهُ مُخَالِفٌ لِذَلِكَ."
34	مَضِيفٌ	مضيف	ضيف		مفعول			مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"مَضِيفٌ-مَضِيفٌ، ةٌ [ض ي ف]. ""نَزَلَ فِي الْمَضِيفِ"" : مَحَلُّ الضِّيَافَةِ."
35	مَصُونٌ	مصون	صون		مفعول			مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									". 1.""مَالُ الخَزِينَةِ مَالٌ مَصُونٌ"" : مَحْفُوظٌ وَمُؤْتَمَنٌ عَلَيْهِ. 2.""بَلَدٌ مَصُونٌ"": فِي مَنْأىً عَنْ كُلِّ اعْتِدَاءٍ. 3.""اِمْرَأَةٌ مَصُونٌ"" : ذَاتُ عِفَّةٍ وَفَضِيلَةٍ. 4.""الْحَرَمُ الْمَصُونُ"" : أَي الزَّوْجَةُ."
36	مَشْوِيٌّ	مشوي	شوي		مفعول			مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مَشْوِيٌّ-مَشْوِيٌّ، ةٌ [ش و ي]. ""لَحْمٌ مَشْوِيٌّ"" : مَا وُضِعَ عَلَى لَهِيبِ النَّارِ لِيَنْضَجَ. ""آجُرٌّ مَشْوِيٌّ""."
37	مُشَوَّكٌ	مشوك	شوك		مفعول			مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُشَوَّكٌ-مُشَوَّكٌ، ةٌ [ش و ك]. 1.""شَجَرٌ مُشَوَّكٌ"" : بِهِ شَوْكٌ يَخْرُجُ مِنْهُ. 2.""جُدْرَانُ الدَّارَةِ مُشَوَّكَةٌ"" : أَيْ جُعِلَ فِيهَا الشَّوْكُ."
38	طُعْمَةٌ	طعمة	طعم		مفعول			مؤنث			مفرد	+ات;طُعَمٌ [لا يجوز جمع مذكر سالم]	طُعْمَةٌ		DnN	Pf			Tn									". 1.""طُعْمَةُ الإِنْسَانِ"" : رِزْقُهُ. 2."" أَكْرَمْتُهُمْ طُعْمَةً لَذِيذَةً"" : أَيْ كُلُّ مَا يُطْعَمُ. 3.""هُوَ طَيِّبُ الطُّعْمَةِ"" : أَيْ نَقِيُّ الكَسْبِ الْحَلاَلِ. ""خَبِيثُ الطُّعْمَةِ"" ""عَفِيفُ الطُّعْمَةِ"" ""مَنْ نَصَبَ نَفْسَهُ لِلنَّاسِ إِمَاماً فَعَلَيْهِ أَنْ يَبْدَأَ بِتَعْلِيمِ نَفْسِهِ وَتَقْوِيمِهَا فِي السِّيرَةِ وَالطُّعْمَةِ"". (ابن المقفع). 3.""تَحَوَّلَتِ الْحُقُولُ طُعْمَةً لِلنِّيرَانِ"" : أَيْ مَادَّةً تَلْتَهِمُهَا الْتِهَاماً."
39	طُعَمٌ	طعم	طعم		مفعول						جمع		طُعْمَةٌ						Tn									
40	ضُحْكَةٌ	ضحكة	ضحك		مفعول			مؤنث			مفرد	+ات [لا يجوز جمع مذكر سالم]			DnN	Pf			Tn									"ضُحْكَةٌ-ضُحْكَةٌ [ض ح ك]. ""صَارَ ضُحْكَةً فِي أَعْيُنِ النَّاسِ"" : مَسْخَرَةً، مُثِيراً لِلسُّخْرِيَةِ وَالْهُزْءِ، أُضْحُوكَةٌ."
41	مُضْغَةٌ	مضغة	مضغ		مفعول			مؤنث			مفرد	+ات;مُضَغٌ [لا يجوز جمع مذكر سالم]			DnN	Pf			Tn									". 1.""يَلُوكُ مُضْغَةً فِي فَمِهِ"": القِطْعَةُ تُمْضَغُ مِنْ خُبْزٍ أَوْ لَحْمٍ وَغْيرِهِمَا، لُقْمَةٌ. ""وَجَدَ طَعَامَهُ مُضْغَةً سَائِغَةً"". 2.""صَارَ مُضْغَةً فِي أَفْوَاهِ النَّاسِ"": كَأَنَّهُ لُقْمَةٌ يَلُوكُهَا النَّاسُ، كِنَايَةً عَنِ التَّعْرِيضِ بِهِ. 3.""مُضَغُ الأُمُورِ"" : الأُمُورُ الَّتِي لاَ أَهَمِّيَّةَ لَهَا. 4.المؤمنون آية 14 فَخَلَقْنَا الْمُضْغَةَ عِظَاماً (قرآن) : العَلَقَةُ الَّتِي خُلِقَ مِنْهَا الإِنْسَانُ إِذَا صَارَتْ لَحْمَةً."
42	مُضَغٌ	مضغ	مضغ		مفعول						جمع		مُضْغَةٌ						Tn									
43	أُكَلَةٌ	أكلة	أكل		مفعول			مؤنث			مفرد	+ات [لا يجوز جمع مذكر سالم]	رِعْيٌ		DnN	Pf			Tn									"أُكَلَةٌ-أُكَلَةٌ [أ ك ل]. ""رَجلُ أُكَلةٌ"" : أَكَّالٌ، أكُولٌ، أَيْ كَثِيرُ الأَكْلِ."
44	رِعْيٌ	رعي	رعي		مفعول						مفرد	+ات;أَرْعاءٌ [لا يجوز جمع مذكر سالم]			DnN	Pf			Tn									". ""رِعْيُ الْمَاشِيَةِ"" : الكَلأُ الَّذِي تَرْعاهُ."
45	أَرْعاءُ	أرعاء	رعي		مفعول						جمع		رِعْيٌ														Non	
46	ذِبْحٌ	ذبح	ذبح		مفعول						مفرد	+ات [لا يجوز جمع مذكر سالم]	مَسْعاة		DnN	Pf			Tn									ذِبْحٌ-ذِبْحٌ [ذ ب ح]. : ما أُعِدَّ للذَّبْحِ، أَيْ ما يُذْبَحُ. صِيغَةٌ بِمَعْنَى مَفْعُول : مَذْبوح. الصافات آية 107وَفَدَيْناهُ بِذِبْحٍ عَظيمٍ (قرآن).
47	مُنْخَفَضٌ	منخفض	خفض		مفعول			مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"(جغ) (مفع. من اِنْخَفَضَ). 1.""مُنْخَفَضٌ أَرْضِيٌّ"" : مَوْضِعٌ يَنْخَفِضُ فِيهِ مُسْتَوَى سَطْحِ الأَرْضِ عَمَّا حَوْلَهُ مِنْ جِهَاتٍ. 2.""مُنْخَفَضٌ جَوِّيٌّ"" : ضَغْطٌ جَوِّيٌّ يَحْدُثُ فِي مِنْطَقَةٍ ويَكُونُ أَخَفَّ مِنَ الْمَنَاطِقِ الْمُحِيطَةِ بِهِ."
48	مُجْمَعٌ	مجمع	جمع		مفعول			مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn			ـون						"مُجْمِعٌ-مُجْمِعٌ، ةٌ [ج م ع] (فَا. مِنْ أَجَمَعَ). 1.""أَمْرٌ مُجْمِعٌ"": مُتَّفَقٌ"
49	مُبَارَكٌ	مبارك	برك		مفعول			مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									". 1.""العِيدُ مُبَارَكٌ عَلَيْكَ"" : لِيَكُنْ مَيْمُوناً مَبْرُوكاً. 2. : اِسْمُ عَلَمٍ مُذَكَّرٌ؛ وَمُبَارَكَة لِلْمُؤَنَّثِ."
50	مَبْرُورٌ	مبرور	برر		مفعول			مذكر			مفرد	+ات 			DnN	Pf			Tn									"مَبْرُورٌ-مَبْرُورٌ [ب ر ر]. ""حَجٌّ مَبْرُورٌ"" : لاَ يُخَالِطُهُ شَيْءٌ مِنَ الْمَآثِمِ. ""الْحَجُّ الْمَبْرُورُ لَيْسَ لَهُ جَزَاءٌ إِلاَّ الجَنَّةُ""."
51	مُؤَهِّلٌ	مؤهل	أهل		مفعول			مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									". ""لَهُ مُؤَهِّلاَتٌ عِلْمِيَّةٌ وَأَدَبِيَّةٌ"" : الصِّفَاتُ وَالقَابِلِيَّةُ وَالاسْتِعْدَادَاتُ الَّتِي تَجْعَلُ الْمَرْءَ أَهْلاً لِأَمْرٍ مَّا."
52	مُبَاحٌ	مباح	بوح		مفعول			مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مُبَاحٌ-مُبَاحٌ [ب و ح]. ""أَمْرٌ مُبَاحٌ"" : جَائِزٌ، مَسْمُوحٌ بِهِ. ""الدُّخُولُ غَيْرُ مُبَاحٍ"" ""سَكَتَتْ شَهْرَزَادُ عَنِ الكَلاَمِ الْمُبَاحِ""."
53	مَأْسُوفٌ	مأسوف	أسف		مفعول			مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									". مَأْسُوفٌ عَلَيْهِ"" : مُتَحَسَّرٌ، مُتَأَسَّفٌ عَلَيْهِ. ""تُوُفِّيَ القَائِدُ مَأْسُوفاً عَلَيْهِ""."
54	مُؤَاتِي	مؤاتي	أتي		مفعول			مذكر			مفرد	+ات 		ة	DnT	Pf		Tk	Tn									"مُؤَاتٍ-مُؤَاتٍ، الْمُؤَاتِي، ةٌ [أ ت ي]. ""عَمَلٌ مُؤَاتٍ"" : مُواتٍ، مُنَاسِبٌ، مُلاَئِمٌ. ""مَا زَالَتِ الظُّرُوفُ غَيْرَ مُؤَاتِيَةٍ لِتَحْقِيقِ انْتِصَارٍ كَامِلٍ""."
55	مُؤَبَّدٌ	مؤبد	أبد		مفعول			مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"مُؤَبَّدٌ-مُؤَبَّدٌ، ةٌ [أ ب د]. ""حُكِمَ عَلَيْهِ بِالسِّجْنِ الْمُؤَبَّدِ"" : بِالسِّجْنِ الدَّائِمِ مَدَى الْحَيَاةِ. ""نَطَقَ القَاضِي بِالأَشْغَالِ الشَّاقَةِ الْمُؤَبَّدَةِ فَاهْتَزَّتْ قَاعَةُ الْمَحْكَمَةِ""."
56	مَأْمُولٌ	مأمول	أمل		مفعول			مذكر			مفرد	+ات 		ة	DnT	Pf			Tn									"مَأْمُولٌ-مَأْمُولٌ، ةٌ [أ م ل]. ""مِنَ الْمَأْمُولِ أَنْ نَحْتَفِلَ بِعَوْدَتِهِ"" : مِنَ الْمُؤَمَّلِ، مِنَ الْمُنْتَظَرِ. ""يَتُوقُ إِلَى نَتِيجَةٍ مَأْمُولَةٍ""."
57	مَيْمُونٌ	ميمون	يمن		مفعول			مذكر			مفرد	+ون;+ات;ميامين 		ة	DnT	Pf	Pm		Tn									
58	مَيَامِينُ	ميامين	يمن		مفعول						جمع																Non	
59	مَوْضُوعٌ	موضوع	وضع		مفعول	وَضَعَ		مذكر			مفرد	+ون;+ات;مَوَاضِيعُ 		ة	DnT	Pf	Pm		Tn									"(مص. وَضَعَ). 1.""مَالُهُ مَوْضُوعٌ فِي مَكَانٍ أَمِينٍ"" : مَتْرُوكٌ. ""وَثَائِقُ مَوْضُوعَةٌ فِي الْمَكْتَبَةِ العَامَّةِ"". 2.""مَوْضُوعُ الدَّرْسِ"": مَادَّتُهُ ومَدَارُهُ ومَا يَتَعَلَّقُ بِهِ. ""مَوْضُوعُ الكِتَابِ"" ""مَ"
60	مَوَاضِيعُ	مواضيع	وضع		مفعول	وَضَعَ					جمع		مَوْضُوعٌ														Non	
61	مَطْمُورٌ	مطمور	طمر		مفعول	طَمَرَ		مذكر			مفرد	+ات;مَطَامِيرُ 		ة	DnT	Pf			Tn									". 1.""مَطْمُورَةُ الحُبُوبِ"" : حَفِيرَةٌ أَسْفَلُهَا مُوَسَّعٌ تُخْزَنُ فِيهَا الحُبُوبُ. 2.""مَطْمُورَةُ الْمَاءِ"" : حَفِيرَةٌ تَحْتَ الأَرْضِ، أَسْفَلُهَا مُوَسَّعٌ، تُخْزَنُ فِيهَا مِيَاهُ الأَمْطَارِ فِي البَوَادِي."
62	مَطَامِيرُ	مطامير	طمر		مفعول	طَمَرَ					جمع		مَطْمُورٌ														Non	
63	مَتْبُوعٌ	متبوع	تبع		مفعول	تَبِعَ		مذكر			مفرد	+ون;+ات;متابيعُ 		ة	DnT	Pf	Pm		Tn									تَبعَ) الشيءَ-َ تَبَعًا، وتُبوعًا، وتَباعًا، وتَباعة: سار في أثره، أو تلاه. ويقال: تَبعَ فلانًا بحقِّه: طالبه به. وتَبعَ المصلِّي الإِمامَ: حذا حَذْوَه، واقتدى به. وتَبِعت الأغصانُ الرِّيحَ: مالت معه
64	مَتَابِيعُ	متابيع	تبع		مفعول	تَبِعَ					جمع		متبوع														Non	
65	مَنْكُورٌ	منكور	نكر		مفعول	نَكَرَ		مذكر			مفرد	+ات;مناكيرُ 			DnN	Pf			Tn									المَنْكُورُ : مفعـ.-: المجهولُ؛ اكتشفنا كتاباً قيَّماً لكاتب منكورج مَنَاكِيرُ. 
66	مَنَاكِيرُ	مناكير	نكر		مفعول	نَكَرَ					جمع		مَنْكُورٌ														Non	
67	مَسْلُوخٌ	مسلوخ	سلخ		مفعول	سَلَخَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									 (السَّلِيخُ): المسلوخُ. و- ما لا طَعم له. يقال: سليخٌ مَلِيخٌ
68	مساليخ	مساليخ	سلخ		مفعول	سَلَخَ					جمع		مَسْعُورٌ														Non	
69	مَغْلُولٌ	مغلول	غلل		مفعول	غَلَّ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									 (غُلَّ): عَطِش أَشدَّ العَطَشِ. ويقال: غُلَّتْ يدُه إِلى عنقه: أَمسكَتْ عن الإِنفاق. فهو غَلِيلٌ، ومغلولٌ
70	مَغَالِيلُ	مغاليل	غلل		مفعول	غَلَّ					جمع																Non	
71	مَثْؤُوبٌ	مثؤوب	ثأب		مفعول	تَثَاءَبَ		مذكر			مفرد	+ون;+ات 		ة	DnT	Pf	Pm		Tn									"(مفع تَثَاءَبَ). ""رَآهُ مَثْؤُوباً"" : يَفْتَحُ فَاهُ وَهُوَ مُسْتَرْخٍ مِنَ التَّعَبِ وَالعَيَاءِ."
