#رقم	مشكول	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرد	التأنيث	التثنية	ج. مؤ. س.	ج. مذ. س.	المنقوص	تنوين النصب	نسب	إض. لف.	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح
6385	مُعَامِلٌ	معامل	عمل	مُفَاعِلٌ	فاعل	عَامَلَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
2913	عَامٌّ	عام	عمم		فاعل	عَمَّ		مذكر			مفرد	+ات 		Ta	DnT	Pf			Tn									"عَامٌّ-عَامٌّ، ةٌ [ع م م] (فا. مِنْ عَمَّ). 1.""الْعَامُّ وَالْخَاصُّ"" : مَا هُوَ شَامِلٌ. ""اِسْتَبَدَّ بِهِ عَيَاءٌ عَامٌّ"". 2.""الرَّأْيُ الْعَامُّ"" : مَا يَعْتَقِدُهُ الْجُمْهُورُ. 3.""الْمَرَافِقُ الْعَامَّةُ"" : الْمَرَافِقُ الْعُمُومِيَّةُ. 4.""قَدَّمَ أَفْكَاراً عَامَّةً"" : أَفْكَاراً غَيْرَ مُدَقَّقَة. 5.""أَصْدَرَتِ الأَرْكَانُ العَامَّةُ بَلاَغاً عَسْكَرِيّاً"" : الْقِيَادَةُ الْعَسْكَرِيَّةُ الْعُلْيَا. 6.""الْقِطَاعُ الْعَامُّ"" : الْمُ"
2914	عُوََّامٌ	عوام	عمم								جمع		عَاوِمٌ														Non	
2925	مُعَمِّمٌ	معمم	عمم		فاعل	عَمَّمَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فَا. مِن عَمَّمَ). ""مُعَمِّمُ الأَحْكَامِ"" : مَنْ يُعَمِّمُهَا ويَجْعَلُهَا عَامَّةً."
4954	عَامِهٌ	عامه	عمه	فَاعِلٌ	فاعل	عَمَهَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
533	مُعْمِي	معمي	عمي		فاعل	أَعْمَى		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm	Tk	Tn									"(فَا. مِن أَعْمَى). ""ضَوْءٌ مُعْمٍ"" : أَيْ ضَوْءٌ يُغَطِّي البَصَرَ."
6424	مُعَنْبِرٌ	معنبر	عنبر	مُفَعْلِلٌ	فاعل	عَنْبَرَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
1091	مُتَعَنِّتٌ	متعنت	عنت		فاعل	تَعَنَّتَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فَا. مِنْ تَعَنَّتَ). ""مُتَعَنِّتٌ فِي مَوْقِفِهِ"" : مُتَصَلِّبٌ، أَيْ مَنْ يَتَشَبَّثُ بِأَمْرٍ مَّا إِلَى نِهَايَتِهِ."
2734	مُعَانِدٌ	معاند	عند		فاعل	عَانَدَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فَا. مِن عَانَدَ). ""وَلَدٌ مُعَانِدٌ"" : مُخَالِفٌ، مُعَارِضٌ."
2926	عَانِدٌ	عاند	عند		فاعل	عَنَدَ		مذكر			مفرد	+ون;+ات;عُنَّدٌ;عَوَانِدُ 		Ta	DnT	Pf	Pm		Tn									"(فا. مِنْ عَنَدَ). 1.""رجُلٌ عَانِدٌ"" : مَائِلٌ عَنِ الْقَصْدِ وَالاسْتِقَامَةِ. 2.""دَمٌ عَانِدٌ"" : يَسِيلُ جَانِباً."
2927	عُنَّدٌ	عند	عند								جمع		عَانِدٌ						Tn									
2928	عَوَانِدُ	عواند	عند								جمع		عَانِدٌ														Non	
5511	مُتَعَانِدٌ	متعاند	عند	مُتَفَاعِلٌ	فاعل	تَعَانَدَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
4955	عَانِزٌ	عانز	عنز	فَاعِلٌ	فاعل	عَنَزَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
2931	عَانِسٌ	عانس	عنس		فاعل	عَنَسَ		مذكر			مفرد	+ون;+ات;عَوَانِسُ 		Ta	DnT	Pf	Pm		Tn									"(فا. مِنْ عَنَسَ). ""اِمْرَأَةٌ عَانِسٌ، ةٌ "" : أَسَنَّتْ وَلَمْ تَتَزَوَّجْ. ""فَتَيَاتٌ عَوَانِسُ""."
2932	عَوَانِسُ	عوانس	عنس								جمع		عَانِسٌ														Non	
2933	عُنََّاسٌ	عناس	عنس								جمع		عَانِسٌ						Tn									
2934	عَنَسَةٌ	عنسة	عنس								جمع		عَانِسٌ						Tn									
2935	مُعَنِّفٌ	معنف	عنف		فاعل	عَنَّفَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فَا. مِن عَنَّفَ). ""مُعَنِّفٌ الصِّبْيَانِ"" : مَنْ يُعَامِلُهُمْ بِالشِّدَّةِ والعُنْفِ ."
515	مُعْتَنِقٌ	معتنق	عنق		فاعل	اِعْتَنَقَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فَا. مِن اِعْتَنَقَ). ""مُعْتَنِقُ الدِّيانَةِ الجَدِيدَةِ"" : مُؤْمِنٌ بِهَا."
4956	عَانِقٌ	عانق	عنق	فَاعِلٌ	فاعل	عَنَقَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
5512	مُتَعَانِقٌ	متعانق	عنق	مُتَفَاعِلٌ	فاعل	تَعَانَقَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
6386	مُعَانِقٌ	معانق	عنق	مُفَاعِلٌ	فاعل	عَانَقَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
6425	مُعَنْوِنٌ	معنون	عنون	مُفَعْلِلٌ	فاعل	عَنْوَنَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
516	مُعْتَنِي	معتني	عني		فاعل	اِعْتَنَى		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm	Tk	Tn									"(فَا. مِن اِعْتَنَى). ""مُعْتَنٍ بِأَطْفَالِهِ"" : مُهْتَمٌّ بِهِمْ."
1092	مُتَعَهِّدٌ	متعهد	عهد		فاعل	تَعَهَّدَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فَا. مِنْ تَعَهَّدَ). ""مُتَعَهِّدٌ بِإِنْجَازِ مَا أُسْنِدَ إِلَيْهِ مِنْ مَهَامَّ"" : مَنْ يَلْتَزِمُ بِتَنْفِيذِ عَمَلٍ أَوْ مُهِمَّةٍ مَّا."
