#رقم	مشكول	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنث	مذكر	عدد	الجمع	مفرد	التأنيث	التثنية	ج. مؤ. س.	ج. مذ. س.	المنقوص	تنوين النصب	نسب	إض. لف.	ـو	ك	كال	ها	هم	تنوين النصب للجمع	شرح
5270	مُتَّخِذٌ	متخذ	ءخذ	مُفْتَعِلٌ	فاعل	اِتَّخَذَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
906	مُتَأَبِّطٌ	متأبط	أبط		فاعل	تَأَبَّطَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فَا. مِنْ تَأَبَّطَ). ""جَاءَ مُتَأَبِّطاً ذِرَاعَهُ"" : وَاضِعاً إِيَّاهُ تَحْتَ إِبْطِهِ. ""نَسِيرُ جَنْباً لِجَنْبٍ مُتَأَبِّطِي الأَذْرُعِ"". (أحمد بوزفور)."
224	آتِي	آتي	أتي		فاعل	أَتَى		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm	Tk	Tn									"آتٍ-آتٍ، الآتي، ةٌ [أ ت ي] (فَا. من أَتَى). 1.""هُوَ آتٍ لاَ رَيْبَ فِي ذَلِكَ"" : مُقْبِل، قَادِمٌ. ""كُلُّ آتٍ قَرِيبٌ"". (مثل) ""سَأزُورُكَ فِي الشَّهْرِ الآتِي"" : فِي الشَّهْرِ الْمُقبِلِ. 2. ""اِقْرَإِ العِبَارَةَ الآتِيَةَ"" : التَّالِيَةَ."
225	أَوَاتِي	أواتي	أتي		فاعل	أَتَى					جمع		آتِيَةٌ					Tk	Tn									
227	مُؤَثِّرٌ	مؤثر	أثر		فاعل	أَثَّرَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									"(فا. من أَثَّرَ). 1.""لَهُ أُسْلُوبٌ مُؤَثِّرٌ فِي النَّاسِ"" : فَعَّالٌ، ذُو أَثَرٍ.‏ ""وَسَائِلُ الإِعْلاَمِ لَهَا قُوَّةٌ مُؤَثِّرَةٌ فِي الجُمْهُورِ. 2.""وَدَّعْنَاهُ وَدَاعاً مُؤَثِّراً"" : أَيْ وَدَاعاً تَرَكَ أَثَراً فِي النَّفْسِ. 3.""لَمْ تَكُنْ أَحْكَامُهُ خَالِيَةً مِنْ مُؤَثِّرَاتٍ ذَاتِيَّةٍ وَمَوْضُوعِيَّةٍ"" : مِنْ عَوَامِلَ..."
349	مُسْتَأْثِرٌ	مستأثر	أثر		فاعل	اِسْتَأْثَرَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فَا. مِن اِسْتَأْثَرَ). 1.""مُسْتَأْثِرٌ بِكُلُّ شَيْءٍ"" : مَنْ يُعْطِي لِنَفْسِهِ الْحَقَّ فِي أَخْذِ كُلِّ شَيْءٍ، الْمُسْتَحْوِذُ... 2.""حَاكِمٌ مُسْتَأْثِرٌ بِالسُّلْطَةِ"" : مُسْتَبِدٌّ."
908	مُتَأَثِّرٌ	متأثر	أثر		فاعل	تَأَثَّرَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فا. من تَأَثَّرَ). 1.""لاَ يَزَالُ مُتَأَثِّراً بِالْحَدَثِ"" : مُتَأَلِّماً، مُنْفَعِلاً. 2.""سَقَطَ مُتَأَثِّراً بِجِرَاحِهِ"" : سَقَطَ نَتِيجَةَ تَمَكُّنِ الجِرَاحِ مِنْهُ."
230	آثِمٌ	آثم	أثم		فاعل	أَثِمَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"آثِمٌ-آثِمٌ [أ ث م] (فَا. مِنْ أَثِمَ). ""رَجُلٌ آثِمٌ"" : مُرْتَكِبُ الإثْمِ وَالْمَعْصِيَةِ."
909	مُتَأَجِّجٌ	متأجج	أجج		فاعل	تَأَجَّجَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"مُتَأَجِّجٌ-مُتَأَجِّجٌ، ةٌ [أ ج ج] (فا. من تَأَجَّجَ). 1. ""نَارٌ مُتَأَجِّجَةٌ"" : مُلْتَهِبَةٌ. 2.""حُبٌّ مُتَأَجِّجٌ"" : مُلْتَهِبٌ، حَارٌّ شَدِيدٌ. ""شَوْقٌ مُتَأَجِّجٌ"" ""عَاطِفَةٌ مُتَأَجِّجَةٌ""."
242	مُؤَجِّرٌ	مؤجر	أجر		فاعل	أَجَّرَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فا. من أَجَّرَ). ""مُؤَجِّرٌ لِلْبَيْتِ بِأَلْفِ دِرْهَمٍ"" : الْمُكْتَرِي لَهُ..."
350	مُسْتَأْجِرٌ	مستأجر	أجر		فاعل	اِسْتَأْجَرَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فَا. مِن اِسْتَأْجَرَ). ""اِسْتَقَرَّ الْمُسْتَأْجِرُ الجَدِيدُ في شَقَّتِهِ"" : الْمُكْتَرِي."
245	مُؤَجِّلٌ	مؤجل	أجل		فاعل	أَجَّلَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فَا. مِنْ أَجَّلَ). ""مُؤَجِّلٌ لِأَعْمَالِهِ"" : مُؤَخِّرٌ لَهَا."
285	مُؤَخِّرٌ	مؤخر	أخر		فاعل	أَخَّرَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فا. من أَخَّرَ). ""مُؤَخِّرٌ لِلْعَمَلِ"" : مُؤَجِّلُهُ."
912	مُتَأَخِّرٌ	متأخر	أخر		فاعل	تَأَخَّرَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فا. من تَأَخَّرَ). 1.""وَصَلَ مُتَأَخِّراً إِلَى العَمَلِ"" : مَنْ يَصِلُ إِلَى مَكَانِ عَمَلِهِ بَعْدَ بِدَايَةِ الوَقْتِ الْمُعَيَّنِ لَهُ. 2.""مُتَأَخِّرٌ فِي عَمَلِهِ"" : لَمْ يُكَمِّلْهُ بَعْدُ، الَّذِي لاَ يَبْلُغُ غَايَتَهُ فِي عَمَلِهِ."
291	مُؤَدِّبٌ	مؤدب	أدب		فاعل	أَدَّبَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فَا. مِنْ أَدَّبَ). ""مُؤَدِّبُ الأَطْفَالِ"" : مُعَلِّمُهُمْ. ""مُعَلِّمُ نَفْسِهِ وَمُؤَدِّبُهَا أَحَقُّ بِالإجْلاَلِ"" (ابن المقفع)."
914	مُتَأَدِّبٌ	متأدب	أدب		فاعل	تَأَدَّبَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فا. من تَأَدَّبَ). ""وَلَدٌ مُتَأَدِّبٌ"": مُتَخَلِّقٌ، مُهَذَّبٌ فيِ سُلُوكِهِ وَمُعَامَلاَتِهِ."
299	مُؤَدِّي	مؤدي	أدي		فاعل	أَدَّى		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm	Tk	Tn		Cv	ـو						"مُؤَدٍّ-مُؤَدٍّ، الْمُؤَدِّي، ةُ [أ د ي] (فا. من أَدَّى). ""طَرِيقٌ مُؤَدٍّ إِلَى الشَّاطِئِ"" : مُوصِلٌ إِلَى..."
303	مُؤَذِّنٌ	مؤذن	أذن		فاعل	أَذَّنَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فا. من أَذَّنَ). ""نَادَى الْمُؤَذِّنُ لِلصَّلاَةِ"" : الْمُنَادِي لَهَا فِي وَقْتِهَا."
306	مُؤْذِي	مؤذي	أذي		فاعل	آذَى		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm	Tk	Tn		Cv	ـو						"(فَا. مِنْ أذي). ""مُؤْذٍ بِسُلُوكِهِ وَكَلاَمِهِ"" : مَنْ يُلْحِقُ الأَذَى بِغَيْرِهِ."
307	مُؤََارِبٌ	مؤارب	أرب		فاعل	آرَبَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فا. من آرَبَ). ""رَجُلٌ مُؤَارِبٌ"" : مُحْتَالٌ، مُخَاتِلٌ، مُخادِعٌ."
327	مُؤَرِّخٌ	مؤرخ	أرخ		فاعل	أرَّخَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فا. من أرَّخَ). ""مُؤَرِّخٌ عَرَبِيٌّ"" : مَنْ يُؤَرِّخُ لِأَحْدَاثِ العَرَبِ وَمَعَارِكِهِمْ، أَيِ العَالِمُ بِالتَّارِيخِ."
745	مُؤْتَزِرٌ	مؤتزر	أزر		فاعل	اِئْتَزَرَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فَا. مِن اِئْتَزَرَ). ""خَرَجَتْ مُؤْتَزِرَةً"" : لاَبِسَةً الإِزَارَ."
433	مُؤَسِّسٌ	مؤسس	أسس		فاعل	أَسَّسَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فا. من أَسَّسَ). 1.""مُؤَسِّسُ الدَّوْلَةِ"" : مَنْ أَقَامَ قَوَاعِدَهَا وَأَسَّسَهَا تَحْتَ رِعَايَتِهِ. 2.""مُؤَسِّسُو الجَمْعِيَّةِ"" : مَنْ قَامُوا بِإِنْشَائِهَا وَإِيجَادِهَا."
435	مُؤْسِفٌ	مؤسف	أسف		فاعل	آسَفَ		مذكر			مفرد	+ات 		Ta	DnT	Pf			Tn									"مُؤْسِفٌ-مُؤْسِفٌ، ةٌ [أ س ف] (فَا. مِنْ آسَفَ). ""حَادِثٌ مُؤْسِفٌ"" : حَادِثٌ يَبْعَثُ عَلَى الأَسَفِ وَالأَلَمِ. ""حَوَادِثُ مُؤْسِفَةٌ""."
436	آسِفٌ	آسف	أسف		فاعل	أسِفَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"آسِفٌ-آسِفٌ [أ س ف] (فَا. مِنْ أسِفَ). 1.""آسِفٌ عَلَى مَا حَدَثَ"" : نَادِمٌ. ""غَيْرُ آسِفٍ عَلَى شَيءٍ"". 2.""إِنِّي آسِفٌ عَلَى غِيَابِهِ"" : حَزِينٌ، مُتَألِّمٌ، كَئِيبٌ. 3.""آسِفٌ كُلَّ الأسَفِ"": مُتَحسِّرٌ."
437	أَوَاسِفٌ	أواسف	أسف		فاعل	أسِفَ					جمع		آسِفٌ														Non	
916	مُتَأَسِّفٌ	متأسف	أسف		فاعل	تَأَسَّفَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فا. من تَأَسَّفَ). ""مُتَأَسِّفٌ عَلَى مَا حَصَلَ"" : مَنْ يَشْعُرُ بِأَسَفٍ وَنَدَمٍ عَلَى مَا بَدَرَ مِنْهُ مِنْ سُوءٍ."
431	آسِنٌ	آسن	أسن		فاعل	أسَنَ		مذكر			مفرد	+ات 		Ta	DnT	Pf			Tn									"آسِنٌ-آسِنٌ [أ س ن] (فَا. مِن أسَنَ). ""مَاءٌ آسِنٌ فِي البُحَيْرَةِ"": مَاءٌ مُتَغَيِّرٌ طَعْمُهُ وَلَوْنُهُ وَرِيحُهُ."
458	مُؤَشِّرٌ	مؤشر	أشر		فاعل	أَشَّرَ		مذكر			مفرد	ات 		Ta	DnT	Pf			Tn									"(فَا. مِنْ أَشَّرَ). 1.""ظَهَرَ مُؤَشِّرٌ يُنْبِئُ بِانْفِرَاجِ الأَزْمَةِ"" : عَلاَمَةٌ تَدُلُّ كُلُّ إِشَارَاتِهَا عَلَى أَنَّ الْمَشَاكِلَ فِي طَرِيقِهَا إِلَى الْحَلِّ. 2.""مُؤَشِّرُ المِيزَانِ"" : لِسَانُهُ، إِبْرَتُهُ. 3.""يُشِيرُ بِالْمُؤَشِّرِ إِلَى الْمَنَاطِقِ الجَبَلِيّةِ"" : قَضِيبٌ يُشَارُ بِهِ عَلَى الخَرِيطَةِ."
917	مُتَأَصِّلٌ	متأصل	أصل		فاعل	تَأَصَّلَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فَا. مِنْ تَأَصَّلَ). 1.""مُتَأَصِّلُ النَّسَبِ"" : أَصِيلُهُ. 2.""مَرَضٌ مُتَأَصِّلٌ"" : مُزْمِنٌ."
558	آفِلٌ	آفل	أفل		فاعل	أَفَلَ		مذكر			مفرد	+ون;+ات;أُفَّلٌ;أُفُولُ 		Ta	DnT	Pf	Pm		Tn									"(فا. من أَفَلَ) ""كَعْبُهُ سَافِلٌ وَنَجْمُهُ آفِلٌ"" : غَائِبٌ، سَاقِطٌ.الأنعام آية 76فَلَمَّا أفَلَ قَالَ إِنِّي لاَ أُحِبُّ الآفِلِين (قرآن) ."
559	أُفَّلٌ	أفل	أفل		فاعل	أَفَلَ					جمع		آفِلٌ						Tn									
560	أُفُولٌ	أفول	أفل		فاعل	أَفَلَ					جمع		آفِلٌ						Tn									
5149	مُتَأَقْلِمٌ	متأقلم	أقلم	مُتَفَعْلِلٌ	فاعل	تَأَقْلَمَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
595	مُؤَكِّدٌ	مؤكد	أكد		فاعل	أَكَّدَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فا. من أَكَّدَ). ""جَاءَ مُؤَكِّداً لِأَقْوَالِ الشُّهُودِ"" : مُثَبِّتاً لَهَا. ""أَقْوَالُهُ مُؤَكِّدَةٌ لِمَا حَدَثَ""."
918	مُتَأَكِّدٌ	متأكد	أكد		فاعل	تَأَكَّدَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فَا. مِنْ تَأَكَّدَ). ""مُتَأَكِّدٌ مِنْ أَقْوَالِهِ"" : مُتَيَقِّنٌ مِنْهَا."
5085	مُؤِكْسِدٌ	مؤكسد	أكسد	مُفَعْلِلٌ	فاعل	أَكْسَدَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
5150	مُتَأَكْسِدٌ	متأكسد	أكسد	مُتَفَعْلِلٌ	فاعل	تَأَكْسَدَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
190	مُتَآلِفٌ	متآلف	ألف		فاعل	تآلَفَ		مذكر			مفرد	ـ+ون;+ات 		Ta	DnT	Pf	Pm		Tn									". 1.""مُتَآلِفٌ مَعَ النَّغَمِ"" : مُنْسَجِمٌ. 2.""أَلْوَانٌ مُتَآلِفَةٌ"" : مُتَجَانِسَةٌ. ""أَنْغَامٌ مُتَآلِفَةٌ""."
612	مُؤَلِّفٌ	مؤلف	ألف		فاعل	أَلَّفَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فا. من أَلَّفَ). ""مُؤَلِّفُ الكِتَابِ"" : الَّذِي كَتَبَهُ، كَاتِبُهُ. ""حُقُوقُ الْمُؤَلِّفِ مَحْفُوظَةٌ""."
746	مُؤْتَلِفٌ	مؤتلف	ألف		فاعل	اِئْتَلَفَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فَا. مِن اِئْتَلَفَ). 1.""كَانَا مُؤْتَلِفَيْنِ"" : مُجْتَمِعَيْنِ، مُتَوَافِقَيْنِ. 2.""حَدِيثٌ مُؤْتَلِفٌ مِنْ جُمَلٍ بَلِيغَةٍ"" : أَيْ مُكَوَّنٌ. ""أَسَالِيبُ مُؤْتَلِفَةٌ""."
919	مُتَأَلِّقٌ	متألق	ألق		فاعل	تَأَلَّقَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فا. من تَأَلَّقَ). 1.""نَجْمٌ مُتَأَلِّقٌ"" : سَاطِعٌ، لاَمِعٌ. 2.""كَانَ مُتَأَلِّقاً فيِ مَجْلِسِهِ"" : بَارِزاً."
614	مُؤْلِمٌ	مؤلم	ألم		فاعل	آلَمَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"مُؤْلِمٌ-مُؤْلِمٌ، ةٌ [أ ل م] (فا. من آلَمَ). ""حَادِثٌ مُؤْلِمٌ"" : مُؤْسِفٌ، يَبْعَثُ عَلَى الأَلَمِ وَالأَسَى، أَلِيمٌ."
624	آمِرٌ	آمر	أم.ر		فاعل	أمر		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"آمِرٌ-آمِرٌ [أ م. ر] (فَا. من أمر) 1.""كَانَ الآمِرَ فِي العَمَلِ"": مَن يَطْلُبُ مِنْ شَخْصٍ أوْ عَامِلٍ فِعْلَ عَمَلٍ مَّا وَإِنْجَازَهُ. 2.""هُو الآمِرُ الناهِي فِي البِلاَدِ"" : الحَاكِمُ الْمُطْلَقُ، السَّيِّدُ الْمُطْلَقُ، أي الَّذِي بِيَدِهِ الحَلُّ وَالعَقْدُ. ""أنْتَ آمِرٌ وَأنَا مُؤتَمِرٌ"".(التوحيدى)."
625	أَوَامِرٌ	أوامر	أم.ر		فاعل	أمر					جمع		آمِرٌ														Non	
632	آمِنٌ	آمن	أم.ن		فاعل	أمِنَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									"(فَا. منْ أمِنَ). 1.""آمِنٌ بِتَجَارِبهِ العِلْمِيَّةِ"" : وَاثِقٌ بِهَا. 2.""آمِنٌ عَلَى حَالِهِ"" : مُطْمَئِنٌّ، مُسْتَرِيحٌ. ""ظَلَّ آمِناً فِي قَرْيَتِهِ"" ""هِيَ آمِنَةٌ فِي بَيْتِهَا"". 3.""آمِنَة"" : اِسْمُ عَلَمٍ لِلإْنَاثِ."
633	أَوَامِنٌ	أوامن	أم.ن		فاعل	أمِنَ					جمع		آمِنٌ														Non	
747	مُؤْتَمِرٌ	مؤتمر	أمر		فاعل	اِئْتَمَرَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فَا. مِن اِئْتَمَرَ). ""حَضَرَ الْمُؤْتَمِرُونَ"" : الَّذِينَ لَهُمُ الْحَقُّ فِي حُضُورِ الْمُؤْتَمَرِ."
920	مُتَآمِرٌ	متآمر	أمر		فاعل	تَآمَرَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فا. من تَآمَرَ). ""رَجُلٌ مُتَآمِرٌ "" : أَيْ مَنْ يَشْتَرِكُ مَعَ طَرَفٍ ضِدَّ طَرَفٍ آخَرَ لِلإِيقَاعِ بِهِ فِي كَارِثَةٍ. ""مُتَآمِرٌ مَعَ أَعْدَاءِ البِلاَدِ""."
5151	مُتَأَمْرِكٌ	متأمرك	أمرك	مُتَفَعْلِلٌ	فاعل	تَأَمْرَكَ		مذكر			مفرد	+ون;+ات		Ta	DnT	Pf	Pm		Tn									
911	مُتَأَمِّلٌ	متأمل	أمل		فاعل	تَأَمَّلَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فا. من تَأَمَّلَ). ""مُتَأَمِّلٌ فِي أَسْرَارِ الطَّبِيعَةِ"" : مُسْتَغْرِقُ التَّفْكِيرِ فِيهَا."
4469	مُؤَمِّلٌ	مؤمل	أمل	مُفَعِّلٌ	فاعل	أَمَّلَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						
621	مُؤْمِنٌ	مؤمن	أمن		فاعل	آمَنَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فا. من آمَنَ). ""رَجَلٌ مُؤْمِنٌ"" : مُصَدِّقٌ، يُؤْمِنُ بِالله وَاليَوْمِ الآخِرِ.النساء آية 162 وَالْمُؤْمِنُونَ يُؤْمِنُونَ بِمَا أُنْزِلَ إِلَيْكَ وَمَا أُنْزِلَ مِنْ قَبْلِكَ (قرآن) l ""إِنَّ قَلْبَ الْمُؤْمِنِ دَلِيلُهُ""."
671	مُؤْنِسٌ	مؤنس	أنس		فاعل	آنَسَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فا. من آنَسَ). ""مُؤْنِسٌ لَهُ فِي حَيَاتِهِ"" : مُلاَطِفٌ لَهُ وَمُزِيلٌ لِ"
341	مُسْتَأْنِفٌ	مستأنف	أنف		فاعل	اِسْتَأْنَفَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فَا. مِن اِسْتَأْنَفَ). ""مُسْتَأْنِفُ الدَّعْوى"" : الْمُتَّهَمُ الطَّاعِنُ فِي الحُكْمِ وَالْمُطَالِبُ بِإِعَادَةِ النَّظَرِ فِيهِ."
922	مُتَأَنِّقٌ	متأنق	أنق		فاعل	تَأَنَّقَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فا. من تَأَنَّقَ). ""مُتَأَنِّقٌ فِي مَلْبَسِهِ"" : أَنِيقٌ."
923	مُتَأَنِّي	متأني	أني		فاعل	تَأَنَّى		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm	Tk	Tn									"مُتَأَنٍّ-مُتَأَنٍّ، الْمُتَأَنِّي، ةٌ [أ ن ي] (فَا. مِنْ تَأَنَّى). ""مُت"
927	مُتَأَهِّبٌ	متأهب	أهب		فاعل	تَأَهَّبَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فَا. مِنْ تَأَهَّبَ). ""مُتَأَهِّبٌ لِلْعَمَلِ"" : مُسْتَعِدٌّ لَهُ."
352	مُسْتَأْهِلٌ	مستأهل	أهل		فاعل	اِسْتَأْهَلَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فَا. مِن اِسْتَأْهَلَ). ""مُسْتَأْهِلٌ لِلدَّرَجَةِ الأُولَى"" : مُسْتَحِقٌّ لَهَا، أَهْلٌ لَهَا."
732	آهِلٌ	آهل	أهل		فاعل	أهَل		مذكر			مفرد	+ات 		Ta	DnT	Pf			Tn									"آهِلٌ-آهِلٌ [أ هـ ل] (فَا. مِنْ أهَل). 1.""رَجُلٌ آَهِلٌ "" : مَنْ لَهُ زَوْجَةٌ وَأَوْلاَدٌ . 2.""مَكَان"
733	أَوَاهِلٌ	أواهل	أهل		فاعل	أهَل					جمع		آهِلٌ														Non	
928	مُتَأَهِّلٌ	متأهل	أهل		فاعل	تَأَهَّلَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فَا. مِنْ تَأَهَّلَ). ""مُتَأَهِّلٌ مِنْ عَائِلَةٍ ذَاتِ نَسَبٍ وَحَسَبٍ"" : مُتَزَوِّجٌ."
929	مُتَأَوِّهٌ	متأوه	أوه		فاعل	تَأَوَّهَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"(فَا. مِنْ تَأَوَّهَ). ""وَجَدَهُ مُتَأَوِّهاً فِي سَرِيرِهِ"": مُتَوَجِّعاً مُكْثِراً مِنَ الآهَاتِ."
748	مُؤَيِّدٌ	مؤيد	أيد		فاعل	أَيَّدَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فَا. مِنْ أَيَّدَ). ""كَانَ مُؤَيِّداً لِقَرَارِهِ"" : مُقَوِّياً، مُدَعِّماً لَهُ. ""مِنَ الْمُؤَيِّدِينَ لِسِيَاسَتِهِ""."
898	بَائِسٌ	بائس	بأس		فاعل	بَئِسَ		مذكر			مفرد	+ون;+ات;بُؤْسٌ;بُؤسَاءٌ 		Ta	DnT	Pf	Pm		Tn									"(فا. من بَئِسَ). 1.""يَالَهُ مِنْ بَائِسٍ"" : مَنْ أصَابَتْهُ بَليَّةٌ. 2.""مُنْذُ عَرَفْتُهُ وَهُوَ بائِسٌ لاَ عَمَلَ لَهُ"" : فَقِيرٌ، مُعْوِزٌ."
899	بُؤْسٌ	بؤس	بأس		فاعل	بَئِسَ					جمع		بَائِسٌ						Tn									
900	بُؤسَاءُ	بؤساء	بأس		فاعل	بَئِسَ					جمع		بَائِسٌ														Non	
901	بَوَائِسٌ	بوائس	بأس		فاعل	بَئِسَ					جمع		بَائِسٌ														Non	
637	مُنْبَتٌّ	منبت	بتت		فاعل	اِنْبَتَّ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"مُنْبَتٌّ-مُنْبَتٌّ [ب ت ت] (فا. من اِنْبَتَّ). 1.""أَمْرٌ مُنْبَتٌّ"" : مَقْطُوعٌ لاَ أَصْلَ لَهُ. 2. إِنَّ الْمُنْبَتَّ لاَ أَرْضاً قَطَعَ وَلاَ ظَهْراً أَبْقَى . (حديث) : يُقَالُ لِلْمُفْرِطِ فِي طَلَبِ الشَّيْءِ وَالْمُبَالِغِ فِيهِ حَتَّى رُبَّمَا يُفَوِّتَهُ عَلَى نَفْسِهِ."
761	بَاتٌّ	بات	بتت		فاعل	بَتَّ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									"باتٌّ-باتٌّ [ب ت ت] (مص. بَتَّ). 1.""مَنَعَهُ مَنْعاً باتّاً مِنْ دُخولِ الفَصْلِ"" : مَنْعاً قاطِعاً، نِهائِيّاً. ""يُمْنَعُ مَنْعاً باتّاً دُخولُ الحَديقَةِ لَيْلاً"". 2.""مَنْعٌ باتٌّ"" : صَريحٌ."
762	بَوَائِرٌ	بوائر	بءر		فاعل	بَأَرَ					جمع		بَائِرٌ														Non	
775	بَاتِرٌ	باتر	بتر		فاعل	بَتَرَ		مذكر			مفرد	+ون;+ات;بَواتِرُ 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						"(فا. من بَتَرَ). ""سَيْفُ الفارِسِ باتِرٌ"" : قاطِعٌ، حاسِمٌ."
776	بَوَاتِرُ	بواتر	بتر		فاعل	بَتَرَ					جمع		بَاتِرٌ														Non	
777	بُتََّارٌ	بتار	بتر		فاعل	بَتَرَ					جمع		بَاتِرٌ						Tn									
778	بَتَرَةٌ	بترة	بتر		فاعل	بَتَرَ					جمع		بَاتِرٌ						Tn									
779	بَاثٌّ	باث	بتت		فاعل	بثّ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						
780	بُوََّاثٌ	بواث	بتر		فاعل	بثّ					جمع		بَاوِثٌ														Non	
781	مُبَخِّرٌ	مبخر	بخر		فاعل	بَخَّر		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn		Cv	ـو						
782	بَثَثَةٌ	بثثة	بثث		فاعل	بثّ					جمع		بَاثِثٌ						Tn									
783	بَاجِحٌ	باجح	بجح		فاعل	بَجَحَ		مذكر			مفرد	+ون;+ات 		Ta	DnT	Pf	Pm		Tn									
784	بَوَاجِحُ	بواجح	بجح		فاعل	بَجَحَ					جمع		بَاجِحٌ														Non	
785	بَجَحَةٌ	بجحة	بجح		فاعل	بَجَحَ					جمع		بَاجِحٌ						Tn									
786	بُجََّاحٌ	بجاح	بجح		فاعل	بَجَحَ					جمع		بَاجِحٌ						Tn									
787	بَاحِثٌ	باحث	بحث		فاعل	بَحَثَ		مذكر			مفرد	+ون;+ات بُحَّاثٌ		Ta	DnT	Pf	Pm		Tn									
788	بُحََّاثٌ	بحاث	بحث		فاعل	بَحَثَ					جمع		بَاحِثٌ						Tn									
789	بَوَاحِثُ	بواحث	بحث		فاعل	بَحَثَ					جمع		بَاحِثٌ														Non	
